,SYS,SID,RAW.SCR,Z.SCR,N,Unnamed: 5,DOC
290,zlabs-nlp.169,18,97.5,0.703688938757143,2,,reuters.276576
294,zlabs-nlp.169,10,99.0,0.840958608204892,3,,allafrica.15224
300,zlabs-nlp.169,5,95.0,0.703607424471912,4,,foxnews.100074
320,zlabs-nlp.169,5,97.5,0.762987039905921,2,,allafrica.15247
323,zlabs-nlp.169,22,96.5,0.522745118434488,2,,rte.en.ie.5281
325,zlabs-nlp.169,16,98.0,0.756634857592527,2,,reuters.276576
329,zlabs-nlp.169,3,97.5,0.709221891877637,4,,dailymail.co.uk.365144
347,zlabs-nlp.169,14,98.5,0.822049797280952,2,,rt.com.113905
350,zlabs-nlp.169,7,98.0,0.595532324375293,2,,rte.en.ie.5281
353,zlabs-nlp.169,10,96.5,0.649499799258238,4,,dailymail.co.uk.365144
371,zlabs-nlp.169,11,96.0,0.708721429241184,2,,aj-english.8627
377,zlabs-nlp.169,1,96.0,0.53960180068104,3,,allafrica.15186
395,zlabs-nlp.169,13,98.0,0.799384123672998,2,,aj-english.8627
403,zlabs-nlp.169,2,95.3333333333333,0.565568176107142,3,,huffingtonpost.com.19379
406,zlabs-nlp.169,10,97.6666666666667,0.635471386472283,3,,allafrica.15186
420,zlabs-nlp.169,6,96.0,0.704382348305778,2,,allafrica.15247
442,zlabs-nlp.169,5,95.25,0.903184807168139,4,,guardian.260797
443,zlabs-nlp.169,13,97.3333333333333,0.748711176101388,3,,dailymail.co.uk.365144
444,zlabs-nlp.169,1,96.0,0.677516730609659,3,,dailymail.co.uk.365144
451,zlabs-nlp.169,11,98.0,0.748275346323279,2,,reuters.276576
454,zlabs-nlp.169,0,98.5,0.654439446642683,2,,seattletimes.7019
457,zlabs-nlp.169,6,99.0,0.683651094378255,2,,seattletimes.7019
458,zlabs-nlp.169,12,99.0,0.683651094378255,2,,rte.en.ie.5281
462,zlabs-nlp.169,1,97.0,0.74533783229223,3,,allafrica.15224
464,zlabs-nlp.169,6,95.0,0.589457683137219,3,,allafrica.15224
468,zlabs-nlp.169,14,96.3333333333333,0.694499556708157,3,,dailymail.co.uk.365144
492,zlabs-nlp.169,12,96.5,0.639594657432618,2,,reuters.276576
506,zlabs-nlp.169,24,99.0,1.02426179034343,1,,seattletimes.7164
509,zlabs-nlp.169,9,95.0,0.52055528114143,1,,standard.co.uk.14686
512,zlabs-nlp.169,3,95.0,0.539255959518628,3,,standard.co.uk.14548
519,zlabs-nlp.169,16,95.6666666666667,0.566107937052652,3,,standard.co.uk.14548
538,zlabs-nlp.169,3,98.0,1.02024955900639,1,,reuters.276654
542,zlabs-nlp.169,13,99.0,1.05639657615454,1,,reuters.276654
544,zlabs-nlp.169,17,95.0,0.911808507561956,1,,reuters.276654
546,zlabs-nlp.169,19,98.0,1.02024955900639,1,,reuters.276654
547,zlabs-nlp.169,21,99.0,1.05639657615454,1,,reuters.276654
578,zlabs-nlp.169,6,97.5,1.12388251096939,2,,allafrica.15239
579,zlabs-nlp.169,7,95.5,1.06299222187447,2,,allafrica.15239
582,zlabs-nlp.169,13,99.0,1.16955022779057,1,,allafrica.15239
583,zlabs-nlp.169,18,96.0,1.0782147941482,1,,allafrica.15239
642,zlabs-nlp.169,2,95.5,0.732010894040896,2,,rte.en.ie.5332
667,zlabs-nlp.169,2,96.0,0.892841367305221,1,,scotsman.155315
668,zlabs-nlp.169,4,98.0,0.96966144623017,1,,scotsman.155315
672,zlabs-nlp.169,13,99.0,1.00807148569264,1,,scotsman.155315
674,zlabs-nlp.169,17,98.0,0.96966144623017,1,,scotsman.155315
675,zlabs-nlp.169,3,97.0,0.931251406767696,1,,scotsman.155315
687,zlabs-nlp.169,6,98.0,0.999724200210632,1,,huffingtonpost.com.19397
688,zlabs-nlp.169,8,96.0,0.919666206199771,1,,huffingtonpost.com.19397
690,zlabs-nlp.169,0,100.0,1.06959313755933,1,,seattletimes.7164
693,zlabs-nlp.169,6,99.0,1.02426179034343,1,,seattletimes.7164
699,zlabs-nlp.169,19,98.0,0.978930443127518,1,,seattletimes.7164
704,zlabs-nlp.169,4,98.5,0.714884394904211,2,,standard.co.uk.14548
726,zlabs-nlp.169,18,97.0,2.1539405116052,1,,en.ndtv.com.13158
731,zlabs-nlp.169,7,98.0,1.02024955900639,1,,reuters.276654
732,zlabs-nlp.169,8,97.0,0.984102541858246,1,,reuters.276654
733,zlabs-nlp.169,9,97.0,0.984102541858246,1,,reuters.276654
735,zlabs-nlp.169,11,96.0,0.947955524710101,1,,reuters.276654
846,zlabs-nlp.169,5,98.0,0.96966144623017,1,,scotsman.155315
849,zlabs-nlp.169,11,98.0,0.96966144623017,1,,scotsman.155315
859,zlabs-nlp.169,17,99.0,1.16955022779057,1,,allafrica.15239
875,zlabs-nlp.169,1,97.0,0.63970774291498,1,,en.ndtv.com.13121
887,zlabs-nlp.169,5,98.0,0.718781629554656,1,,en.ndtv.com.13121
891,zlabs-nlp.169,7,96.0,0.603711076850924,1,,standard.co.uk.14686
902,zlabs-nlp.169,5,97.0,1.06355478542631,1,,voa-zimbabwe.640
903,zlabs-nlp.169,12,99.0,0.630681571049541,1,,en.ndtv.com.13007
905,zlabs-nlp.169,12,96.0,0.46339202965709,1,,en.ndtv.com.13139
911,zlabs-nlp.169,15,99.0,0.864819001963142,1,,thesun.co.uk.27219
912,zlabs-nlp.169,6,99.0,0.858083452920301,1,,upi.205690
923,zlabs-nlp.169,3,100.0,0.920694430878732,2,,upi.205690
924,zlabs-nlp.169,8,99.0,0.630681571049541,2,,en.ndtv.com.13139
925,zlabs-nlp.169,13,98.0,0.574918390585391,2,,en.ndtv.com.13139
930,zlabs-nlp.169,1,96.0,0.545012016034538,1,,scotsman.155284
942,zlabs-nlp.169,13,97.0,1.41689580263418,1,,cnbc.com.33999
944,zlabs-nlp.169,0,99.0,1.47766114208455,1,,allafrica.15344
958,zlabs-nlp.169,6,97.0,0.51915521012124,1,,huffingtonpost.com.19355
959,zlabs-nlp.169,1,99.0,0.630681571049541,2,,en.ndtv.com.13139
960,zlabs-nlp.169,10,99.0,0.864819001963142,1,,thesun.co.uk.27219
962,zlabs-nlp.169,2,99.0,0.864819001963142,1,,thesun.co.uk.27219
964,zlabs-nlp.169,8,96.0,0.713846816575337,1,,thesun.co.uk.27219
965,zlabs-nlp.169,5,99.0,0.920655148384333,2,,news.com.au.759110
970,zlabs-nlp.169,6,97.0,1.41689580263418,1,,allafrica.15344
972,zlabs-nlp.169,10,95.0,1.3561304631838,1,,cnbc.com.33999
974,zlabs-nlp.169,8,97.0,1.60092899841592,1,,cbsnews.302129
982,zlabs-nlp.169,3,95.0,0.40762884919294,1,,huffingtonpost.com.19355
984,zlabs-nlp.169,10,99.0,0.630681571049541,2,,en.ndtv.com.13139
985,zlabs-nlp.169,4,99.0,0.630681571049541,2,,en.ndtv.com.13139
987,zlabs-nlp.169,8,97.0,0.59984219873419,1,,scotsman.155284
988,zlabs-nlp.169,10,96.0,0.545012016034538,1,,scotsman.155284
994,zlabs-nlp.169,3,99.0,0.864819001963142,1,,thesun.co.uk.27219
997,zlabs-nlp.169,4,97.0,1.41689580263418,1,,cnbc.com.33999
1004,zlabs-nlp.169,12,99.0,0.864819001963142,1,,thesun.co.uk.27219
1012,zlabs-nlp.169,7,99.0,0.729685618808099,1,,seattletimes.7452
1013,zlabs-nlp.169,7,99.0,0.630681571049541,1,,en.ndtv.com.13139
1014,zlabs-nlp.169,9,99.0,0.630681571049541,1,,en.ndtv.com.13007
1021,zlabs-nlp.169,5,97.0,1.41689580263418,1,,allafrica.15344
1030,zlabs-nlp.169,19,96.0,0.545012016034538,1,,scotsman.155284
1033,zlabs-nlp.169,8,99.0,0.858083452920301,1,,upi.205690
1034,zlabs-nlp.169,7,99.0,0.630681571049541,1,,en.ndtv.com.13007
1037,zlabs-nlp.169,15,98.0,0.68402898160865,1,,express.co.uk.11013
1048,zlabs-nlp.169,9,99.0,0.630681571049541,1,,en.ndtv.com.13139
1050,zlabs-nlp.169,0,96.0,0.46339202965709,1,,en.ndtv.com.13007
1051,zlabs-nlp.169,11,100.0,0.686444751513692,1,,en.ndtv.com.13007
1057,zlabs-nlp.169,9,97.0,1.55765071005361,1,,thelocal.77710
1063,zlabs-nlp.169,9,100.0,0.764332746833146,1,,scotsman.155284
1069,zlabs-nlp.169,22,98.0,0.68402898160865,1,,express.co.uk.11013
1078,zlabs-nlp.169,11,97.0,0.59984219873419,1,,scotsman.155284
1082,zlabs-nlp.169,2,97.5,0.547036800353315,2,,en.ndtv.com.13139
1088,zlabs-nlp.169,7,98.0,1.44727847235937,1,,allafrica.15344
1093,zlabs-nlp.169,9,96.0,1.38651313290899,1,,cnbc.com.33999
1106,zlabs-nlp.169,16,98.0,0.654672381433842,1,,scotsman.155284
1108,zlabs-nlp.169,4,96.0,0.46339202965709,1,,huffingtonpost.com.19355
1118,zlabs-nlp.169,3,100.0,0.686444751513692,1,,en.ndtv.com.13139
1120,zlabs-nlp.169,17,95.0,0.490181833334887,1,,scotsman.155284
1131,zlabs-nlp.169,2,97.0,0.51915521012124,1,,en.ndtv.com.13007
1133,zlabs-nlp.169,5,95.0,0.40762884919294,1,,huffingtonpost.com.19355
1135,zlabs-nlp.169,6,96.0,0.508233230702455,1,,seattletimes.7452
1137,zlabs-nlp.169,0,98.0,0.654672381433842,1,,scotsman.155284
1154,zlabs-nlp.169,3,95.0,0.523270114015548,1,,express.co.uk.11013
1166,zlabs-nlp.169,0,96.0,1.47484982528837,1,,news.com.au.759149
1183,zlabs-nlp.169,12,97.0,0.801164749815679,1,,en.ndtv.com.13124
1224,zlabs-nlp.169,1,99.0,1.3853060063781,1,,abcnews.364009
1228,zlabs-nlp.169,20,98.0,1.67975549259656,1,,egyptindependent.com.1660
1258,zlabs-nlp.169,2,96.0,1.23296297048608,1,,abcnews.364009
1315,Online-Z.1636,8,96.75,0.577020226853647,4,,guardian.260714
1322,Online-Z.1636,11,95.5,0.782903054856698,2,,guardian.260694
1325,Online-Z.1636,5,95.6,0.726347249810835,5,,cnbc.com.33987
1328,Online-Z.1636,18,97.6666666666667,0.842705438457141,3,,cnn.385761
1331,Online-Z.1636,17,96.3333333333333,1.01828721468707,3,,allafrica.15239
1347,Online-Z.1636,12,97.0,0.58948632623708,3,,news.com.au.759058
1349,Online-Z.1636,9,99.0,0.683651094378255,2,,brisbanetimes.com.au.225973
1351,Online-Z.1636,7,96.3333333333333,1.21196427562025,3,,reuters.276576
1353,Online-Z.1636,14,95.0,0.744351632270652,2,,guardian.260694
1356,Online-Z.1636,16,96.3333333333333,0.778085395038173,3,,cnn.385761
1368,Online-Z.1636,17,97.5,0.636325641833405,2,,guardian.260714
1369,Online-Z.1636,20,98.5,0.715399528473081,2,,guardian.260714
1370,Online-Z.1636,24,95.0,0.438640925234214,2,,guardian.260714
1373,Online-Z.1636,4,97.0,0.584962177264404,3,,news.com.au.759058
1374,Online-Z.1636,11,96.3333333333333,0.541294550783307,3,,news.com.au.759058
1386,Online-Z.1636,9,96.6666666666667,0.793207611875298,3,,cnn.385761
1387,Online-Z.1636,8,95.0,0.712639116405114,3,,cnn.385761
1402,Online-Z.1636,2,97.75,0.656094113493324,4,,guardian.260714
1403,Online-Z.1636,0,98.0,0.675862585153242,2,,rte.en.ie.5291
1405,Online-Z.1636,3,95.0,0.323752145733457,4,,brisbanetimes.com.au.225973
1406,Online-Z.1636,4,99.25,0.69825691824604,4,,brisbanetimes.com.au.225973
1407,Online-Z.1636,14,99.0,0.683651094378255,4,,brisbanetimes.com.au.225973
1408,Online-Z.1636,10,97.25,0.581410327303754,4,,brisbanetimes.com.au.225973
1412,Online-Z.1636,2,95.5,0.75843386484296,2,,guardian.260694
1416,Online-Z.1636,20,96.0,0.762963178201049,3,,cnn.385761
1436,Online-Z.1636,13,98.5,0.715399528473081,2,,guardian.260714
1446,Online-Z.1636,16,97.5,0.896326761844649,2,,guardian.260694
1448,Online-Z.1636,26,96.0,0.805141684100251,2,,guardian.260694
1452,Online-Z.1636,9,96.5,0.843693106686295,2,,guardian.260694
1455,Online-Z.1636,3,95.0,0.522995212725938,2,,scotsman.155307
1477,Online-Z.1636,3,98.0,0.675862585153242,2,,guardian.260714
1479,Online-Z.1636,14,98.6666666666667,0.698655392439822,3,,news.com.au.759058
1483,Online-Z.1636,16,95.3333333333333,0.960346423380926,3,,allafrica.15239
1493,Online-Z.1636,17,98.0,0.64007553617302,2,,brisbanetimes.com.au.225973
1496,Online-Z.1636,8,97.0,1.06755316667354,3,,express.co.uk.11016
1499,Online-Z.1636,6,96.3333333333333,0.778911630252267,3,,cnn.385761
1517,Online-Z.1636,27,96.0,0.51771481187389,2,,guardian.260714
1519,Online-Z.1636,18,96.3333333333333,0.539232256130469,3,,news.com.au.759058
1523,Online-Z.1636,16,99.0,0.683651094378255,2,,brisbanetimes.com.au.225973
1551,Online-Z.1636,20,95.5,0.766590261514206,2,,guardian.260694
1552,Online-Z.1636,23,95.0,0.744351632270652,2,,guardian.260694
1582,Online-Z.1636,22,98.6666666666667,0.890550794610794,3,,cnn.385761
1584,Online-Z.1636,18,95.0,0.938214793297846,3,,allafrica.15239
1598,Online-Z.1636,18,99.0,0.995668236260294,2,,guardian.260694
1620,Online-Z.1636,16,95.75,0.497946340213971,4,,guardian.260714
1630,Online-Z.1636,10,95.0,0.715117822047394,3,,cnn.385761
1651,Online-Z.1636,15,96.5,0.83553671001505,2,,guardian.260694
1698,Online-Z.1636,0,98.75,0.690283324423193,4,,news.com.au.759058
1699,Online-Z.1636,26,95.5,0.478177868554052,2,,guardian.260714
1700,Online-Z.1636,4,97.5,0.636325641833405,2,,rte.en.ie.5291
1701,Online-Z.1636,16,98.6666666666667,0.698655392439822,3,,news.com.au.759058
1704,Online-Z.1636,28,97.0,0.596788698513567,2,,guardian.260714
1723,Online-Z.1636,15,97.6666666666667,0.842705438457141,3,,cnn.385761
1726,Online-Z.1636,21,97.6666666666667,0.815661081220286,3,,cnbc.com.33987
1734,Online-Z.1636,6,95.5,0.464321822963345,2,,brisbanetimes.com.au.225973
1764,Online-Z.1636,4,97.0,0.686866872560417,1,,allafrica.15264
1766,Online-Z.1636,10,97.0,0.686866872560417,1,,allafrica.15264
1768,Online-Z.1636,14,97.0,0.686866872560417,1,,allafrica.15264
1769,Online-Z.1636,15,95.0,0.52055528114143,1,,allafrica.15264
1770,Online-Z.1636,16,96.0,0.603711076850924,1,,allafrica.15264
1771,Online-Z.1636,17,96.0,0.603711076850924,1,,allafrica.15264
1773,Online-Z.1636,21,98.0,0.770022668269911,1,,allafrica.15264
1835,Online-Z.1636,1,99.0,1.34675045273239,1,,kcal.268
1840,Online-Z.1636,13,99.0,1.34675045273239,1,,kcal.268
1842,Online-Z.1636,18,99.0,1.34675045273239,1,,kcal.268
1893,Online-Z.1636,5,96.0,0.892841367305221,1,,en.ndtv.com.13009
1895,Online-Z.1636,9,95.0,0.854431327842746,1,,en.ndtv.com.13009
1902,Online-Z.1636,11,98.0,0.96966144623017,1,,en.ndtv.com.13009
1908,Online-Z.1636,3,96.0,0.603711076850924,1,,allafrica.15264
1909,Online-Z.1636,6,96.0,0.603711076850924,1,,allafrica.15264
1910,Online-Z.1636,7,98.0,0.770022668269911,1,,allafrica.15264
1912,Online-Z.1636,9,96.0,0.603711076850924,1,,allafrica.15264
1913,Online-Z.1636,11,98.0,0.770022668269911,1,,allafrica.15264
1916,Online-Z.1636,19,97.0,0.686866872560417,1,,allafrica.15264
1925,Online-Z.1636,3,95.6666666666667,0.724723667181666,3,,en.ndtv.com.13004
1926,Online-Z.1636,4,99.0,0.943976885538585,2,,en.ndtv.com.13004
2014,Online-Z.1636,7,98.0,0.96966144623017,1,,en.ndtv.com.13009
2015,Online-Z.1636,10,95.0,0.854431327842746,1,,en.ndtv.com.13009
2048,Online-Z.1636,1,95.0,0.490181833334887,1,,seattletimes.7019
2054,Online-Z.1636,3,99.0,0.864819001963142,1,,abcnews.364009
2055,Online-Z.1636,5,97.0,0.764170878371272,1,,abcnews.364009
2056,Online-Z.1636,4,99.0,0.73761527080635,1,,en.ndtv.com.12992
2059,Online-Z.1636,1,100.0,1.29844108495458,1,,dailymail.co.uk.365144
2068,Online-Z.1636,6,96.0,0.545012016034538,1,,huffingtonpost.com.19311
2070,Online-Z.1636,15,99.0,0.709502564133494,2,,huffingtonpost.com.19311
2071,Online-Z.1636,14,96.0,0.545012016034539,2,,huffingtonpost.com.19311
2072,Online-Z.1636,18,96.0,0.545012016034539,2,,huffingtonpost.com.19311
2075,Online-Z.1636,12,96.0,0.461968735953653,1,,scotsman.155321
2077,Online-Z.1636,16,99.0,0.733551936342277,2,,euronews-en.185713
2080,Online-Z.1636,9,95.0,0.564564423014089,1,,cnbc.com.33915
2081,Online-Z.1636,13,96.5,0.572427107384364,2,,huffingtonpost.com.19311
2088,Online-Z.1636,12,99.0,0.838990038050595,1,,express.co.uk.11069
2089,Online-Z.1636,11,98.0,0.68402898160865,1,,en.ndtv.com.12992
2090,Online-Z.1636,8,99.0,0.73761527080635,1,,en.ndtv.com.12992
2093,Online-Z.1636,17,96.5,0.579054898359489,2,,euronews-en.185713
2112,Online-Z.1636,12,99.0,0.709502564133494,1,,huffingtonpost.com.19311
2114,Online-Z.1636,19,99.0,0.709502564133494,2,,huffingtonpost.com.19311
2116,Online-Z.1636,3,95.0,0.564564423014089,2,,cnbc.com.33915
2117,Online-Z.1636,8,96.0,0.618128410017323,1,,cnbc.com.33915
2119,Online-Z.1636,8,99.0,0.63222748384812,1,,scotsman.155321
2130,Online-Z.1636,6,99.0,0.864819001963142,1,,abcnews.364009
2133,Online-Z.1636,25,95.0,0.523270114015548,1,,en.ndtv.com.12992
2146,Online-Z.1636,17,99.0,0.838990038050595,1,,express.co.uk.11069
2147,Online-Z.1636,16,98.0,0.798712071749558,1,,express.co.uk.11069
2155,Online-Z.1636,5,96.0,0.545012016034538,2,,huffingtonpost.com.19311
2158,Online-Z.1636,10,95.0,0.564564423014089,1,,oneindiaenglish.1488
2165,Online-Z.1636,13,97.0,0.758434105448521,1,,express.co.uk.11069
2166,Online-Z.1636,6,99.0,0.838990038050595,1,,allafrica.15344
2168,Online-Z.1636,15,99.0,0.73761527080635,1,,en.ndtv.com.12992
2201,Online-Z.1636,2,99.0,0.864819001963142,1,,abcnews.364009
2202,Online-Z.1636,7,96.0,0.713846816575337,1,,abcnews.364009
2203,Online-Z.1636,11,97.5,0.640853713552604,2,,euronews-en.185713
2219,Online-Z.1636,0,99.0,0.709502564133494,1,,seattletimes.7019
2224,Online-Z.1636,5,99.0,0.63222748384812,1,,scotsman.155321
2226,Online-Z.1636,7,99.0,0.733551936342277,2,,euronews-en.185713
2227,Online-Z.1636,2,100.0,0.879268004351631,1,,express.co.uk.11069
2230,Online-Z.1636,14,97.0,0.758434105448521,1,,express.co.uk.11069
2252,Online-Z.1636,11,97.0,0.671692397020557,1,,cnbc.com.33915
2253,Online-Z.1636,12,96.0,0.618128410017323,1,,oneindiaenglish.1488
2255,Online-Z.1636,15,98.0,0.575474567883298,1,,scotsman.155321
2257,Online-Z.1636,15,99.0,0.733551936342277,2,,euronews-en.185713
2260,Online-Z.1636,18,99.0,0.838990038050595,1,,express.co.uk.11069
2262,Online-Z.1636,18,99.0,0.73761527080635,1,,en.ndtv.com.12992
2283,Online-Z.1636,9,96.0,0.545012016034538,1,,huffingtonpost.com.19311
2284,Online-Z.1636,11,99.0,0.709502564133494,1,,huffingtonpost.com.19311
2285,Online-Z.1636,16,96.5,0.572427107384364,2,,huffingtonpost.com.19311
2287,Online-Z.1636,11,95.0,0.564564423014089,1,,oneindiaenglish.1488
2291,Online-Z.1636,21,97.0,0.630442692410949,1,,en.ndtv.com.12992
2293,Online-Z.1636,1,99.0,0.864819001963142,1,,abcnews.364009
2311,Online-Z.1636,8,99.0,0.709502564133494,1,,huffingtonpost.com.19311
2319,Online-Z.1636,18,96.5,0.579054898359489,2,,euronews-en.185713
2322,Online-Z.1636,9,99.0,0.73761527080635,1,,en.ndtv.com.12992
2323,Online-Z.1636,19,99.0,0.73761527080635,1,,en.ndtv.com.12992
2328,Online-Z.1636,5,98.0,0.68402898160865,1,,en.ndtv.com.12992
2330,Online-Z.1636,0,100.0,1.29844108495458,1,,dailymail.co.uk.365144
2342,Online-Z.1636,10,96.0,0.545012016034538,1,,huffingtonpost.com.19311
2346,Online-Z.1636,2,96.0,0.548155490762931,1,,euronews-en.185713
2347,Online-Z.1636,4,99.0,0.733551936342277,2,,euronews-en.185713
2354,Online-Z.1636,6,97.0,0.764170878371272,1,,en.ndtv.com.13013
2369,Online-Z.1636,11,96.0,0.64144055401828,1,,standard.co.uk.14514
2371,Online-Z.1636,10,95.0,0.564564423014089,1,,cnbc.com.33915
2373,Online-Z.1636,14,95.0,0.405215819988831,1,,scotsman.155321
2374,Online-Z.1636,17,97.0,0.518721651918476,1,,scotsman.155321
2381,Online-Z.1636,19,95.0,0.564564423014089,1,,cnbc.com.33915
2393,Online-Z.1636,6,99.0,0.807832396824578,1,,standard.co.uk.14514
2401,Online-Z.1636,1,99.0,0.73761527080635,1,,en.ndtv.com.12992
2404,Online-Z.1636,6,100.0,0.764332746833146,1,,seattletimes.7019
2405,Online-Z.1636,9,98.0,0.725256384023791,1,,oneindiaenglish.1488
2407,Online-Z.1636,22,99.0,0.63222748384812,1,,scotsman.155321
2408,Online-Z.1636,13,100.0,0.688980399812942,1,,scotsman.155321
2423,Online-Z.1636,13,99.0,1.6065916587219,1,,rt.com.113905
2425,Online-Z.1636,23,99.0,0.73761527080635,1,,en.ndtv.com.12992
2427,Online-Z.1636,10,95.0,0.523270114015548,1,,en.ndtv.com.12992
2430,Online-Z.1636,6,99.0,0.838990038050595,1,,express.co.uk.11069
2442,Online-Z.1636,27,98.0,0.68402898160865,1,,en.ndtv.com.12992
2444,Online-Z.1636,2,96.0,0.576856403213248,1,,en.ndtv.com.12992
2447,Online-Z.1636,28,99.0,0.73761527080635,1,,en.ndtv.com.12992
2470,Online-Z.1636,10,100.0,1.65050560319975,1,,en.ndtv.com.13124
2479,Online-Z.1636,11,100.0,1.65050560319975,1,,voa-zimbabwe.640
2530,Online-Z.1636,1,99.0,2.14691338947694,1,,allafrica.15247
2562,Online-Z.1636,4,100.0,1.65050560319975,1,,en.ndtv.com.13124
2571,Online-Z.1636,4,98.0,2.10828246928842,1,,allafrica.15247
2607,Online-Z.1636,9,97.0,2.4295610463394,1,,rte.en.ie.5281
2608,HUMAN,16,96.5,0.557251755193728,2,,express.co.uk.11069
2610,HUMAN,10,98.5,0.874005684108933,2,,allafrica.15229
2611,HUMAN,5,95.5,0.782903054856698,2,,euronews-en.185713
2613,HUMAN,8,97.5,0.65811311119943,2,,rt.com.113905
2626,HUMAN,13,99.0,0.770223485905243,2,,egyptindependent.com.1660
2628,HUMAN,12,99.0,0.754936471792919,2,,express.co.uk.11069
2630,HUMAN,2,99.0,0.683651094378255,2,,guardian.260742
2631,HUMAN,5,99.0,0.892266442930533,2,,allafrica.15229
2632,HUMAN,22,97.0,0.750504158433902,2,,allafrica.15229
2633,HUMAN,7,95.0,0.594998024095226,2,,allafrica.15229
2634,HUMAN,0,96.0,0.805141684100251,2,,euronews-en.185713
2635,HUMAN,13,98.0,0.569673003850989,2,,dailymail.co.uk.365139
2636,HUMAN,18,98.0,0.569673003850989,2,,dailymail.co.uk.365139
2638,HUMAN,15,96.5,0.498532821172485,2,,rte.en.ie.5281
2640,HUMAN,19,95.5,0.417595831401511,2,,rte.en.ie.5281
2648,HUMAN,17,95.5,0.92160042041457,2,,thesun.co.uk.27296
2653,HUMAN,9,95.75,1.14591559668813,4,,huffingtonpost.com.19311
2662,HUMAN,2,99.0,0.831843196966185,2,,cnn.385734
2663,HUMAN,15,95.0,0.657339191881142,2,,cnbc.com.33915
2664,HUMAN,18,98.0,0.788217195694926,2,,cnbc.com.33915
2669,HUMAN,24,98.5,0.750208987402529,2,,egyptindependent.com.1660
2670,HUMAN,5,99.25,0.915140672183381,4,,en.ndtv.com.13121
2672,HUMAN,5,95.0,0.427392638493982,4,,dailymail.co.uk.365139
2674,HUMAN,12,99.0,0.617099792303325,2,,rte.en.ie.5281
2675,HUMAN,4,97.5,0.65811311119943,2,,rt.com.113905
2691,HUMAN,10,97.0,0.744591194423665,2,,reuters.276539
2692,HUMAN,5,98.0,0.788217195694926,2,,cnbc.com.33915
2694,HUMAN,16,99.5,0.790237984407958,2,,egyptindependent.com.1660
2695,HUMAN,7,96.0,0.650136494888952,4,,guardian.260714
2696,HUMAN,1,97.5,0.636325641833405,2,,express.co.uk.11069
