They say no again.|Они снова говорят нет.|human
To perform a factory reset on your #PRS_ORG#, please follow the steps below:|Чтобы выполнить сброс #PRS_ORG# до заводских настроек, выполните следующие действия:|human
Go to your Home screen.|Вернитесь на главный экран.|human
Tap Home at the top of the screen.|Нажмите «Главный экран» в верхней части экрана.|human
Tap Settings.|Нажмите «Настройки».|human
Tap Device information.|Нажмите «Сведения об устройстве».|human
Tap Factory reset under Advanced.|В «Продвинутые» нажмите «Сбросить до заводских настроек».|human
Tap Reset Now.|Нажмите «Сброс».|human
Please visit the following link and follow the steps to create a new password|Пожалуйста, перейдите по следующей ссылке и выполните указанные действия, чтобы создать новый пароль|human
Let me know if you were able to create your new password and sign in with it|Сообщите мне, смогли ли вы создать новый пароль и войти в учетную запись с ним|human
Ok, please do me the favour to follow the next steps>|Хорошо, сделайте мне одолжение, выполните следующие действия>|human
Plug the wall charger (not included) to a power outlet, and then connect your eReader to the wall charger.|Подключите настенное зарядное устройство (не входит в комплект) к розетке, а затем подключите вашу электронную книгу к настенному зарядному устройству.|human
Press and hold the power button until you see the words "Powered off" at the top of the screen.|Нажмите и удерживайте кнопку питания, пока не увидите надпись «Питание выключено» в верхней части экрана.|human
Continue holding down the power button for 3-4 seconds.|Удерживайте кнопку питания в течение 3–4 секунд.|human
Release the power button.|Отпустите кнопку питания.|human
Press and hold the power button on your eReader for 30 seconds.|Нажмите и удерживайте кнопку питания электронной книги в течение 30 секунд.|human
Wait for the 'Restore' screen to appear.|Дождитесь появления экрана «Восстановление».|human
Release the power button.|Отпустите кнопку питания.|human
After the e-reader has been reset, it will ask you to set your language preferences and a WiFi network.|После сброса настроек электронной книги он попросит вас настроить язык и сеть Wi-Fi.|human
After that you will need to sign in with your e-mail address and password|После этого вам нужно будет войти в учетную запись со своим адресом электронной почты и паролем|human
Change your font settings with the menu at the bottom:|Измените настройки шрифта в меню снизу:|human
Adjust font style: Tap the dropdown menu beside ‘Font Face’ to select from a list of available fonts.|Настройте стиль шрифта: откройте раскрывающееся меню в пункте «Начертание шрифтов» и выберите один из списка доступных шрифтов.|human
Adjust font size: Drag thecircle icon beside ‘Font Size’ to change the size of the text.|Настройте размер шрифта: перетащите круглый значок в пункте «Размер шрифта», чтобы изменить размер текста.|human
Adjust line spacing: Drag thecircle icon beside ‘Line Spacing’ to increase or decrease the space between the lines of type.|Настройте межстрочный интервал: перетащите круглый значок в пункте «Межстрочный интервал», чтобы увеличить или уменьшить интервал между строками.|human
Adjust margins: Drag the slider beside Margins to make the margins bigger or smaller.|Настройте поля: перетащите ползунок в пункте «Поля», чтобы сделать поля больше или меньше.|human
Set the text justification:  Beside ‘Justification’, select your choice of justification.|Настройте выравнивание текста: в пункте «Выравнивание» выберите тип выравнивания.|human
When you change the way text looks, your eReader remembers your preferred size and style, and applies it to other books you’re reading.|Когда вы изменяете вид текста, ваша электронная книга запоминает предпочитаемый размер и стиль, и затем применяет их к другим книгам, которые вы читаете.|human
If you’re reading a PDF, you can’t change the size or style of the text.|Если вы читаете PDF-файл, вы не можете изменить размер и стиль текста.|human
I hope you have a great day and please come back to us if you need any further assistance.|Желаю Вам хорошего дня, возвращайтесь, если понадобится любая дополнительная помощь.|human
Alfie Barbeary's all-action display capped by a captivating try had given Wasps hope but he was unexpectedly replaced at half-time and it became one-way traffic from the moment Campbell showed his class to finish in the 43rd minute.|Яркое выступление Алфи Барбери, вершиной которого стала захватывающая попытка, дало Осам надежду, однако его неожиданно заменили во время перерыва и игра перешла на одну сторону поля с того момента, как Кэмпбелл показал себя в лучшем свете, закончив тайм на 43 минуте.|human
Missing 17 players to injury, Wasps also had to contend with the loss of four more to Covid in the morning, resulting in a hasty reconfiguration of the team.|Потерявшим из-за травм 17 игроков Осам утром пришлось смириться с нехваткой еще четырех из-за Covid, что привело к спешному изменению состава команды.|human
Munster, meanwhile, were missing 34 squad personnel because of quarantine following their recent ill-fated United Rugby Championship trip to South Africa, creating five debutants in the starting XV and another seven on the bench.|Между тем 34 сотрудника из числа персонала Мюнстера отсутствовали из-за карантина сразу после недавней злополучной поездки на чемпионат United Rugby Championship в Южной Африке, где пять дебютантов попали в стартовый состав XV и еще семь — на скамейку запасных.|human
Crucially, however, Ireland stars such as Tadhg Beirne, Peter O'Mahony, Conor Murray and Keith Earls were present to stiffen their ranks.|Однако, важно заметить, что Ирландия сначала представила Таджа Бирна, Питера О'Махони, Конора Мюррея и Кита Эрлса, чтобы укрепить свои ряды.|human
For all the absentees, it was an enjoyable spectacle where it appeared at times anything could happen, at least until Munster showed the extraordinary depth of their playing resources to pull clear.|Несмотря на всех отсутствующих, это было отличное зрелище и иногда казалось, что может произойти все, что угодно, по крайней мере, пока Мюнстер не показал невероятную глубину своих возможностей в игре.|human
Wasps' Covid-affected start to the day was compounded when play got underway, with Thomas Young denied a certain try by O'Mahony's excellent covering tackle.|Влияние Covid на начало дня для Ос усугубилось, когда игра была в разгаре, и О'Махони помешал попытке Томаса Янга, выполнив отличный захват-перехват.|human
And while Joey Carbery sent a penalty between the uprights to draw first blood for Munster, Jimmy Gopperth struck the crossbar to continue the two-time champions' unfortunate opening.|И пока Джоуи Карбери бил пенальти по воротам, чтобы пролить первую кровь Мюнстера, Джимми Гопперт попал в перекладину, чем продолжил неудачное начало игры для двукратных чемпионов.|human
But their scrum was offering a foothold in the game and it took feverish defence to keep their maul at bay until they produced the first of two turnovers in quick succession.|Но схватка между ними позволила укрепить позиции в игре и потребовалась серьезная защита, чтобы сдержать ведущих игроков, пока они не сделали первую из двух последовательных стремительных передач.|human
Munster were fighting for every ball in defiance of their absentees and their victory prospects received a dramatic boost when Shields was shown his dubious red card, with referee Romain Poite saying his shoulder had caught Kilcoyne's neck.|Мюнстер отчаянно боролся за каждый мяч, несмотря на отсутствующих игроков, и их шансы на победу резко возросли, но в этот момент Шилдс получил спорную красную карточку, а рефери Ромейн Пойт сказал, что он задел плечом шею Килкойна.|human
Carbery directed a simple penalty at the post and while he was on target soon after, a dramatic twist followed as Wasps plundered a stunning try through Barbeary.|Карбери пробил простое пенальти в штангу, и, хотя вскоре он попал в цель, за этим последовал коренной перелом игры, поскольку Осы с помощью Барбери нейтрализовали выдающуюся попытку.|human
It concluded an exhilarating spell of end-to-end rugby in which the rivals took it in turns to attack from deep and, having been at the heart of the home advances, Barbeary delivered the telling blow.|Это закончилось захватывающим поединком через всю площадку, в котором соперники по очереди атаковали издалека и, оказавшись в центре обстрела хозяев поля, Барбери нанес точный удар.|human
The order was processed as a pick up order that means you chose it to be picked up by you.|Заказ был обработан как заказ на самовынос, это значит, что вы решили забрать его сами.|human
That's why we are unable to assign a rider for this.|Вот почему мы не можем назначить водителя для этого.|human
As the order has already been accepted, we are unable to cancel the order at this point.|Так как заказ уже подтвержден, мы не можем отменить заказ на этом этапе.|human
Tap the #PRS_ORG# icon at the top of the screen.|Нажмите значок #PRS_ORG# в верхней части экрана.|human
Go to the Home screen.|Перейдите на главный экран.|human
Tap the Menu icon at the top of the screen.|Нажмите значок меню в верхней части экрана.|human
Tap Settings.|Нажмите «Настройки».|human
Scroll to the bottom and tap Repair your account.|Прокрутите вниз и нажмите «Восстановить учетную запись».|human
Tap Repair.|Нажмите «Восстановить».|human
The rider try to leave the order on the Security but he did not accept it.|Водитель пытается оставить заказ у охраны, но он отклонил это.|human
I am really sorry for the inconveniences, you can reply my email and I will gladly continue assisting you personally, or you can open a new interaction with us as you prefer, we are happy to help you.|Я приношу искренние извинения за неудобства, вы можете ответить на мое электронное письмо и я с радостью продолжу помогать вам лично, или вы можете начать новое взаимодействие с нами как пожелаете, мы рады помочь вам.|human
Remember that our Chat Service is open 24/7 for you.|Помните, что чат поддержки доступен для вас 24/7.|human
Thank you for contacting #PRS_ORG#, it was my pleasure to assist you today.|Спасибо за обращение в #PRS_ORG#, мне было приятно помочь вам сегодня.|human
I hope you have an excellent day.|Желаю вам приятного дня.|human
The existing technology screens only specific areas of the virus, but the molecular diagnostic technology was designed to cause nucleic acid-binding reactions only when the COVID-19 RNA exists, enabling rapid detection.|Существующая технология изучает только отдельные части вируса, а технология молекулярной диагностики вызывает нуклеарные реакции связывания кислоты только при наличии РНК COVID-19, что обеспечивает быстрое обнаружение вируса.|human
In this case, I have marked your order as delivered and will process your refund.|В этом случае я отмечаю заказ доставленным и верну вам деньги.|human
So that you can place a new order instead.|Поэтому вы можете разместить новый заказ вместо этого.|human
Banksy designed the limited edition "souvenir shirts" to mark the trial of four people charged with damaging a controversial statue in Bristol last year.|Бэнкси разработал ограниченную коллекцию «сувенирных футболок» в честь суда над четырьмя людьми, обвиняемыми в разрушении противоречивой статуи в Бристоле в прошлом году.|human
"All proceeds to the defendants so they can go for a pint," the artist wrote on Instagram.|«Все будет перечислено подсудимым, чтобы они смогли выпить пива», — написал в Instagram художник.|human
UK media reported that "thousands" were eager to raise cash for the protesters by purchasing the gray T-shirt, which depicts an empty plinth with "Bristol" written above it.|СМИ Великобритании сообщают, что «тысячи» людей стремятся поучаствовать в сборе средств для протестующих, купив серую футболку с изображением пустого постамента и надписью «Бристоль» под ним.|human
The activists, known as the "Colston Four," are facing a trial at Bristol Crown Court next week, charged with inflicting criminal damage to a monument belonging to the city council.|Активисты, известные как «кольстонская четверка», на следующей неделе предстанут перед Королевским судом Бристоля по обвинению в причинении умышленного ущерба памятнику, который принадлежит городскому совету.|human
The men - who have all pleaded not guilty - are accused of sinking the statue "without lawful excuse."|Эти люди, которые не признали себя виновными, обвиняются в том, что утопили статую «без законного тому оправдания».|human
Praised by some for leaving money to various charitable causes after his death, the controversial trader's statue was attacked in June 2020, when a protest supporting the Black Lives Matter (BLM) movement was happening in the city.|Противоречивая статуя торговца, которого некоторые славили за то, что после смерти он оставил деньги различным благотворительным организациям, была атакована в июне 2020 года, когда в городе проходил протест в поддержку движения Black Lives Matter (BLM).|human
The damaged plinth and graffitied statue was later recovered by the city council from Bristol Harbour, where it was thrown during the unrest, and re-emerged as a local museum exhibit, alongside a curated selection of BLM posters from the march.|Разбитый постамент и расписанная граффити статуя позже были восстановлены городским советом Бристольской гавани, куда их забросили во время беспорядков, и снова появились на выставке в местном музее наряду с подборкой плакатов с марша BLM.|human
A sculpture of a BLM protester was erected on the empty plinth previously occupied by Colston.|Статуя протестующих движения BLM была установлена на пустом постаменте, который раньше занимал памятник Кольстону.|human
Turn on your eReader.|Включите свою электронную книгу.|human
Connect your eReader to your computer using a Micro USB cable.|Подсоедините электронную книгу к компьютеру с помощью кабеля micro-USB.|human
On your eReader: Tap Connect.|На электронной книге: нажмите «Соединить».|human
On your computer: Open #PRS_ORG#.|На компьютере: нажмите «Открыть #PRS_ORG#».|human
Under 'Devices', right-click on #PRS_ORG# eReader.|В «Устройства» нажмите правой кнопкой мыши электронную книгу #PRS_ORG#.|human
Click Erase Device Authorization.|Нажмите «Удалить авторизацию устройства».|human
Click OK at the confirmation screen.|Нажмите ОК на экране подтверждения.|human
2) De-authorize #PRS_ORG#|2) Выйдите из учетной записи #PRS_ORG#|human
To deauthorize #PRS_ORG#, click Help > Erase Authorization.|Чтобы выйти из учетной записи #PRS_ORG#, нажмите «Справка» > «Удалить авторизацию».|human
In the pop-up window that opens, enter the password for the account you used to authorize #PRS_ORG#.|Во всплывающем окне, которое откроется, введите пароль учетной записи, которую вы использовали для авторизации в #PRS_ORG#.|human
Click Erase Authorization|Нажмите «Удалить авторизацию»|human
Regrettably the prices of the items are as they show online, we cannot change or reduce this for you|К сожалению, цены товаров такие, какие указаны онлайн, мы не можем изменить или снизить их для Вас|human
The lead times are as advertised on the website.|Сроки доставки соответствуют заявленным на веб-сайте.|human
As we do not carry stock then all items are made to order, shipped on to us here at #URL# and then sent onto yourselves.|Поскольку у нас отсутствуют запасы, все заказанные товары будут доставлены нам по адресу #URL#, а затем отправлены Вам.|human
That is why we ask that you allow these lead times please.|По этой причине мы просим Вас одобрить сроки доставки, пожалуйста.|human
The lead time showing is when the next batch is due to arrive.|Отображаемый срок доставки соответствует предполагаемому времени прибытия следующей партии.|human
In this case, we will notify/contact you either when the item is back in stock ready for us to dispatch or to give you an alternative option.|В этом случае мы свяжемся с вами или отправим уведомление либо когда товар снова будет в наличии, либо чтобы предложить альтернативу.|human
You will have the right to cancel the order if you wish.|У вас будет право отменить заказ, если вы захотите.|human
eBay gives an estimated delivery date which does not include any supposed delay by Royal Mail/Couriers.|eBay отображает приблизительную дату доставки, которая не включает возможные задержки со стороны Royal Mail или курьеров.|human
This can include bad weather, system breakdown or staff strikes etc.|Это может быть плохая погода, сбой системы, забастовка и т. д.|human
These issues are not in our control so please keep this in mind.|Принимайте во внимание, что мы не можем повлиять на эти проблемы.|human
We dispatch items with the expectation of a service being provided by the couriers, but sometimes they do disappoint and this can't be our fault.|Мы отправляем посылки, полагаясь на услуги курьеров, однако иногда они не оправдывают ожиданий, это не наша вина.|human
If the courier is unable to deliver, a card should be left by the relevant delivery company instructing how to organise a re-delivery or where the parcel has been left for you to collect.|Если курьер не может завершить доставку, соответствующая компания должна предоставить карточку с инструкциями по повторной доставке или сведениями о месте, где можно забрать посылку.|human
If the parcel has been returned to the courier's depot, then they will allow a certain time for you to collect.|Если посылка возвращена на склад курьера, вы сможете забрать ее в течение некоторого времени.|human
If it is not collected within this time, the parcel will be returned to us.|Если ее не заберут в течение этого времени, посылка будет возвращена нам.|human
We would then require you to repay the postage cost for us to re-send the parcel back to you.|Затем вам придется снова оплатить доставку, чтобы мы повторно отправили вам посылку.|human
If the item is no longer required, a refund will be issued less the postage amount.|Если товар больше не нужен, вам будет возмещена цена покупки за вычетом стоимости доставки.|human
If for any reason you are not satisfied with your purchase, you can return the item for a refund within 30 days.|Если вы по какой-либо причине недовольны покупкой, вы можете вернуть товар для возмещения средств в течение 30 дней.|human
Returns are accepted only if the item is in its original re-sellable condition, which means items must not be used, worn, marked, have no scent, no pet hair or be in a condition that it can't be sold again.|Возвраты принимаются только в том случае, если товар находится в изначальном состоянии, пригодном для перепродажи, то есть он не был использован, надет, на нем нет следов, запаха, шерсти домашних животных и его состояние допускает повторную продажу.|human
Items must be returned in their original packaging with all product tags attached.|Товары необходимо возвращать в оригинальной упаковке со всеми товарными этикетками.|human
Please be careful when clothing is tried on that make up is not worn, or hair products, fragrances, deodorant or other creams or substances which mark or damage the product.|Пожалуйста, убедитесь, что при примерке одежды вы не носите макияж, средства для ухода за волосами, парфюм, дезодорант или другие крема и вещества, которые могут оставить на товаре следы или повредить его.|human
Norton has been outperforming the competition in many reputable head-to-head tests, and only Norton has won the PC Magazine Editors’ Choice Award 34 times, including 11 years in a row – more than any other security company.|Norton лидирует в этой борьбе во время нормативных испытаний и только Norton наградили выбором редакции PC Magazine 34 раза, к тому же, 11 лет подряд — больше, чем любую другую компанию по безопасности.|human
What does that mean for you?|Что это значит для вас?|human
When you buy Norton Security, you’re getting one of the best security products on the market today.|Когда вы приобретаете Norton Security, вы получаете один из лучших на сегодняшний день продуктов на рынке.|human
We include a protection promise only Norton can make|Мы предоставляем такую гарантию защиты, какую может обеспечить только Norton|human
We’re so confident in our ability to keep you secure, we offer refund assurance: If your PC or Mac gets a virus our Norton experts cannot remove, we’ll give you a refund*|Мы настолько уверены в своей способности обеспечить вашу безопасность, что предусматриваем гарантию возмещения: если на ваш ПК или Mac попадет вирус, который эксперты Norton не смогут удалить, мы перечислим вам возмещение*|human
With Norton Security Deluxe, you can secure your device quickly and easily.|С помощью Norton Security Deluxe вы можете легко и быстро защитить свое устройство.|human
Norton Security Deluxe provides a simple view detailing the protection status of your device.|Norton Security Deluxe предлагает простое представление с подробным статусом состояния защиты на вашем устройстве.|human
From a single dashboard, you can monitor your security and identity protection settings, and even view the history of files scanned and downloads analyzed.|С единой панели управления вы можете отслеживать настройки безопасности и защиты идентификационных данных, и даже просматривать историю просканированных файлов и проанализированных загрузок.|human
Norton Security Deluxe includes online access to expert help from certified Norton technicians.|Norton Security Deluxe включает онлайн-доступ к экспертной поддержке сертифицированных технических специалистов Norton.|human
If at any time you need help, our support agents are ready to assist you 24 hours a day, seven days a week.|В любое время, когда вам нужна помощь, наши агенты поддержки готовы помочь вам 24 часа в сутки семь дней в неделю.|human
To activate, sign up online and save your billing information in your Norton account.|Чтобы активировать, войдите в систему и сохраните платежную информацию в своем аккаунте Norton.|human
The subscription renewal is charged at the renewal price found at norton.com/pricing.|Продление подписки оплачивается согласно стоимости продления, указанному на norton.com/pricing.|human
Price subject to change, but a notification email is sent before billing.|Цена может меняться, но уведомление будет отправлено электронным письмом до выставления счета.|human
Subscription begins upon online activation.|Подписка начинается с момента онлайн-активации.|human
To launch the service, download/install on each device, and/or complete set-up.|Чтобы запустить службу, загрузите или установите ее на каждом устройстве и(или) завершите настройку.|human
Updates and features may be added, modified or removed, subject to the License and Services Agreement.|Обновления и функции могут быть добавлены, изменены или удалены в соответствии с лицензией и соглашением об оказании услуг.|human
Tap Settings.|Нажмите «Настройки».|human
Tap Device information.|Нажмите «Сведения об устройстве».|human
Beside 'Repair your #PRS_ORG# account', tap Repair.|В «Восстановить свою учетную запись #PRS_ORG#» нажмите «Восстановить».|human
Tap Repair now.|Нажмите «Восстановить сейчас».|human
The account repair process will begin.|Начнется процесс восстановления учетной записи.|human
If you have a lot of books, it may take a while.|Если у вас много книг, это может занять некоторое время.|human
If repairing your account didn't solve the issue:|Если восстановление учетной записи не решило проблему:|human
- Sign out and signing back in to your eReader.|— Выйдите и повторно войдите в учетную запись на своей электронной книге.|human
Go to your Home screen.|Перейдите на главный экран.|human
Tap the|Нажмите|human
More icon at the bottom of the screen.|Значок «Подробнее» в нижней части экрана.|human
I see, may I have your eReader software version|Ясно, могу я узнать версию программного обеспечения вашей электронной книги|human
To find your eReader's software version:|Чтобы найти версию программного обеспечения своей электронной книги:|human
1)Go to your Home screen.|1) Перейдите на главный экран.|human
2)Tap the More icon at the bottom right of the screen.|2) Нажмите значок «Подробнее» в нижней части экрана.|human
3)Tap Settings.|3) Нажмите «Настройки».|human
4)Tap Device information.|4) Нажмите «Сведения об устройстве».|human
5)Beside 'Software version', you'll see your eReader's version number.|5) Рядом с пунктом «Версия ПО» вы увидите номер версии своей электронной книги.|human
A statement released on behalf of his family said: "We cannot believe that Yahya has disappeared from our eyes.|В заявлении, выпущенном от имени его семьи, говорится: «Мы не можем поверить, что больше не увидим Яхью.|human
We still don't know the reason he was killed.|Мы все еще не знаем, почему он был убит.|human
A young, energetic 18-year-old, his dream was to be a digital marketing specialist.|Молодой, энергичный, восемнадцатилетний парень, он мечтал стать специалистом по цифровому маркетингу.|human
The whole community are shocked.|Общественность шокирована.|human
May God be with the family he left behind, especially his parents."|Сохрани Господь его семью, которую он оставил, в особенности его родителей».|human
Detectives have been gathering CCTV and other evidence as they try to piece together what happened and identify and trace who stabbed the teenager.|Детективы собирают данные с камер видеонаблюдения и другие улики, пытаясь понять, что произошло, идентифицировать и отследить, кто нанес ранения подростку.|human
Detective Inspector Hannah Whitehouse, from the homicide unit, said: "Yahya was just 18 and with his life ahead of him.|Инспектор полиции Ханна Вайтхаус из убойного отдела сказала: «Яхье было всего 18, и вся жизнь для него была впереди.|human
I know it is in chinese, you don't need to use your device's internal function nor the correct language to perform these last steps sent.|Я знаю, что он на китайском языке, вам не нужно использовать ни внутреннюю функцию устройства ни правильный язык, чтобы выполнить эти последние отправленные действия.|human
