,Unnamed: 0,userId,sys,segId,Q,src,tgt,score,docId,whole_doc,start,end
387,1533,engces0113,Facebook-AI,9,TGT,eng,ces,99,cbsnews.377408,False,1630162836.592,1630162846.975
388,1534,engces0113,Facebook-AI,10,TGT,eng,ces,100,cbsnews.377408,False,1630162846.982,1630162856.309
389,1536,engces0113,Facebook-AI,11,TGT,eng,ces,99,cbsnews.377408,False,1630162856.315,1630162880.649
390,1537,engces0113,Facebook-AI,12,TGT,eng,ces,100,cbsnews.377408,False,1630162880.655,1630162887.587
394,1542,engces0113,Facebook-AI,15,TGT,eng,ces,99,cbsnews.377408,False,1630162952.322,1630162966.85
395,1543,engces0113,Facebook-AI,16,TGT,eng,ces,100,cbsnews.377408,False,1630162966.856,1630162975.506
396,1544,engces0113,Facebook-AI,17,TGT,eng,ces,95,cbsnews.377408,False,1630162975.513,1630162986.804
400,1550,engces0113,Facebook-AI,18,TGT,eng,ces,99,cbsnews.377408,False,1630162986.81,1630163216.514
401,1551,engces0113,Facebook-AI,19,TGT,eng,ces,99,cbsnews.377408,False,1630163216.521,1630163224.613
404,1554,engces0113,Facebook-AI,21,TGT,eng,ces,100,cbsnews.377408,False,1630163317.163,1630163323.361
405,1555,engces0113,Facebook-AI,22,TGT,eng,ces,100,cbsnews.377408,False,1630163323.367,1630163347.587
406,1556,engces0113,Facebook-AI,23,TGT,eng,ces,100,cbsnews.377408,False,1630163347.593,1630163360.457
410,1567,engces0125,CUNI-DocTransformer,6,TGT,eng,ces,100,seattle_times.253485,False,1630163644.507,1630163706.754
413,1582,engces0125,Facebook-AI,0,TGT,eng,ces,97,guardian.306602,False,1630163818.989,1630163880.123
414,1600,engces0125,Facebook-AI,1,TGT,eng,ces,96,guardian.306602,False,1630163880.135,1630164072.418
418,1615,engces0125,Facebook-AI,5,TGT,eng,ces,95,guardian.306602,False,1630164179.762,1630164209.482
420,1625,engces0125,Facebook-AI,7,TGT,eng,ces,97,guardian.306602,False,1630164275.858,1630164300.354
421,1628,engces0125,Facebook-AI,8,TGT,eng,ces,95,guardian.306602,False,1630164300.359,1630164314.65
422,1633,engces0125,Facebook-AI,9,TGT,eng,ces,98,guardian.306602,False,1630164314.657,1630164350.738
433,1716,engces0125,CUNI-DocTransformer,5,TGT,eng,ces,98,seattle_times.253485,False,1630165030.704,1630165298.791
434,1720,engces0125,CUNI-DocTransformer,6,TGT,eng,ces,98,seattle_times.253485,False,1630165298.798,1630165341.863
435,1722,engces0125,CUNI-DocTransformer,7,TGT,eng,ces,95,seattle_times.253485,False,1630165341.868,1630165389.792
437,1729,engces0125,CUNI-DocTransformer,8,TGT,eng,ces,95,seattle_times.253485,False,1630165389.801,1630165482.919
443,1751,engces0125,CUNI-DocTransformer,11,TGT,eng,ces,98,seattle_times.253485,False,1630165571.453,1630165633.016
461,2231,engces0101,CUNI-DocTransformer,4,TGT,eng,ces,96,express.co.uk.44121,False,1629731610.287,1629731889.33
485,3899,engces0105,Online-A,9,TGT,eng,ces,100,rt.com.131279,False,1629806863.248,1629806864.605
494,3948,engces0105,Online-A,9,TGT,eng,ces,100,rt.com.131279,False,1629808255.879,1629808321.529
517,3978,engces0105,Online-B,12,TGT,eng,ces,100,rt.com.131224,False,1629809263.191,1629809277.553
522,3993,engces0105,Online-B,18,TGT,eng,ces,100,rt.com.131224,False,1629809603.059,1629809630.72
530,4001,engces0106,translator-B,0,TGT,eng,ces,98,en.ndtv.com.75109,False,1629809428.758,1629810569.894
535,4006,engces0106,translator-B,4,TGT,eng,ces,98,en.ndtv.com.75109,False,1629810586.641,1629810588.164
538,4009,engces0105,eTranslation,1,TGT,eng,ces,100,en.ndtv.com.75164,False,1629810620.511,1629810701.255
539,4010,engces0105,eTranslation,2,TGT,eng,ces,100,en.ndtv.com.75164,False,1629810706.867,1629810733.016
540,4011,engces0106,translator-B,7,TGT,eng,ces,98,en.ndtv.com.75109,False,1629810653.968,1629810788.804
542,4013,engces0105,eTranslation,4,TGT,eng,ces,100,en.ndtv.com.75164,False,1629810894.045,1629810897.932
543,4014,engces0105,eTranslation,5,TGT,eng,ces,100,en.ndtv.com.75164,False,1629810901.099,1629810927.079
551,4022,engces0105,eTranslation,0,TGT,eng,ces,100,seattle_times.253486,False,1629811092.228,1629811222.34
553,4024,engces0105,eTranslation,1,TGT,eng,ces,100,seattle_times.253486,False,1629811261.505,1629811270.047
554,4025,engces0105,eTranslation,2,TGT,eng,ces,100,seattle_times.253486,False,1629811272.767,1629811325.183
555,4026,engces0106,translator-B,14,TGT,eng,ces,97,en.ndtv.com.75109,False,1629809428.804,1629811331.547
556,4027,engces0105,eTranslation,3,TGT,eng,ces,100,seattle_times.253486,False,1629811359.554,1629811362.177
560,4031,engces0105,eTranslation,8,TGT,eng,ces,96,seattle_times.253486,False,1629811647.793,1629811660.203
563,4034,engces0105,translator-A,0,TGT,eng,ces,100,guardian.306645,False,1629811773.012,1629811803.732
564,4035,engces0105,translator-A,1,TGT,eng,ces,100,guardian.306645,False,1629811809.349,1629811837.163
565,4036,engces0105,translator-A,2,TGT,eng,ces,100,guardian.306645,False,1629811846.012,1629811879.195
566,4037,engces0105,translator-A,3,TGT,eng,ces,100,guardian.306645,False,1629811883.339,1629811917.255
567,4038,engces0105,translator-A,4,TGT,eng,ces,100,guardian.306645,False,1629811920.398,1629811960.351
568,4039,engces0105,translator-A,5,TGT,eng,ces,100,guardian.306645,False,1629811963.566,1629812023.615
569,4040,engces0105,translator-A,6,TGT,eng,ces,100,guardian.306645,False,1629812026.93,1629812053.526
570,4041,engces0105,translator-A,7,TGT,eng,ces,100,guardian.306645,False,1629812069.278,1629812088.322
571,4042,engces0105,translator-A,8,TGT,eng,ces,100,guardian.306645,False,1629812141.172,1629812143.643
572,4043,engces0105,translator-A,9,TGT,eng,ces,100,guardian.306645,False,1629812185.245,1629812195.29
573,4044,engces0105,translator-A,10,TGT,eng,ces,100,guardian.306645,False,1629812200.658,1629812220.187
575,4046,engces0105,translator-A,11,TGT,eng,ces,100,guardian.306645,False,1629812234.434,1629812253.166
577,4048,engces0105,translator-A,12,TGT,eng,ces,100,guardian.306645,False,1629812256.334,1629812303.814
578,4049,engces0105,translator-A,14,TGT,eng,ces,100,guardian.306645,False,1629812364.513,1629812366.863
581,4053,engces0105,translator-A,16,TGT,eng,ces,100,guardian.306645,False,1629812397.895,1629812459.77
583,4055,engces0105,translator-A,17,TGT,eng,ces,100,guardian.306645,False,1629812465.978,1629812507.67
584,4056,engces0105,translator-A,18,TGT,eng,ces,100,guardian.306645,False,1629812511.258,1629812543.567
586,4058,engces0105,translator-A,19,TGT,eng,ces,100,guardian.306645,False,1629812593.208,1629812597.295
587,4059,engces0105,translator-A,20,TGT,eng,ces,100,guardian.306645,False,1629812604.886,1629812608.895
588,4060,engces0105,translator-A,21,TGT,eng,ces,100,guardian.306645,False,1629812611.95,1629812648.831
589,4061,engces0105,translator-A,22,TGT,eng,ces,100,guardian.306645,False,1629812673.793,1629812683.707
590,4062,engces0106,translator-B,0,TGT,eng,ces,97,en.ndtv.com.75109,False,1629814647.157,1629814697.376
591,4063,engces0105,translator-A,25,TGT,eng,ces,100,guardian.306645,True,1629812744.889,1629812760.103
598,4076,engces0106,CUNI-DocTransformer,0,TGT,eng,ces,97,sky.com.33889,False,1629812898.38,1629813555.497
599,4077,engces0106,CUNI-DocTransformer,1,TGT,eng,ces,100,sky.com.33889,False,1629813555.505,1629813590.145
601,4079,engces0106,CUNI-DocTransformer,3,TGT,eng,ces,100,sky.com.33889,False,1629813643.465,1629813662.344
604,4082,engces0106,CUNI-DocTransformer,6,TGT,eng,ces,98,sky.com.33889,False,1629813725.129,1629813753.736
605,4083,engces0106,CUNI-DocTransformer,7,TGT,eng,ces,98,sky.com.33889,False,1629813753.745,1629813790.785
619,4097,engces0106,translator-B,1,TGT,eng,ces,97,en.ndtv.com.75109,False,1629814697.383,1629814768.32
620,4102,engces0106,translator-B,4,TGT,eng,ces,100,en.ndtv.com.75109,False,1629814840.966,1629814854.344
622,4106,engces0108,Online-Y,2,TGT,eng,ces,100,standard.co.uk.57834,False,1629814795.957,1629814952.108
624,4111,engces0106,translator-B,11,TGT,eng,ces,96,en.ndtv.com.75109,False,1629815016.397,1629815028.936
625,4112,engces0106,translator-B,12,TGT,eng,ces,100,en.ndtv.com.75109,False,1629815028.942,1629815053.247
627,4124,engces0108,Online-Y,5,TGT,eng,ces,100,standard.co.uk.57834,False,1629815070.437,1629815097.147
629,4140,engces0108,Online-Y,6,TGT,eng,ces,100,standard.co.uk.57834,False,1629815097.162,1629815182.057
630,4151,engces0108,Online-Y,10,TGT,eng,ces,100,standard.co.uk.57834,False,1629815215.594,1629815223.316
635,4163,engces0108,CUNI-DocTransformer,1,TGT,eng,ces,100,kcal.8567,False,1629815345.951,1629815358.33
636,4164,engces0108,CUNI-DocTransformer,2,TGT,eng,ces,100,kcal.8567,False,1629815358.336,1629815368.428
637,4165,engces0108,CUNI-DocTransformer,3,TGT,eng,ces,100,kcal.8567,False,1629815368.434,1629815374.241
640,4168,engces0108,CUNI-DocTransformer,5,TGT,eng,ces,100,kcal.8567,False,1629815390.314,1629815415.688
641,4169,engces0108,CUNI-DocTransformer,6,TGT,eng,ces,100,kcal.8567,False,1629815415.695,1629815421.654
643,4171,engces0108,CUNI-DocTransformer,7,TGT,eng,ces,100,kcal.8567,False,1629815421.659,1629815427.699
645,4173,engces0108,Online-Y,0,TGT,eng,ces,100,standard.co.uk.57834,False,1629815434.208,1629815440.263
646,4174,engces0108,Online-Y,1,TGT,eng,ces,100,standard.co.uk.57834,False,1629815440.271,1629815448.166
647,4175,engces0108,Online-Y,2,TGT,eng,ces,100,standard.co.uk.57834,False,1629815448.174,1629815455.78
651,4179,engces0108,Online-Y,4,TGT,eng,ces,100,standard.co.uk.57834,False,1629815479.869,1629815491.801
652,4180,engces0108,Online-Y,5,TGT,eng,ces,100,standard.co.uk.57834,False,1629815491.807,1629815496.351
653,4181,engces0108,Online-Y,6,TGT,eng,ces,100,standard.co.uk.57834,False,1629815496.357,1629815503.164
654,4182,engces0108,Online-Y,7,TGT,eng,ces,100,standard.co.uk.57834,False,1629815503.169,1629815517.701
655,4183,engces0108,Online-Y,8,TGT,eng,ces,100,standard.co.uk.57834,False,1629815517.709,1629815527.416
660,4188,engces0108,Online-Y,10,TGT,eng,ces,100,standard.co.uk.57834,False,1629815537.475,1629815591.857
662,4190,engces0108,Online-Y,12,TGT,eng,ces,100,standard.co.uk.57834,False,1629815599.095,1629815607.169
664,4192,engces0108,Online-Y,13,TGT,eng,ces,95,standard.co.uk.57834,False,1629815607.175,1629815614.007
665,4193,engces0108,Online-Y,14,TGT,eng,ces,100,standard.co.uk.57834,False,1629815614.013,1629815620.655
666,4194,engces0108,Online-Y,15,TGT,eng,ces,100,standard.co.uk.57834,False,1629815620.662,1629815625.5
669,4197,engces0108,Online-Y,17,TGT,eng,ces,99,standard.co.uk.57834,False,1629815640.262,1629815660.518
670,4198,engces0108,Online-Y,18,TGT,eng,ces,99,standard.co.uk.57834,False,1629815660.523,1629815665.303
671,4199,engces0108,Online-Y,19,TGT,eng,ces,100,standard.co.uk.57834,False,1629815665.309,1629815669.567
672,4200,engces0108,Online-Y,20,TGT,eng,ces,100,standard.co.uk.57834,False,1629815669.574,1629815675.967
673,4201,engces0108,Online-Y,21,TGT,eng,ces,100,standard.co.uk.57834,False,1629815675.974,1629815686.18
682,4210,engces0108,Online-Y,22,TGT,eng,ces,100,standard.co.uk.57834,False,1629815686.185,1629816135.825
683,4211,engces0108,Online-Y,23,TGT,eng,ces,100,standard.co.uk.57834,False,1629816135.832,1629816143.718
686,4214,engces0108,Online-Y,25,TGT,eng,ces,100,standard.co.uk.57834,False,1629816163.975,1629816189.168
687,4215,engces0108,Online-Y,26,TGT,eng,ces,100,standard.co.uk.57834,False,1629816189.173,1629816195.268
690,4218,engces0106,Online-W,7,TGT,eng,ces,95,brisbanetimes.com.au.275197,False,1629816259.091,1629816287.812
691,4219,engces0108,Online-Y,27,TGT,eng,ces,98,standard.co.uk.57834,True,1629816195.271,1629816346.748
692,4222,engces0108,CUNI-DocTransformer,2,TGT,eng,ces,100,kcal.8567,False,1629816398.901,1629816402.349
693,4223,engces0108,CUNI-DocTransformer,3,TGT,eng,ces,100,kcal.8567,False,1629816402.355,1629816408.222
695,4225,engces0106,Online-W,9,TGT,eng,ces,100,brisbanetimes.com.au.275197,False,1629816427.724,1629816437.915
697,4229,engces0108,CUNI-DocTransformer,6,TGT,eng,ces,100,kcal.8567,False,1629816528.033,1629816532.622
711,4244,engces0106,Online-W,13,TGT,eng,ces,96,brisbanetimes.com.au.275197,False,1629816603.298,1629816825.97
717,4250,engces0106,Online-W,16,TGT,eng,ces,96,brisbanetimes.com.au.275197,False,1629816960.598,1629817004.657
722,4255,engces0106,Online-W,19,TGT,eng,ces,100,brisbanetimes.com.au.275197,False,1629817157.75,1629817178.304
726,4259,engces0106,Online-W,20,TGT,eng,ces,97,brisbanetimes.com.au.275197,False,1629817178.312,1629817241.17
729,4262,engces0106,Online-W,21,TGT,eng,ces,97,brisbanetimes.com.au.275197,False,1629817241.176,1629817294.865
733,4266,engces0108,Facebook-AI,6,TGT,eng,ces,99,en.ndtv.com.75114,False,1629817337.583,1629817345.195
741,4274,engces0108,Facebook-AI,12,TGT,eng,ces,100,en.ndtv.com.75114,False,1629817522.95,1629817538.329
742,4275,engces0108,Facebook-AI,13,TGT,eng,ces,100,en.ndtv.com.75114,False,1629817538.335,1629817544.494
743,4276,engces0108,Facebook-AI,14,TGT,eng,ces,100,en.ndtv.com.75114,False,1629817544.5,1629817551.193
745,4278,engces0108,Facebook-AI,16,TGT,eng,ces,95,en.ndtv.com.75114,False,1629817556.581,1629817561.336
746,4279,engces0108,Facebook-AI,17,TGT,eng,ces,95,en.ndtv.com.75114,False,1629817561.341,1629817568.836
747,4280,engces0108,Facebook-AI,18,TGT,eng,ces,100,en.ndtv.com.75114,False,1629817568.841,1629817606.492
757,4290,engces0108,translator-B,8,TGT,eng,ces,98,rt.com.131269,False,1629817759.682,1629817765.708
759,4292,engces0108,translator-B,10,TGT,eng,ces,95,rt.com.131269,True,1629817770.322,1629817773.517
760,4294,engces0108,Online-Y,1,TGT,eng,ces,100,guardian.306625,False,1629817793.277,1629817796.862
768,4302,engces0108,Online-Y,2,TGT,eng,ces,96,en.ndtv.com.75108,False,1629817885.331,1629817890.568
782,4316,engces0108,Online-Y,1,TGT,eng,ces,100,guardian.306625,False,1629818056.622,1629818059.607
785,4319,engces0108,Online-Y,4,TGT,eng,ces,100,guardian.306625,False,1629818099.52,1629818108.192
786,4320,engces0108,Online-Y,5,TGT,eng,ces,100,guardian.306625,False,1629818108.198,1629818110.177
798,4332,engces0108,Online-Y,17,TGT,eng,ces,100,guardian.306625,False,1629818191.418,1629818194.083
803,4337,engces0108,Online-Y,22,TGT,eng,ces,100,guardian.306625,False,1629818211.02,1629818214.101
807,4343,engces0108,Online-Y,2,TGT,eng,ces,100,en.ndtv.com.75108,False,1629818241.38,1629818319.462
810,4351,engces0108,Online-Y,10,TGT,eng,ces,100,en.ndtv.com.75108,False,1629818358.694,1629818360.323
812,4354,engces0108,Online-Y,13,TGT,eng,ces,100,en.ndtv.com.75108,False,1629818365.43,1629818366.79
814,4356,engces0108,CUNI-Transformer2018,0,TGT,eng,ces,96,standard.co.uk.57768,False,1629818371.135,1629818377.768
815,4357,engces0108,CUNI-Transformer2018,1,TGT,eng,ces,100,standard.co.uk.57768,False,1629818377.776,1629818381.283
816,4358,engces0108,CUNI-Transformer2018,2,TGT,eng,ces,97,standard.co.uk.57768,False,1629818381.289,1629818386.966
817,4359,engces0108,CUNI-Transformer2018,3,TGT,eng,ces,100,standard.co.uk.57768,False,1629818386.97,1629818390.871
818,4360,engces0108,CUNI-Transformer2018,4,TGT,eng,ces,96,standard.co.uk.57768,False,1629818390.876,1629818395.741
829,4371,engces0108,CUNI-Transformer2018,0,TGT,eng,ces,100,seattle_times.253342,False,1629818470.946,1629818476.31
852,4394,engces0108,CUNI-DocTransformer,9,TGT,eng,ces,95,foxnews.106537,False,1629818645.501,1629818648.621
854,4396,engces0108,CUNI-DocTransformer,11,TGT,eng,ces,95,foxnews.106537,False,1629818649.98,1629818650.945
862,4404,engces0106,Online-G,4,TGT,eng,ces,100,abcnews.420102,False,1629822255.865,1629822288.504
865,4407,engces0106,Online-G,7,TGT,eng,ces,100,abcnews.420102,False,1629822402.848,1629822414.184
874,4426,engces0106,Online-G,4,TGT,eng,ces,100,abcnews.420102,False,1629824139.477,1629824154.997
883,4438,engces0106,Facebook-AI,5,TGT,eng,ces,97,nytimes.268790,False,1629824640.693,1629824753.051
889,4483,engces0106,Facebook-AI,11,TGT,eng,ces,98,nytimes.268790,False,1629825346.867,1629825372.267
900,4514,engces0106,CUNI-Marian-Baselines,9,TGT,eng,ces,95,en.ndtv.com.75106,False,1629825916.135,1629825967.786
901,4515,engces0106,CUNI-Marian-Baselines,10,TGT,eng,ces,100,en.ndtv.com.75106,False,1629825967.794,1629825974.994
902,4518,engces0106,CUNI-Marian-Baselines,11,TGT,eng,ces,95,en.ndtv.com.75106,False,1629825975.002,1629826033.569
905,4525,engces0106,CUNI-Marian-Baselines,14,TGT,eng,ces,100,en.ndtv.com.75106,False,1629826109.095,1629826121.267
906,4527,engces0106,CUNI-Marian-Baselines,15,TGT,eng,ces,100,en.ndtv.com.75106,False,1629826121.272,1629826138.842
911,4534,engces0106,CUNI-Marian-Baselines,20,TGT,eng,ces,100,en.ndtv.com.75106,False,1629826224.463,1629826243.265
922,4561,engces0106,CUNI-DocTransformer,9,TGT,eng,ces,100,brisbanetimes.com.au.275197,False,1629826728.257,1629826734.601
923,4562,engces0106,CUNI-DocTransformer,10,TGT,eng,ces,95,brisbanetimes.com.au.275197,False,1629826734.609,1629826760.057
925,4564,engces0106,CUNI-DocTransformer,12,TGT,eng,ces,95,brisbanetimes.com.au.275197,False,1629826818.328,1629826851.088
932,4571,engces0106,CUNI-DocTransformer,19,TGT,eng,ces,100,brisbanetimes.com.au.275197,False,1629827710.332,1629827719.583
939,4578,engces0106,Online-Y,2,TGT,eng,ces,96,thesun.co.uk.114323,False,1629828065.94,1629828102.542
1046,4701,engces0104,translator-A,1,TGT,eng,ces,95,dailymail.co.uk.432355,False,1629836256.005,1629836294.839
1055,4710,engces0104,translator-A,12,TGT,eng,ces,96,dailymail.co.uk.432355,False,1629836902.408,1629836927.507
1057,4712,engces0104,translator-A,14,TGT,eng,ces,98,dailymail.co.uk.432355,False,1629836971.23,1629836985.928
1058,4713,engces0104,translator-A,15,TGT,eng,ces,98,dailymail.co.uk.432355,False,1629836985.938,1629837019.875
1059,4714,engces0104,translator-A,16,TGT,eng,ces,100,dailymail.co.uk.432355,False,1629837019.884,1629837033.669
1060,4715,engces0104,translator-A,17,TGT,eng,ces,96,dailymail.co.uk.432355,False,1629837033.678,1629837065.53
1061,4716,engces0104,translator-A,18,TGT,eng,ces,97,dailymail.co.uk.432355,False,1629837065.539,1629837078.899
1063,4718,engces010a,Online-W,0,TGT,eng,ces,99,foxnews.106543,False,1629839932.277,1629840037.522
1066,4721,engces010a,Online-W,3,TGT,eng,ces,95,foxnews.106543,False,1629840098.659,1629840108.376
1081,4748,engces010a,Online-W,8,TGT,eng,ces,95,foxnews.106543,False,1629841140.684,1629841183.955
1086,4756,engces010a,eTranslation,2,TGT,eng,ces,95,egyptindependent.com.6424,False,1629841346.483,1629841366.419
1089,4759,engces010a,eTranslation,5,TGT,eng,ces,96,egyptindependent.com.6424,False,1629841384.419,1629841391.559
1091,4761,engces010a,eTranslation,7,TGT,eng,ces,95,egyptindependent.com.6424,False,1629841410.775,1629841432.017
1116,4786,engces010a,Online-Y,6,TGT,eng,ces,96,rt.com.131263,False,1629841959.694,1629841974.22
1117,4787,engces010a,Online-Y,7,TGT,eng,ces,97,rt.com.131263,False,1629841974.233,1629841993.125
1183,4853,engces010a,Online-Y,11,TGT,eng,ces,96,foxnews.106537,False,1629844082.387,1629844090.845
1188,4858,engces010a,Online-W,1,TGT,eng,ces,95,standard.co.uk.57768,False,1629844152.896,1629844163.644
1243,4927,engces010a,CUNI-DocTransformer,20,TGT,eng,ces,95,guardian.306645,False,1629845495.653,1629845498.26
1244,4928,engces010a,CUNI-DocTransformer,21,TGT,eng,ces,96,guardian.306645,False,1629845498.273,1629845505.771
1247,4931,engces010a,CUNI-DocTransformer,24,TGT,eng,ces,95,guardian.306645,False,1629845526.618,1629845536.969
1267,6136,engces0107,Facebook-AI,1,TGT,eng,ces,100,en.ndtv.com.75164,False,1629871798.385,1629871837.45
1268,6145,engces0107,Facebook-AI,2,TGT,eng,ces,100,en.ndtv.com.75164,False,1629871859.704,1629871902.744
1270,6172,engces0107,Facebook-AI,4,TGT,eng,ces,100,en.ndtv.com.75164,False,1629871950.592,1629872108.91
1271,6178,engces0107,Facebook-AI,5,TGT,eng,ces,100,en.ndtv.com.75164,False,1629872131.92,1629872135.893
