,Unnamed: 0,userId,sys,segId,Q,src,tgt,score,docId,whole_doc,start,end
530,4001,engces0106,translator-B,0,TGT,eng,ces,98,en.ndtv.com.75109,False,1629809428.758,1629810569.894
535,4006,engces0106,translator-B,4,TGT,eng,ces,98,en.ndtv.com.75109,False,1629810586.641,1629810588.164
538,4009,engces0105,eTranslation,1,TGT,eng,ces,100,en.ndtv.com.75164,False,1629810620.511,1629810701.255
539,4010,engces0105,eTranslation,2,TGT,eng,ces,100,en.ndtv.com.75164,False,1629810706.867,1629810733.016
540,4011,engces0106,translator-B,7,TGT,eng,ces,98,en.ndtv.com.75109,False,1629810653.968,1629810788.804
542,4013,engces0105,eTranslation,4,TGT,eng,ces,100,en.ndtv.com.75164,False,1629810894.045,1629810897.932
543,4014,engces0105,eTranslation,5,TGT,eng,ces,100,en.ndtv.com.75164,False,1629810901.099,1629810927.079
551,4022,engces0105,eTranslation,0,TGT,eng,ces,100,seattle_times.253486,False,1629811092.228,1629811222.34
553,4024,engces0105,eTranslation,1,TGT,eng,ces,100,seattle_times.253486,False,1629811261.505,1629811270.047
554,4025,engces0105,eTranslation,2,TGT,eng,ces,100,seattle_times.253486,False,1629811272.767,1629811325.183
556,4027,engces0105,eTranslation,3,TGT,eng,ces,100,seattle_times.253486,False,1629811359.554,1629811362.177
563,4034,engces0105,translator-A,0,TGT,eng,ces,100,guardian.306645,False,1629811773.012,1629811803.732
564,4035,engces0105,translator-A,1,TGT,eng,ces,100,guardian.306645,False,1629811809.349,1629811837.163
565,4036,engces0105,translator-A,2,TGT,eng,ces,100,guardian.306645,False,1629811846.012,1629811879.195
566,4037,engces0105,translator-A,3,TGT,eng,ces,100,guardian.306645,False,1629811883.339,1629811917.255
567,4038,engces0105,translator-A,4,TGT,eng,ces,100,guardian.306645,False,1629811920.398,1629811960.351
568,4039,engces0105,translator-A,5,TGT,eng,ces,100,guardian.306645,False,1629811963.566,1629812023.615
569,4040,engces0105,translator-A,6,TGT,eng,ces,100,guardian.306645,False,1629812026.93,1629812053.526
570,4041,engces0105,translator-A,7,TGT,eng,ces,100,guardian.306645,False,1629812069.278,1629812088.322
571,4042,engces0105,translator-A,8,TGT,eng,ces,100,guardian.306645,False,1629812141.172,1629812143.643
572,4043,engces0105,translator-A,9,TGT,eng,ces,100,guardian.306645,False,1629812185.245,1629812195.29
573,4044,engces0105,translator-A,10,TGT,eng,ces,100,guardian.306645,False,1629812200.658,1629812220.187
575,4046,engces0105,translator-A,11,TGT,eng,ces,100,guardian.306645,False,1629812234.434,1629812253.166
577,4048,engces0105,translator-A,12,TGT,eng,ces,100,guardian.306645,False,1629812256.334,1629812303.814
578,4049,engces0105,translator-A,14,TGT,eng,ces,100,guardian.306645,False,1629812364.513,1629812366.863
581,4053,engces0105,translator-A,16,TGT,eng,ces,100,guardian.306645,False,1629812397.895,1629812459.77
583,4055,engces0105,translator-A,17,TGT,eng,ces,100,guardian.306645,False,1629812465.978,1629812507.67
584,4056,engces0105,translator-A,18,TGT,eng,ces,100,guardian.306645,False,1629812511.258,1629812543.567
586,4058,engces0105,translator-A,19,TGT,eng,ces,100,guardian.306645,False,1629812593.208,1629812597.295
587,4059,engces0105,translator-A,20,TGT,eng,ces,100,guardian.306645,False,1629812604.886,1629812608.895
588,4060,engces0105,translator-A,21,TGT,eng,ces,100,guardian.306645,False,1629812611.95,1629812648.831
589,4061,engces0105,translator-A,22,TGT,eng,ces,100,guardian.306645,False,1629812673.793,1629812683.707
591,4063,engces0105,translator-A,25,TGT,eng,ces,100,guardian.306645,True,1629812744.889,1629812760.103
599,4077,engces0106,CUNI-DocTransformer,1,TGT,eng,ces,100,sky.com.33889,False,1629813555.505,1629813590.145
601,4079,engces0106,CUNI-DocTransformer,3,TGT,eng,ces,100,sky.com.33889,False,1629813643.465,1629813662.344
604,4082,engces0106,CUNI-DocTransformer,6,TGT,eng,ces,98,sky.com.33889,False,1629813725.129,1629813753.736
605,4083,engces0106,CUNI-DocTransformer,7,TGT,eng,ces,98,sky.com.33889,False,1629813753.745,1629813790.785
620,4102,engces0106,translator-B,4,TGT,eng,ces,100,en.ndtv.com.75109,False,1629814840.966,1629814854.344
622,4106,engces0108,Online-Y,2,TGT,eng,ces,100,standard.co.uk.57834,False,1629814795.957,1629814952.108
625,4112,engces0106,translator-B,12,TGT,eng,ces,100,en.ndtv.com.75109,False,1629815028.942,1629815053.247
627,4124,engces0108,Online-Y,5,TGT,eng,ces,100,standard.co.uk.57834,False,1629815070.437,1629815097.147
629,4140,engces0108,Online-Y,6,TGT,eng,ces,100,standard.co.uk.57834,False,1629815097.162,1629815182.057
630,4151,engces0108,Online-Y,10,TGT,eng,ces,100,standard.co.uk.57834,False,1629815215.594,1629815223.316
635,4163,engces0108,CUNI-DocTransformer,1,TGT,eng,ces,100,kcal.8567,False,1629815345.951,1629815358.33
636,4164,engces0108,CUNI-DocTransformer,2,TGT,eng,ces,100,kcal.8567,False,1629815358.336,1629815368.428
637,4165,engces0108,CUNI-DocTransformer,3,TGT,eng,ces,100,kcal.8567,False,1629815368.434,1629815374.241
640,4168,engces0108,CUNI-DocTransformer,5,TGT,eng,ces,100,kcal.8567,False,1629815390.314,1629815415.688
641,4169,engces0108,CUNI-DocTransformer,6,TGT,eng,ces,100,kcal.8567,False,1629815415.695,1629815421.654
643,4171,engces0108,CUNI-DocTransformer,7,TGT,eng,ces,100,kcal.8567,False,1629815421.659,1629815427.699
645,4173,engces0108,Online-Y,0,TGT,eng,ces,100,standard.co.uk.57834,False,1629815434.208,1629815440.263
646,4174,engces0108,Online-Y,1,TGT,eng,ces,100,standard.co.uk.57834,False,1629815440.271,1629815448.166
647,4175,engces0108,Online-Y,2,TGT,eng,ces,100,standard.co.uk.57834,False,1629815448.174,1629815455.78
651,4179,engces0108,Online-Y,4,TGT,eng,ces,100,standard.co.uk.57834,False,1629815479.869,1629815491.801
652,4180,engces0108,Online-Y,5,TGT,eng,ces,100,standard.co.uk.57834,False,1629815491.807,1629815496.351
653,4181,engces0108,Online-Y,6,TGT,eng,ces,100,standard.co.uk.57834,False,1629815496.357,1629815503.164
654,4182,engces0108,Online-Y,7,TGT,eng,ces,100,standard.co.uk.57834,False,1629815503.169,1629815517.701
655,4183,engces0108,Online-Y,8,TGT,eng,ces,100,standard.co.uk.57834,False,1629815517.709,1629815527.416
660,4188,engces0108,Online-Y,10,TGT,eng,ces,100,standard.co.uk.57834,False,1629815537.475,1629815591.857
662,4190,engces0108,Online-Y,12,TGT,eng,ces,100,standard.co.uk.57834,False,1629815599.095,1629815607.169
665,4193,engces0108,Online-Y,14,TGT,eng,ces,100,standard.co.uk.57834,False,1629815614.013,1629815620.655
666,4194,engces0108,Online-Y,15,TGT,eng,ces,100,standard.co.uk.57834,False,1629815620.662,1629815625.5
669,4197,engces0108,Online-Y,17,TGT,eng,ces,99,standard.co.uk.57834,False,1629815640.262,1629815660.518
670,4198,engces0108,Online-Y,18,TGT,eng,ces,99,standard.co.uk.57834,False,1629815660.523,1629815665.303
671,4199,engces0108,Online-Y,19,TGT,eng,ces,100,standard.co.uk.57834,False,1629815665.309,1629815669.567
672,4200,engces0108,Online-Y,20,TGT,eng,ces,100,standard.co.uk.57834,False,1629815669.574,1629815675.967
673,4201,engces0108,Online-Y,21,TGT,eng,ces,100,standard.co.uk.57834,False,1629815675.974,1629815686.18
682,4210,engces0108,Online-Y,22,TGT,eng,ces,100,standard.co.uk.57834,False,1629815686.185,1629816135.825
683,4211,engces0108,Online-Y,23,TGT,eng,ces,100,standard.co.uk.57834,False,1629816135.832,1629816143.718
686,4214,engces0108,Online-Y,25,TGT,eng,ces,100,standard.co.uk.57834,False,1629816163.975,1629816189.168
687,4215,engces0108,Online-Y,26,TGT,eng,ces,100,standard.co.uk.57834,False,1629816189.173,1629816195.268
691,4219,engces0108,Online-Y,27,TGT,eng,ces,98,standard.co.uk.57834,True,1629816195.271,1629816346.748
692,4222,engces0108,CUNI-DocTransformer,2,TGT,eng,ces,100,kcal.8567,False,1629816398.901,1629816402.349
693,4223,engces0108,CUNI-DocTransformer,3,TGT,eng,ces,100,kcal.8567,False,1629816402.355,1629816408.222
695,4225,engces0106,Online-W,9,TGT,eng,ces,100,brisbanetimes.com.au.275197,False,1629816427.724,1629816437.915
697,4229,engces0108,CUNI-DocTransformer,6,TGT,eng,ces,100,kcal.8567,False,1629816528.033,1629816532.622
722,4255,engces0106,Online-W,19,TGT,eng,ces,100,brisbanetimes.com.au.275197,False,1629817157.75,1629817178.304
733,4266,engces0108,Facebook-AI,6,TGT,eng,ces,99,en.ndtv.com.75114,False,1629817337.583,1629817345.195
741,4274,engces0108,Facebook-AI,12,TGT,eng,ces,100,en.ndtv.com.75114,False,1629817522.95,1629817538.329
742,4275,engces0108,Facebook-AI,13,TGT,eng,ces,100,en.ndtv.com.75114,False,1629817538.335,1629817544.494
743,4276,engces0108,Facebook-AI,14,TGT,eng,ces,100,en.ndtv.com.75114,False,1629817544.5,1629817551.193
747,4280,engces0108,Facebook-AI,18,TGT,eng,ces,100,en.ndtv.com.75114,False,1629817568.841,1629817606.492
757,4290,engces0108,translator-B,8,TGT,eng,ces,98,rt.com.131269,False,1629817759.682,1629817765.708
760,4294,engces0108,Online-Y,1,TGT,eng,ces,100,guardian.306625,False,1629817793.277,1629817796.862
782,4316,engces0108,Online-Y,1,TGT,eng,ces,100,guardian.306625,False,1629818056.622,1629818059.607
785,4319,engces0108,Online-Y,4,TGT,eng,ces,100,guardian.306625,False,1629818099.52,1629818108.192
786,4320,engces0108,Online-Y,5,TGT,eng,ces,100,guardian.306625,False,1629818108.198,1629818110.177
798,4332,engces0108,Online-Y,17,TGT,eng,ces,100,guardian.306625,False,1629818191.418,1629818194.083
803,4337,engces0108,Online-Y,22,TGT,eng,ces,100,guardian.306625,False,1629818211.02,1629818214.101
807,4343,engces0108,Online-Y,2,TGT,eng,ces,100,en.ndtv.com.75108,False,1629818241.38,1629818319.462
810,4351,engces0108,Online-Y,10,TGT,eng,ces,100,en.ndtv.com.75108,False,1629818358.694,1629818360.323
812,4354,engces0108,Online-Y,13,TGT,eng,ces,100,en.ndtv.com.75108,False,1629818365.43,1629818366.79
815,4357,engces0108,CUNI-Transformer2018,1,TGT,eng,ces,100,standard.co.uk.57768,False,1629818377.776,1629818381.283
817,4359,engces0108,CUNI-Transformer2018,3,TGT,eng,ces,100,standard.co.uk.57768,False,1629818386.97,1629818390.871
829,4371,engces0108,CUNI-Transformer2018,0,TGT,eng,ces,100,seattle_times.253342,False,1629818470.946,1629818476.31
862,4404,engces0106,Online-G,4,TGT,eng,ces,100,abcnews.420102,False,1629822255.865,1629822288.504
865,4407,engces0106,Online-G,7,TGT,eng,ces,100,abcnews.420102,False,1629822402.848,1629822414.184
874,4426,engces0106,Online-G,4,TGT,eng,ces,100,abcnews.420102,False,1629824139.477,1629824154.997
889,4483,engces0106,Facebook-AI,11,TGT,eng,ces,98,nytimes.268790,False,1629825346.867,1629825372.267
901,4515,engces0106,CUNI-Marian-Baselines,10,TGT,eng,ces,100,en.ndtv.com.75106,False,1629825967.794,1629825974.994
905,4525,engces0106,CUNI-Marian-Baselines,14,TGT,eng,ces,100,en.ndtv.com.75106,False,1629826109.095,1629826121.267
906,4527,engces0106,CUNI-Marian-Baselines,15,TGT,eng,ces,100,en.ndtv.com.75106,False,1629826121.272,1629826138.842
911,4534,engces0106,CUNI-Marian-Baselines,20,TGT,eng,ces,100,en.ndtv.com.75106,False,1629826224.463,1629826243.265
922,4561,engces0106,CUNI-DocTransformer,9,TGT,eng,ces,100,brisbanetimes.com.au.275197,False,1629826728.257,1629826734.601
932,4571,engces0106,CUNI-DocTransformer,19,TGT,eng,ces,100,brisbanetimes.com.au.275197,False,1629827710.332,1629827719.583
1057,4712,engces0104,translator-A,14,TGT,eng,ces,98,dailymail.co.uk.432355,False,1629836971.23,1629836985.928
1058,4713,engces0104,translator-A,15,TGT,eng,ces,98,dailymail.co.uk.432355,False,1629836985.938,1629837019.875
1059,4714,engces0104,translator-A,16,TGT,eng,ces,100,dailymail.co.uk.432355,False,1629837019.884,1629837033.669
1063,4718,engces010a,Online-W,0,TGT,eng,ces,99,foxnews.106543,False,1629839932.277,1629840037.522
1267,6136,engces0107,Facebook-AI,1,TGT,eng,ces,100,en.ndtv.com.75164,False,1629871798.385,1629871837.45
1268,6145,engces0107,Facebook-AI,2,TGT,eng,ces,100,en.ndtv.com.75164,False,1629871859.704,1629871902.744
1270,6172,engces0107,Facebook-AI,4,TGT,eng,ces,100,en.ndtv.com.75164,False,1629871950.592,1629872108.91
1271,6178,engces0107,Facebook-AI,5,TGT,eng,ces,100,en.ndtv.com.75164,False,1629872131.92,1629872135.893
1272,6183,engces0107,Facebook-AI,6,TGT,eng,ces,100,en.ndtv.com.75164,False,1629872138.201,1629872172.201
1275,6206,engces0107,Facebook-AI,4,TGT,eng,ces,100,en.ndtv.com.75164,False,1629872333.452,1629872348.94
1276,6208,engces0107,Facebook-AI,5,TGT,eng,ces,100,en.ndtv.com.75164,False,1629872348.947,1629872355.283
1281,6226,engces0107,CUNI-Marian-Baselines,2,TGT,eng,ces,100,en.ndtv.com.75227,False,1629872505.6,1629872564.337
1285,6241,engces0107,CUNI-Marian-Baselines,6,TGT,eng,ces,100,en.ndtv.com.75227,False,1629872702.387,1629872717.879
1287,6246,engces0107,CUNI-Marian-Baselines,8,TGT,eng,ces,100,en.ndtv.com.75227,False,1629872777.682,1629872820.047
1289,6263,engces0107,translator-A,0,TGT,eng,ces,100,guardian.306616,False,1629872864.049,1629872913.593
1290,6348,engces0107,translator-A,2,TGT,eng,ces,100,guardian.306616,False,1629873896.525,1629873975.304
1292,6359,engces0107,translator-A,0,TGT,eng,ces,100,guardian.306616,False,1629874034.732,1629874040.972
1294,6367,engces0107,translator-A,2,TGT,eng,ces,100,guardian.306616,False,1629874096.386,1629874143.165
1295,6374,engces0107,translator-A,3,TGT,eng,ces,100,guardian.306616,False,1629874146.72,1629874240.203
1296,6380,engces0107,translator-A,4,TGT,eng,ces,100,guardian.306616,False,1629874338.462,1629874342.67
1297,6388,engces0107,translator-A,5,TGT,eng,ces,100,guardian.306616,False,1629874378.308,1629874393.515
1298,6406,engces0107,translator-A,8,TGT,eng,ces,100,guardian.306616,False,1629874501.647,1629874521.528
1299,6409,engces0107,translator-A,9,TGT,eng,ces,100,guardian.306616,False,1629874524.608,1629874557.376
1303,6417,engces0107,translator-A,12,TGT,eng,ces,100,guardian.306616,False,1629874631.303,1629874650.708
1307,6426,engces0107,translator-A,13,TGT,eng,ces,100,guardian.306616,False,1629874655.036,1629874744.053
1309,6430,engces0107,translator-A,14,TGT,eng,ces,100,guardian.306616,False,1629874746.292,1629874794.242
1311,6433,engces0107,translator-A,15,TGT,eng,ces,100,guardian.306616,False,1629874797.326,1629874821.223
1312,6435,engces0107,translator-A,16,TGT,eng,ces,100,guardian.306616,False,1629874823.458,1629874847.021
1317,6454,engces0107,translator-A,18,TGT,eng,ces,100,guardian.306616,False,1629874976.254,1629874991.172
1324,6471,engces0107,translator-A,20,TGT,eng,ces,100,guardian.306616,False,1629875074.628,1629875134.615
1325,6472,engces0107,translator-A,21,TGT,eng,ces,100,guardian.306616,False,1629875170.685,1629875174.719
1327,6475,engces0107,translator-A,22,TGT,eng,ces,100,guardian.306616,False,1629875179.558,1629875201.078
1330,6484,engces0107,translator-A,24,TGT,eng,ces,100,guardian.306616,False,1629875258.365,1629875294.229
1353,6555,engces0107,Online-G,10,TGT,eng,ces,100,guardian.306616,False,1629875941.175,1629875951.359
1356,6561,engces0107,Online-G,12,TGT,eng,ces,100,guardian.306616,False,1629875962.99,1629875971.371
1360,6576,engces0107,Online-G,14,TGT,eng,ces,100,guardian.306616,False,1629876014.866,1629876031.368
1363,6584,engces0107,Online-G,16,TGT,eng,ces,100,guardian.306616,False,1629876068.834,1629876070.464
1376,6617,engces0107,Online-G,23,TGT,eng,ces,100,guardian.306616,False,1629876278.483,1629876309.323
1385,6645,engces0107,eTranslation,2,TGT,eng,ces,100,bbc.500856,False,1629876545.15,1629876575.679
1390,6658,engces0107,eTranslation,5,TGT,eng,ces,100,bbc.500856,False,1629876652.67,1629876672.986
1393,6668,engces0107,eTranslation,6,TGT,eng,ces,100,bbc.500856,False,1629876678.858,1629876743.435
1396,6685,engces0107,eTranslation,7,TGT,eng,ces,100,bbc.500856,False,1629876751.266,1629876814.043
1398,6690,engces0107,eTranslation,8,TGT,eng,ces,100,bbc.500856,False,1629876816.603,1629876852.503
1399,6694,engces0107,eTranslation,9,TGT,eng,ces,100,bbc.500856,False,1629876852.508,1629876861.991
1401,6701,engces0107,eTranslation,10,TGT,eng,ces,100,bbc.500856,False,1629876867.816,1629876912.855
1404,6709,engces0107,eTranslation,11,TGT,eng,ces,100,bbc.500856,False,1629876944.795,1629876974.903
1406,6713,engces0107,eTranslation,12,TGT,eng,ces,100,bbc.500856,False,1629876983.714,1629876999.835
1429,6792,engces0107,CUNI-DocTransformer,3,TGT,eng,ces,100,egyptindependent.com.6413,False,1629877888.534,1629877902.134
1436,6818,engces0107,CUNI-Marian-Baselines,1,TGT,eng,ces,100,cbsnews.377515,False,1629878107.826,1629878207.354
1445,6854,engces0107,translator-B,0,TGT,eng,ces,100,rte.en.ie.30771,False,1629878393.728,1629878414.315
1446,6864,engces0107,translator-B,1,TGT,eng,ces,100,rte.en.ie.30771,False,1629878416.466,1629878444.539
1447,6871,engces0107,translator-B,2,TGT,eng,ces,100,rte.en.ie.30771,False,1629878448.158,1629878474.278
1450,6885,engces0107,translator-B,3,TGT,eng,ces,100,rte.en.ie.30771,False,1629878477.294,1629878531.038
1451,6896,engces0107,translator-B,4,TGT,eng,ces,100,rte.en.ie.30771,False,1629878534.198,1629878590.697
1455,6913,engces0107,translator-B,7,TGT,eng,ces,100,rte.en.ie.30771,False,1629878679.057,1629878708.761
1457,6920,engces0107,translator-B,8,TGT,eng,ces,100,rte.en.ie.30771,False,1629878711.641,1629878735.701
1458,6923,engces0107,translator-B,9,TGT,eng,ces,100,rte.en.ie.30771,True,1629878735.704,1629878740.93
1459,6934,engces0107,translator-B,2,TGT,eng,ces,100,rte.en.ie.30771,False,1629878762.855,1629878780.862
1460,6938,engces0107,translator-B,3,TGT,eng,ces,100,rte.en.ie.30771,False,1629878780.867,1629878798.778
1467,7002,engces0107,CUNI-DocTransformer,2,TGT,eng,ces,100,egyptindependent.com.6413,False,1629878984.729,1629879028.794
1468,7004,engces0107,CUNI-DocTransformer,3,TGT,eng,ces,100,egyptindependent.com.6413,False,1629879028.799,1629879033.242
1470,7038,engces0107,CUNI-DocTransformer,5,TGT,eng,ces,100,egyptindependent.com.6413,False,1629879084.938,1629879113.298
1479,7124,engces0107,CUNI-DocTransformer,0,TGT,eng,ces,100,en.ndtv.com.75109,False,1629879437.076,1629879439.394
1481,7141,engces0107,CUNI-DocTransformer,1,TGT,eng,ces,100,en.ndtv.com.75109,False,1629879447.445,1629879490.349
1485,7163,engces0107,CUNI-DocTransformer,3,TGT,eng,ces,100,en.ndtv.com.75109,False,1629879606.793,1629879627.698
1486,7164,engces0107,CUNI-DocTransformer,4,TGT,eng,ces,100,en.ndtv.com.75109,False,1629879627.703,1629879632.37
1488,7170,engces0107,CUNI-DocTransformer,5,TGT,eng,ces,100,en.ndtv.com.75109,False,1629879657.893,1629879661.306
1491,7177,engces0107,CUNI-DocTransformer,7,TGT,eng,ces,100,en.ndtv.com.75109,False,1629879700.311,1629879712.33
1493,7188,engces0107,CUNI-DocTransformer,8,TGT,eng,ces,100,en.ndtv.com.75109,False,1629879716.705,1629879773.477
1494,7195,engces0107,CUNI-DocTransformer,9,TGT,eng,ces,100,en.ndtv.com.75109,False,1629879782.496,1629879805.045
1504,7281,engces0107,CUNI-DocTransformer,12,TGT,eng,ces,100,en.ndtv.com.75109,False,1629879940.097,1629880212.525
1519,7391,engces0107,Online-G,6,TGT,eng,ces,100,rt.com.131224,False,1629880767.924,1629880801.332
1523,7422,engces0107,Online-G,12,TGT,eng,ces,100,rt.com.131224,False,1629881070.304,1629881083.425
1525,7453,engces0107,Online-G,14,TGT,eng,ces,100,rt.com.131224,False,1629881260.612,1629881296.016
1530,7480,engces0107,Online-G,17,TGT,eng,ces,100,rt.com.131224,False,1629881560.444,1629881618.48
1544,7523,engces0107,CUNI-Transformer2018,3,TGT,eng,ces,100,egyptindependent.com.6413,False,1629882107.058,1629882110.704
1550,7535,engces0107,CUNI-Transformer2018,7,TGT,eng,ces,100,egyptindependent.com.6413,False,1629882308.81,1629882311.367
1642,7812,engces010c,Online-W,13,TGT,eng,ces,98,nytimes.268754,False,1629888535.941,1629888577.061
1683,7869,engces010d,CUNI-Transformer2018,0,TGT,eng,ces,100,allafrica.53572,False,1629891950.073,1629891993.762
1692,7878,engces010d,CUNI-Transformer2018,3,TGT,eng,ces,100,allafrica.53572,False,1629892444.89,1629892495.766
