Dominic Raab: Government can't make apologies for Spain quarantine decision|Доминик Рааб: Правительство не может извиниться за решение Испании о карантине|mt
He said the situation was then assessed yesterday afternoon "and we took the decision as swiftly as we could."|Он сказал, что ситуация была оценена вчера днем, "и мы приняли решение так быстро, как только могли".|mt
He said the situation was then assessed yesterday afternoon "and we took the decision as swiftly as we could."|По его словам, ситуация была оценена вчера днем, "и мы приняли решение так быстро, как могли".|mt
"We can't make apologies for doing so," he added.|"Мы не можем извиняться за это", - добавил он.|mt
"We can't make apologies for doing so," he added.|«Мы не можем принести извинения за это», — добавил он.|mt
"We can't make apologies for doing so," he added.|"Мы не можем извиниться за это", - добавил он.|mt
"We must be able to take swift, decisive action, particularly in relation to localised, or internationally in relation to Spain or a particular country, where we see we must take action."|"Мы должны быть в состоянии принимать быстрые, решительные меры, особенно в отношении локализованных, или на международном уровне в отношении Испании или конкретной страны, где мы видим, что мы должны принять меры".|mt
"We must be able to take swift, decisive action, particularly in relation to localised, or internationally in relation to Spain or a particular country, where we see we must take action."|"Мы должны быть в состоянии принять быстрые, решительные меры, особенно в отношении локализованных или международных в отношении Испании или конкретной страны, где мы видим, что мы должны принять меры."|mt
"We must be able to take swift, decisive action, particularly in relation to localised, or internationally in relation to Spain or a particular country, where we see we must take action."|"Мы должны быть в состоянии принять быстрые, решительные меры, особенно в отношении локальных, или международных мер в отношении Испании или конкретной страны, когда мы видим, что должны принять меры".|mt
"We must be able to take swift, decisive action, particularly in relation to localised, or internationally in relation to Spain or a particular country, where we see we must take action."|"Мы должны быть в состоянии принять быстрые, решительные меры, особенно в отношении локальных, или на международном уровне в отношении Испании или конкретной страны, где мы видим, что мы должны принять меры".|mt
Transport secretary among Spain holidaymakers forced to quarantine|Министра транспорта среди отдыхающих Испании отправили на карантин|mt
Transport secretary among Spain holidaymakers forced to quarantine|Министра транспорта среди отдыхающих Испании заставили уйти на карантин|mt
Transport secretary among Spain holidaymakers forced to quarantine|Министр транспорта Испании среди отдыхающих, вынужденных уйти на карантин|mt
Transport secretary among Spain holidaymakers forced to quarantine|Министр транспорта среди отдыхающих в Испании, вынужденных находиться на карантине|mt
Transport secretary among Spain holidaymakers forced to quarantine|Министр транспорта среди отдыхающих в Испании вынужден соблюдать карантин|mt
Transport secretary among Spain holidaymakers forced to quarantine|Министр транспорта Испании среди отдыхающих вынужден ввести карантин|mt
The decision was made after Spain recorded more than 900 new daily Covid-19 cases for two days running.|Решение было принято после того, как Испания зарегистрировала более 900 новых ежедневных случаев заболевания Covid-19 в течение двух дней подряд.|mt
The decision was made after Spain recorded more than 900 new daily Covid-19 cases for two days running.|Решение было принято после того, как в Испании было зарегистрировано более 900 новых ежедневных случаев Covid-19 в течение двух дней подряд.|mt
The decision was made after Spain recorded more than 900 new daily Covid-19 cases for two days running.|Решение было принято после того, как в Испании в течение двух дней подряд регистрировалось более 900 новых ежедневных случаев Covid-19.|mt
The decision was made after Spain recorded more than 900 new daily Covid-19 cases for two days running.|Решение было принято после того, как Испания зафиксировала более 900 новых ежедневных случаев Covid-19 в течение двух дней подряд.|mt
The decision was made after Spain recorded more than 900 new daily Covid-19 cases for two days running.|Решение было принято после того, как в Испании в течение двух дней подряд ежедневно регистрировалось более 900 новых случаев Covid-19.|mt
The Foreign Secretary acknowledged that many tourists had been left with no time to cancel or alter their plans.|Министр иностранных дел признал, что у многих туристов не осталось времени, чтобы отменить или изменить свои планы.|mt
The Foreign Secretary acknowledged that many tourists had been left with no time to cancel or alter their plans.|Министр иностранных дел признал, что у многих туристов не было времени отменить или изменить свои планы.|mt
Shadow Health Secretary Jonathan Ashworth condemned the Government for its "frankly shambolic" handling of the measure.|Теневой министр здравоохранения Джонатан Эшворт осудил правительство за "откровенно хамское" обращение с этой мерой.|mt
Shadow Health Secretary Jonathan Ashworth condemned the Government for its "frankly shambolic" handling of the measure.|Теневой министр здравоохранения Джонатан Эшворт осудил правительство за его "откровенно шамболическое" обращение с этой мерой.|mt
Shadow Health Secretary Jonathan Ashworth condemned the Government for its "frankly shambolic" handling of the measure.|Теневой министр здравоохранения Джонатан Эшворт осудил правительство за "откровенно позорное" отношение к этой мере.|mt
Shadow Health Secretary Jonathan Ashworth condemned the Government for its "frankly shambolic" handling of the measure.|Теневой министр здравоохранения Джонатан Эшворт осудил правительство за "откровенно халтурное" отношение к этой мере.|mt
Shadow Health Secretary Jonathan Ashworth condemned the Government for its "frankly shambolic" handling of the measure.|Теневой министр здравоохранения Джонатан Эшворт осудил правительство за его "откровенно бестолковое" отношение к этой мере.|mt
Shadow Health Secretary Jonathan Ashworth condemned the Government for its "frankly shambolic" handling of the measure.|Теневой министр здравоохранения Джонатан Эшворт осудил правительство за его «откровенно беспорядочные» действия с этой мерой.|mt
He said Downing Street's sudden decision had left holidaymakers "confused and distressed."|Он сказал, что внезапное решение Даунинг-стрит оставило отдыхающих "растерянными и огорченными".|mt
He said Downing Street's sudden decision had left holidaymakers "confused and distressed."|Он сказал, что внезапное решение Даунинг-стрит оставило отдыхающих «смущенными и расстроенными».|mt
He said Downing Street's sudden decision had left holidaymakers "confused and distressed."|По его словам, внезапное решение Даунинг-стрит привело отдыхающих "в замешательство и беспокойство".|mt
"There are holidaymakers in Spain at the moment confused and distressed, there are people about to go on holiday to Spain and the islands like Tenerife who are confused, and they don't know whether their employers will allow them to take two weeks" quarantine.|"Есть отдыхающие в Испании в данный момент растерянные и огорченные, есть люди, которые собираются отправиться в отпуск в Испанию и на такие острова, как Тенерифе, которые растеряны, и они не знают, позволят ли их работодатели взять двухнедельный карантин.|mt
"There are holidaymakers in Spain at the moment confused and distressed, there are people about to go on holiday to Spain and the islands like Tenerife who are confused, and they don't know whether their employers will allow them to take two weeks" quarantine.|"Есть отдыхающие в Испании в данный момент растерянные и огорченные, есть люди, которые собираются отправиться на отдых в Испанию и на такие острова, как Тенерифе, которые в замешательстве, и они не знают, позволят ли их работодатели им взять двухнедельный карантин".|mt
"There are holidaymakers in Spain at the moment confused and distressed, there are people about to go on holiday to Spain and the islands like Tenerife who are confused, and they don't know whether their employers will allow them to take two weeks" quarantine.|"В настоящее время в Испании есть отдыхающие, которые сбиты с толку и расстроены, есть люди, которые собираются отправиться в отпуск в Испанию и на острова, такие как Тенерифе, которые сбиты с толку, и они не знают, позволят ли их работодатели им взять двухнедельный карантин".|mt
"There are holidaymakers in Spain at the moment confused and distressed, there are people about to go on holiday to Spain and the islands like Tenerife who are confused, and they don't know whether their employers will allow them to take two weeks" quarantine.|«В Испании сейчас есть отдыхающие, растерянные и расстроенные, есть люди, которые собираются отправиться в отпуск в Испанию и на такие острова, как Тенерифе, которые в замешательстве, и они не знают, позволят ли их работодатели взять двухнедельный карантин.|mt
"There are holidaymakers in Spain at the moment confused and distressed, there are people about to go on holiday to Spain and the islands like Tenerife who are confused, and they don't know whether their employers will allow them to take two weeks" quarantine.|"Есть отдыхающие в Испании, которые сейчас растеряны и расстроены, есть люди, которые собираются поехать в отпуск в Испанию и на острова, такие как Тенерифе, которые растеряны, и они не знают, позволят ли им их работодатели взять двухнедельный карантин".|mt
"The Government is just saying, "we hope that employers co-operate.""|"Правительство просто говорит:" Мы надеемся, что работодатели будут сотрудничать "".|mt
"The Government is just saying, "we hope that employers co-operate.""|"Правительство просто говорит: "Мы надеемся, что работодатели будут сотрудничать.""|mt
"The Government is just saying, "we hope that employers co-operate.""|"Правительство просто говорит:" Мы надеемся, что работодатели будут сотрудничать ".|mt
"The Government is just saying, "we hope that employers co-operate.""|"Правительство просто говорит: "Мы надеемся, что работодатели будут сотрудничать".|mt
"The way in which this decision has been made in the last 24 hours is frankly shambolic."|"То, как это решение было принято за последние 24 часа, является откровенно хаотичным".|mt
"The way in which this decision has been made in the last 24 hours is frankly shambolic."|«То, как это решение было принято за последние 24 часа, откровенно шатким».|mt
"The way in which this decision has been made in the last 24 hours is frankly shambolic."|"То, как это решение было принято за последние 24 часа, откровенно бесстыдно".|mt
"The way in which this decision has been made in the last 24 hours is frankly shambolic."|"То, как это решение было принято за последние 24 часа, откровенно шамболически ".|mt
"The way in which this decision has been made in the last 24 hours is frankly shambolic."|"То, как это решение было принято за последние 24 часа, откровенно шокирует."|mt
"The way in which this decision has been made in the last 24 hours is frankly shambolic."|«То, как это решение было принято за последние 24 часа, откровенно ошибочно».|mt
"The way in which this decision has been made in the last 24 hours is frankly shambolic."|"То, как это решение было принято за последние 24 часа, откровенно постыдно".|mt
What does Spain being on quarantine list mean for holidaymakers?|Что означает для отдыхающих попадание Испании в карантинный список?|mt
What does Spain being on quarantine list mean for holidaymakers?|Что значит для отдыхающих нахождение Испании в карантинном списке?|mt
What does Spain being on quarantine list mean for holidaymakers?|Что означает включение Испании в карантинный список для отдыхающих?|mt
What does Spain being on quarantine list mean for holidaymakers?|Что означает для отдыхающих нахождение Испании в карантинном списке?|mt
What does Spain being on quarantine list mean for holidaymakers?|Что означает для отдыхающих включение Испании в карантинный список?|mt
What does Spain being on quarantine list mean for holidaymakers?|Что означает для отдыхающих пребывание Испании в карантинном списке?|mt
He urged ministers to offer "clarity" on whether those who are asked to quarantine will receive financial support if their employers refuse to pay them during the quarantine period.|Он призвал министров внести "ясность" в вопрос о том, получат ли те, кого попросят пройти карантин, финансовую поддержку, если их работодатели откажутся платить им в период карантина.|mt
He urged ministers to offer "clarity" on whether those who are asked to quarantine will receive financial support if their employers refuse to pay them during the quarantine period.|Он призвал министров внести "ясность" в вопрос о том, получат ли те, кого просят соблюдать карантин, финансовую поддержку, если их работодатели откажутся платить им в период карантина.|mt
He urged ministers to offer "clarity" on whether those who are asked to quarantine will receive financial support if their employers refuse to pay them during the quarantine period.|Он призвал министров внести "ясность" в вопрос о том, получат ли те, кого попросят уйти на карантин, финансовую поддержку, если их работодатели откажутся платить им во время карантина.|mt
He urged ministers to offer "clarity" on whether those who are asked to quarantine will receive financial support if their employers refuse to pay them during the quarantine period.|Он призвал министров внести «ясность» в вопрос о том, получат ли те, кого просят о карантине, финансовую поддержку, если их работодатели откажутся платить им в период карантина.|mt
He urged ministers to offer "clarity" on whether those who are asked to quarantine will receive financial support if their employers refuse to pay them during the quarantine period.|Он призвал министров внести "ясность" в вопрос, получат ли те, кого просят на карантин, финансовую поддержку, если их работодатели откажутся платить им в период карантина.|mt
He added that clear information was also needed "for those holidaymakers who are currently in Spain who have properly saved up all year for their family holiday who are confused and distressed."|Он добавил, что четкая информация также необходима "для тех отдыхающих, которые сейчас находятся в Испании, которые весь год исправно копили деньги на семейный отдых, и которые находятся в замешательстве и расстроены".|mt
He added that clear information was also needed "for those holidaymakers who are currently in Spain who have properly saved up all year for their family holiday who are confused and distressed."|Он добавил, что четкая информация также необходима «для тех отдыхающих, которые в настоящее время находятся в Испании, которые должным образом накопили весь год для своего семейного отдыха, которые смущены и расстроены».|mt
He added that clear information was also needed "for those holidaymakers who are currently in Spain who have properly saved up all year for their family holiday who are confused and distressed."|Он добавил, что четкая информация также необходима "для тех отдыхающих, которые в настоящее время находятся в Испании, которые правильно накопили весь год для своего семейного отдыха, которые растеряны и огорчены".|mt
He added that clear information was also needed "for those holidaymakers who are currently in Spain who have properly saved up all year for their family holiday who are confused and distressed."|Он добавил, что четкая информация также необходима "для тех отдыхающих, которые в настоящее время находятся в Испании, которые должным образом накопили весь год для своего семейного отдыха, которые смущены и огорчены".|mt
He added that clear information was also needed "for those holidaymakers who are currently in Spain who have properly saved up all year for their family holiday who are confused and distressed."|Он добавил, что также необходима четкая информация "для тех отдыхающих, которые в настоящее время находятся в Испании, которые должным образом копили весь год для своего семейного отдыха, которые растеряны и расстроены".|mt
He added that clear information was also needed "for those holidaymakers who are currently in Spain who have properly saved up all year for their family holiday who are confused and distressed."|Он добавил, что четкая информация также необходима "для тех отдыхающих, которые в настоящее время находятся в Испании, которые должным образом накопили весь год для своего семейного отдыха, которые сбиты с толку и расстроены."|mt
He added that clear information was also needed "for those holidaymakers who are currently in Spain who have properly saved up all year for their family holiday who are confused and distressed."|Он добавил, что четкая информация также необходима «для тех отдыхающих, которые в настоящее время находятся в Испании, которые должным образом накопили весь год для своего семейного отдыха, которые сбиты с толку и обеспокоены».|mt
"The way in which this decision has been communicated is obviously causing anxiety," he stressed.|"То, как было сообщено об этом решении, очевидно, вызывает беспокойство", - подчеркнул он.|mt
"The way in which this decision has been communicated is obviously causing anxiety," he stressed.|«Способ, которым это решение было сообщено, очевидно, вызывает беспокойство», — подчеркнул он.|mt
He said: "We are changing the rules - the law is changed in relation to holidaymakers and travellers - and of course we expect employers to show those employees who will have to quarantine because of the law the flexibility they need.|Он сказал: "Мы меняем правила - закон меняется в отношении отдыхающих и путешественников - и, конечно, мы ожидаем, что работодатели покажут тем сотрудникам, которым придется уйти на карантин из-за закона, необходимую им гибкость.|mt
He said: "We are changing the rules - the law is changed in relation to holidaymakers and travellers - and of course we expect employers to show those employees who will have to quarantine because of the law the flexibility they need.|Он сказал: "Мы меняем правила - закон изменен в отношении отдыхающих и путешественников - и, конечно, мы ожидаем, что работодатели покажут тем сотрудникам, которым придется находиться на карантине из-за закона, гибкость, в которой они нуждаются.|mt
He said: "We are changing the rules - the law is changed in relation to holidaymakers and travellers - and of course we expect employers to show those employees who will have to quarantine because of the law the flexibility they need.|Он сказал: "Мы меняем правила - закон меняется в отношении отдыхающих и путешественников - и, конечно, мы ожидаем, что работодатели покажут тем сотрудникам, которым придется пройти карантин из-за закона, необходимую гибкость.|mt
He said: "We are changing the rules - the law is changed in relation to holidaymakers and travellers - and of course we expect employers to show those employees who will have to quarantine because of the law the flexibility they need.|Он сказал: "Мы меняем правила - закон меняется в отношении отдыхающих и путешественников - и, конечно, мы ожидаем, что работодатели покажут тем сотрудникам, которым придется соблюдать карантин из-за закона, необходимую им гибкость.|mt
The agency said people began showing symptoms linked to a strain of salmonella, which can take two to four weeks to manifest symptoms, between June 19 and July 11.|Агентство сообщило, что у людей начали проявляться симптомы, связанные со штаммом сальмонеллы, который может занять от двух до четырех недель, чтобы проявить симптомы, в период с 19 июня по 11 июля.|mt
The agency said people began showing symptoms linked to a strain of salmonella, which can take two to four weeks to manifest symptoms, between June 19 and July 11.|Агентство сообщило, что в период с 19 июня по 11 июля у людей начали проявляться симптомы, связанные со штаммом сальмонеллы, проявление которых может занять от двух до четырех недель.|mt
The agency said people began showing symptoms linked to a strain of salmonella, which can take two to four weeks to manifest symptoms, between June 19 and July 11.|Агентство сообщило, что в период с 19 июня по 11 июля у людей начали проявляться симптомы, связанные со штаммом сальмонеллы, который может проявляться от двух до четырех недель.|mt
The agency said people began showing symptoms linked to a strain of salmonella, which can take two to four weeks to manifest symptoms, between June 19 and July 11.|Агентство сообщило, что симптомы, связанные со штаммом сальмонеллы, которые могут проявляться от двух до четырех недель, начали проявляться в период с 19 июня по 11 июля.|mt
The agency said people began showing symptoms linked to a strain of salmonella, which can take two to four weeks to manifest symptoms, between June 19 and July 11.|Агентство сообщило, что у людей начали проявляться симптомы, связанные со штаммом сальмонеллы, на проявление симптомов которого может уйти от двух до четырех недель, в период с 19 июня по 11 июля.|mt
The agency said people began showing symptoms linked to a strain of salmonella, which can take two to four weeks to manifest symptoms, between June 19 and July 11.|Агентство сообщило, что у людей появились симптомы, связанные со штаммом сальмонеллы, которые могут проявляться в течение двух-четырех недель, в период с 19 июня по 11 июля.|mt
Thirty-one people have been hospitalized since the outbreak began, but no fatalities have been reported.|Тридцать один человек был госпитализирован с начала вспышки, но о погибших не сообщалось.|mt
Thirty-one people have been hospitalized since the outbreak began, but no fatalities have been reported.|С начала вспышки был госпитализирован 31 человек, но о летальных исходах не сообщалось.|mt
Thirty-one people have been hospitalized since the outbreak began, but no fatalities have been reported.|С начала вспышки был госпитализирован 31 человек, но о летальных исходах не сообщается.|mt
Thirty-one people have been hospitalized since the outbreak began, but no fatalities have been reported.|Тридцать один человек был госпитализирован с начала вспышки, но о смертельных случаях не сообщалось.|mt
Thirty-one people have been hospitalized since the outbreak began, but no fatalities have been reported.|Тридцать один человек был госпитализирован с начала вспышки, но о погибших не сообщается.|mt
The most common symptoms of salmonella infection are diarrhea, fever, and stomach cramps, which can begin between six hours and six days after exposure.|Наиболее распространенными симптомами заражения сальмонеллой являются диарея, лихорадка и желудочные спазмы, которые могут начаться в период от шести часов до шести дней после заражения.|mt
The most common symptoms of salmonella infection are diarrhea, fever, and stomach cramps, which can begin between six hours and six days after exposure.|Наиболее распространенными симптомами сальмонеллезной инфекции являются диарея, лихорадка и спазмы желудка, которые могут начаться между шестью часами и шестью днями после воздействия.|mt
The most common symptoms of salmonella infection are diarrhea, fever, and stomach cramps, which can begin between six hours and six days after exposure.|Наиболее распространенными симптомами заражения сальмонеллой являются диарея, лихорадка и спазмы желудка, которые могут начаться от шести часов до шести дней после заражения.|mt
The most common symptoms of salmonella infection are diarrhea, fever, and stomach cramps, which can begin between six hours and six days after exposure.|Наиболее частыми симптомами инфекции сальмонеллы являются диарея, лихорадка и спазмы желудка, которые могут начаться между шестью часами и шестью днями после заражения.|mt
The most common symptoms of salmonella infection are diarrhea, fever, and stomach cramps, which can begin between six hours and six days after exposure.|Наиболее распространенными симптомами инфекции сальмонеллы являются диарея, лихорадка и спазмы желудка, которые могут начаться между шестью часами и шестью днями после воздействия.|mt
O'Brien can be heard crying in the background as the attacker walks away with her dogs.|На заднем плане слышно, как О'Брайен плачет, когда нападавшая уходит со своими собаками.|mt
O'Brien can be heard crying in the background as the attacker walks away with her dogs.|На заднем плане слышно, как О'Брайен плачет, а нападавший уходит со своими собаками.|mt
O'Brien can be heard crying in the background as the attacker walks away with her dogs.|О'Брайен плачет на заднем плане, когда нападавший уходит со своими собаками.|mt
O'Brien can be heard crying in the background as the attacker walks away with her dogs.|Слышно, как О 'Брайен плачет на заднем плане, когда нападавший уходит со своими собаками.|mt
O'Brien can be heard crying in the background as the attacker walks away with her dogs.|Можно услышать, как О'Брайен плачет на заднем плане, когда нападавший уходит со своими собаками.|mt
O'Brien can be heard crying in the background as the attacker walks away with her dogs.|О 'Брайен плачет на заднем плане, когда нападающая уходит со своими собаками.|mt
O'Brien can be heard crying in the background as the attacker walks away with her dogs.|О'Брайен можно услышать плач на заднем плане, когда нападавший уходит со своими собаками.|mt
O'Brien shared the video on Facebook and told ABC 10 that she wants to see the woman "go to jail."|О'Брайен поделилась видео на Facebook и сказала ABC 10, что она хочет, чтобы женщина "попала в тюрьму".|mt
O'Brien shared the video on Facebook and told ABC 10 that she wants to see the woman "go to jail."|О'Брайен поделилась видео на Facebook и сказала ABC 10, что хочет, чтобы женщина "отправилась в тюрьму."|mt
O'Brien shared the video on Facebook and told ABC 10 that she wants to see the woman "go to jail."|О'Брайен поделилась видео в Facebook и сказала ABC 10, что хочет, чтобы женщина «села в тюрьму».|mt
O'Brien shared the video on Facebook and told ABC 10 that she wants to see the woman "go to jail."|О'Брайен поделилась видео в Facebook и рассказала ABC 10, что хочет, чтобы женщина «попала в тюрьму».|mt
O'Brien shared the video on Facebook and told ABC 10 that she wants to see the woman "go to jail."|О 'Брайен поделилась видео в Facebook и сообщила телеканалу ABC 10, что хочет, чтобы женщина "попала в тюрьму".|mt
O'Brien shared the video on Facebook and told ABC 10 that she wants to see the woman "go to jail."|О 'Брайен поделилась видео в Facebook и рассказала ABC 10, что хочет, чтобы женщина "попала в тюрьму".|mt
Face masks are mandatory across the state of California, even in fresh air.|Маски для лица обязательны по всему штату Калифорния, даже на свежем воздухе.|mt
Face masks are mandatory across the state of California, even in fresh air.|Маски для лица обязательны на всей территории штата Калифорния, даже на свежем воздухе.|mt
Face masks are mandatory across the state of California, even in fresh air.|Маски для лица являются обязательными по всему штату Калифорния, даже на свежем воздухе.|mt
Face masks are mandatory across the state of California, even in fresh air.|Лицевые маски являются обязательными по всему штату Калифорния, даже на свежем воздухе.|mt
These masks can only be removed at a select few times, including when eating or drinking.|Эти маски можно снимать только в несколько раз, в том числе во время еды или питья.|mt
These masks can only be removed at a select few times, including when eating or drinking.|Эти маски можно снимать только несколько раз, в том числе во время еды или питья.|mt
