For those who stay until the end of October the fee rises to £40,000.|Тем, кто продержится до конца октября, уже выплачивают 40 тысяч.|human
However, FDA did note that it doesn't necessarily mean that implant cause it and further research is need to understand the relationship between the condition and breast implants.|Тем не менее, FDA отметило, что это не означает, что рак вызывается имплантатом, и требуются новые исследования, чтобы понять связь между заболеванием и имплантатами груди.|human
Shirley had received a health warning following a mammogram and subsequently made the brave decision to remove her implants.|После маммографии Ширли получила предупреждение от врачей и в результате приняла смелое решение удалить имплантаты.|human
Speaking to The Sun, Shirley was told "there's no guarantee that we can ever really see behind the back of the implants," which made her realise it could be difficult for doctors to detect any cancers.|В разговоре с The Sun Ширли сказала, что “нет никакой гарантии, что мы когда-нибудь сможем заглянуть за заднюю стенку имплантов”, и она поняла, что из-за этого докторам может быть сложно диагностировать рак.|human
Shirley said: "I'm scheduled for the operation on Tuesday, October 29th."|Ширли сказала: “Моя операция назначена на вторник, 29 октября”.|human
My doctor says I have recuperation of a week, but I want to do Strictly on the Saturday night.|Мой доктор говорит, что мне потребуется реабилитация в течение недели, но я хочу быть на Strictly в субботу вечером.|human
Joking that "it's not like I have to dance and do the cha cha cha or the samba."|Она пошутила, что “ей ведь не придется танцевать ча-ча-ча или самбу”.|human
I have spoke to the BBC and they have been very, very supportive.|Я говорила с BBC и они меня очень поддерживают.|human
They said you have to do what you feel most comfortable for your health.|Они сказали, чтобы я поступала так, как мне комфортно в вопросах здоровья.|human
Despite the FDA announcing more research is needed on the subject of implants and its correlation to breast cancer, Shirley has decided not to take any chances and believes it has impacted her health negatively.|Несмотря на то, что FDA заявило о необходимости исследований на тему имплантатов и их связи с раком груди, Ширли решила не рисковать и считает, что они уже оказали негативное влияние на ее здоровье.|human
There are rumours that the scar tissues cause chronic fatigue which I have suffered with even over the last year.|Есть мнение, что рубцовая ткань является причиной хронической усталости, от которой я страдаю уже более года.|human
Usually I don't get tired and I'm like an Energizer bunny.|Обычно я не устаю, как заяц Energizer.|human
But if they take out the scar tissue it would involve bigger surgery and perhaps a reconstruction.|Но если они удалят рубцовую ткань -- это означает уже более крупную операцию, и, возможно, пластику.|human
But I don't want any implants in.|Но я не хочу никаких имплантатов.|human
I don't want any foreign bodies in my body.|Я не хочу никаких инородных предметов в моем теле.|human
Symptoms of breast cancer include a lump in the breast, a change in the size or shape of the breast, a dimpling of the skin or thickening in the breast tissue, an inverted nipple, a rash on the nipple, discharge, or a swelling in the armpit.|Симптомы рака груди включают в себя уплотнения в груди, изменение объема или формы груди, появление ямочек на коже и утолщение ткани молочной железы, втянутый сосок, сыпь на соске, выделения и припухлость в подмышках.|human
The hit ABC drama debuted it's new season Thursday night and it was a lot.|Премьера нового сезона популярного сериала телеканала ABC, прошедшая вечером в четверг, принесла много неожиданного.|human
From Amelia Shepherd (played by Caterina Scorsone) using her date with Atticus Lincoln a.k.a. Dr. Link (Chris Carmack) to float the idea of a three-way, to Meredith Grey (Ellen Pompeo) facing the threat of losing her medical license, there was plenty of "OMG" moments.|Шокирующих моментов было много: от свидания Амелии Шеперд (в исполнении Катерины Скорсоне) с Аттикусом Линкольном — Доктором Линком (Крис Кармак), где она предложила секс втроем, до угрозы потери лицензии на медицинскую деятельность, вставшей перед Мередит Грей (Эллен Помпео).|human
But what seemed to really mess up social media was the revelation that Amelia might be pregnant -- which of course was not the kind of threesome she was envisioning.|Но самый большой фурор в соцсетях вызвала потенциальная беременность Амелии — ведь это совсем не то, что она ожидала от секса втроем.|human
"Omg the new episode of grey's anatomy... amelia... sweetie," one person tweeted.|«Боже мой новый эпизод анатомии страсти… амелия… бедная,» — написал в Твиттере один из зрителей.|human
Character Jo Karev (Camilla Luddington) also got some major support from husband Alex (Justin Chambers) after she checked into a psychiatric facility for 30 days to deal with her issues.|Джо Карев, героиня Камиллы Ладдингтон, получила серьезную поддержку от своего мужа Алекса (Джастин Чемберс), после того как на 30 дней легла в психиатрическую больницу, чтобы разобраться со своими проблемами.|human
Parents Arrested In Suspicious Death Of 4-Year-Old Palmdale Boy Noah Cuatro - CBS Los Angeles|Родители арестованы из-за подозрительной смерти Ноа Кватро, четырехлетнего мальчика из Палмдея - CBS Лос-Анджелес|human
LOS ANGELES (CBSLA) - The parents of 4-year-old Palmdale boy Noah Cuatro who died in July under suspicious circumstances were arrested Thursday, officials confirmed.|ЛОС-АНДЖЕЛЕС (CBSLA) - Родители четырехлетнего мальчика Ноа Кватро из Палмдея, который умер в июле при подозрительных обстоятельствах, были арестованы в четверг, подтвердили официальные лица.|human
Jose Cuatro and Ursula Juarez were arrested for the murder of their son, Noah, on September 26, 2019, at approximately 8:00 a.m., the Los Angeles County Sheriffs Dept. announced.|Хоск Кватро и Урсула Хуарес были арестованы по делу об убийстве их сына, Ноа, 26 сентября 2019 года, около 8:00 утра, объявила полиция округа Лос-Анджелес.|human
The two were booked at Palmdale Sheriff's Station and a search warrant was served at their residence in an attempt to recover any additional evidence related to Noah's murder.|Оба были зарегистрированы полицейским участком Палмдейла, был выдан ордер на обыск жилища, в попытке собрать дополнительные улики, связанные с убийством Ноа.|human
He was never removed from the home and placed in foster care and on the afternoon of July 5, Noah's parents called 911 to report that he was drowning in a pool at an apartment complex in the 1200 block of East Avenue S, the L.A. County Sheriff's Department reports.|Его так и не забрали из дома и не отправили на попечение, а вечером 5 июля родители Ноа позвонили 911 и сообщили, что он тонет в бассейне в квартирном комплексе в квартале 1200 по Ист авеню С, сообщает полиция округа Лос-Анджелес.|human
Noah was rushed by ambulance to a local hospital.|Скорая доставила Ноа в местную больницу.|human
He died the following morning, on July 6.|Он умер на следующее утро, 6 июля.|human
Hospital staff found signs of trauma on Noah's body and determined there were issues with his parents' explanation for his cause of death.|Сотрудники больницы нашли на теле Ноа признаки травмы и установили, что объяснение родителей по поводу причин его смерти вызывает вопросы.|human
Noah's three siblings had since been removed from the home and the sheriff's department launched an investigation.|После этого троих братьев и сестер Ноа забрали из дома, и полиция округа начала расследование.|human
"DCFS has blood on its hands," said Hernandez's attorney Brian Claypool.|“Руки DCFS в крови”, - сказал адвокат Эрнандес Брайан Клейпул.|human
Even though we're talking today about the arrest of his parents, we will be back some point in the future to hold that agency accountable for the death of this little boy.|Сегодня мы говорим об аресте его родителей, однако когда-нибудь мы вернемся к том, чтобы привлечь агентство к ответственности за смерть маленького мальчика.|human
In 2016, according to the Times, Noah was removed from the home and placed in foster care for two years.|По сообщению Times, в 2016 Ноа забрали из дома и поместили на попечение на два года.|human
He was returned to his parents' custody in November 2018.|В ноябре 2018 его вернули под опеку родителей.|human
Hernandez said she often cared for her great-grandson.|Эрнандес сказала, что она часто сидела со своим внуком.|human
"He begged me, "grandma, let me stay, don't do this to me, don't send me back,"" Hernandez said.|“Он просил меня, “бабушка, можно я останусь, не надо, не отправляй меня назад”, - сказала Эрнандес.|human
The Wales skipper wins his 130th cap, breaking the previous record held by prop Gethin Jenkins.|Уэльский шкипер становится капитаном в 130-й раз, побив предыдущий рекорд пропа Гетина Дженкинса.|human
Gatland has placed his faith in the starting XV that secured a 43-14 victory over Georgia four days ago, this despite the knocks suffered by centre Hadleigh Parkes and hooker Ken Owens.|Гатланд сделал ставку на первоначальный состав, который четыре дня назад обеспечил победу над Грузией со счетом 43-14, несмотря на удары, полученные центровым Хадли Парксом и хукером Кеном Оуэнсом.|human
There is one switch among the replacements, with Ospreys centre Owen Watkin taking over from Leigh Halfpenny.|В запасном составе есть одно изменение, центровой Оуэн Уоткин из Оспрейз придет на смену Лею Халфпенни.|human
Gatland's side features nine survivors from Wales' narrow win against the Wallabies last November.|В команде Гатланда девять участников матча, в котором Уэлс с трудом обыграл Уоллабис в прошлом ноябре.|human
Sunday's clash at the Tokyo Stadium will likely decide the winner of Pool D, setting up a potential quarter-final against either France or Argentina.|Противостояние на стадионе Токио в воскресенье, скорее всего, решит, кто станет победителем в пуле D и определит потенциального противника Франции или Аргентины в четвертьфинале.|human
The European Union has included Japan in its Asia "connectivity" plan, signing a landmark deal to coordinate transport, energy and digital projects amid concerns over China's dominance in infrastructure funding.|Европейский союз включил Японию в свой план «связи» с Азией, подписав знаковое соглашение для координации транспортных, энергетических и цифровых проектов на фоне обеспокоенности по поводу доминирования Китая в финансировании инфраструктуры.|human
The agreement formally seals Japan's engagement in the new EU-Asia connectivity plan and was signed by Japanese Prime Minister Shinzo Abe and European Commission President Jean-Claude Juncker at the Europa Connectivity Forum in Brussels on Friday.|Соглашение официально закрепляет включение Японии в новый план связи между ЕС и Азией и было подписано Премьер-министром Японии Синдзо Абэ и Председателем Европейской комиссии Жан-Клодом Юнкером на Форуме по связям с Европой в Брюсселе в пятницу.|human
"Whether it be a single road or a single port, when the EU and Japan undertake something, we are able to build sustainable, rules-based connectivity from the Indo-Pacific to the Western Balkans and Africa," Abe told reporters ahead of the signing ceremony.|«Будь то одна дорога или один порт, когда ЕС и Япония предпринимают что-либо, мы способны построить устойчивое, основанное на правилах взаимодействие от Индо-Тихоокеанского региона до Западных Балкан и Африки», – сказал Абэ репортерам перед церемонией подписания.|human
"Japan and the EU endeavor to ensure synergies and complementarity between their respective cooperation on connectivity and quality infrastructure with partner third countries and coordinate action, notably in the regions of the Western Balkans, Eastern Europe, Central Asia, Indo-Pacific, as well as in Africa," the bilateral document states.|«Япония и ЕС намерены обеспечить синергию и взаимодополняемость при сотрудничестве по установлению связей и качественной инфраструктуры с третьими странами-партнерами и координировать действия, особенно в таких регионах, как Западные Балканы, Восточная Европа, Центральная Азия, Индо-Тихоокеанский регион, а также Африка», – говорится в двустороннем документе.|human
The deal is also to ensure "transparent procurement practices," as well as "free, open, fair, non-discriminatory and predictable regional and international trade and investment."|Соглашение также призвано обеспечить «прозрачную практику поставок», а также «свободную, открытую, справедливую, недискриминационную и предсказуемую региональную и международную торговлю и инвестиции».|human
The signatories promised to pay "utmost attention" to the sides" "fiscal capacity and debt-sustainability."|Подписанты пообещали уделять «максимальное внимание» финансовому потенциалу и долговой устойчивости сторон».|human
Jean-Claude Juncker promised to help build infrastructure "without mountains of debt" or a reliance "on a single country."|Жан-Клод Юнкер пообещал помочь создать инфраструктуру «без гор долгов» или зависимости «от одной страны».|human
The two-day Europa Connectivity Forum is a multi-nation convention which aims to enforce ties between governments, financial institutions and private sectors, across Europe and beyond.|Двухдневный Форум по связям с Европой – это съезд представителей разных стран, целью которого является укрепление связей между правительствами, финансовыми учреждениями и частным сектором по всей Европе и за ее пределами.|human
The annual defense paper, approved Friday by the Cabinet, underscores Japan's fear of being targeted by its neighbor.|В ежегодном отчете министерства обороны, одобренном в пятницу Кабинетом министров, подчеркивается страх Японии быть атакованной своим соседом.|human
Its reaction to the North's recent tests contrasts to the low-key U.S. response.|Реакция Японии на недавние испытания, проведенные Северной Кореей, контрастирует со сдержанной реакцией США.|human
The defense paper also highlights that China's threat is expanding into space from the regional seas.|В отчете министерства обороны также подчеркивается, что угроза Китая распространяется в космос из региональных морей.|human
Members of Parliament have been engaged in a bitter battle with Boris Johnson and his Cabinet in an attempt to make sure Britain does not leave the European Union without an official agreement.|Члены Парламента ведут жестокую борьбу с Борисом Джонсоном и его кабинетом, стремясь к тому, чтобы Британия не покинула Европейский союз без официального соглашения.|human
Phoning in Mike Graham's show on talkRADIO, Bob said: "I think it's a watershed moment because the Brexit blockers in Parliament are beginning to show their true colours."|Позвонив на шоу Майка Грэма на talkRADIO, Боб заявил: «Думаю, настал переломный момент, потому что противники Брексита в Парламенте начинают показывать свое истинное лицо.|human
It's not that they want a deal for Brexit, they just don't want Brexit.|Дело не в том, что они не хотят соглашения по Брекситу, эй, они просто не хотят Брексита.|human
They're getting more and more outspoken and frustrated because they are beginning to realise they are fundamentally wrong.|Они действуют все более явно и все больше раздражаются, потому что начинают понимать, что в корне неправы».|human
It all goes back to one fundamental thing, this wonderful thing that we have in this country - that is our Constitution.|Все сводится к одному фундаментальному обстоятельству, замечательному обстоятельству, которое есть у нас в нашей стране — к нашей Конституции.|human
But the Prime Minister acknowledged that he would have to be able to "reach out" to opposition MPs if he was to secure their support for any new deal he negotiated with the EU.|Однако премьер-министр признал, что должен «донести свою точку зрения» до оппозиционных членов Парламента, если хочет, чтобы они поддержали любое новое соглашение, к которому он придет с Евросоюзом.|human
"Mom & Me & Mom" By Maya Angelou|«Мама, я и мама», автор Майя Энджелоу|human
"Basically, that person never saw the report, never saw the call, and he never saw the call - heard something and decided that he or she or whoever the hell it is - they're almost a spy," Trump said.|“То есть, этот человек не видел ни доклада, ни звонка, но что-то услышал и решил, что он или она, кто бы это ни был, он или она - шпион”, - сказал Трамп.|human
"Who's the person who gave the whistleblower the information?|Кто передал информацию осведомителю?|human
More than 100 "credible witnesses" were interviewed, who were "used to working in a complex airport environment."|Было опрошено более сотни «надежных свидетелей с опытом работы в аэропортах и их сложных условиях».|human
Their statements indicate the drones were flown in 12 separate bursts across the three days.|По их показаниям, в течение трех дней дроны прилетали 12 раз.|human
Earlier this month, a climate-change group called Heathrow Pause attempted to shut down Heathrow airport by flying drones, but in the Gatwick incident, no campaigning group is thought to be responsible.|Ранее в этом месяце группа эко-активистов под названием Heathrow Pause уже попыталась остановить работу аэропорта Хитроу с помощью дронов, однако судя по результатам расследования в инциденте с Гатвиком не было замешано никаких движений.|human
A couple from Crawley were wrongly arrested in December for the drone attack.|В декабре по подозрению в совершении преступления была по ошибке арестована пара из города Кроли.|human
Mr Miller said: "With support from national experts, we have carried out an exhaustive criminal investigation but, without new information coming to light, there are no further realistic lines of enquiry at this time.|Господин Миллер заявил: «Мы заручились поддержкой международных экспертов и провели тщательное расследование, но без новых данных дело в настоящее время зашло в тупик.|human
"It is taking a while for agents to get up to speed with pricing and the valuation may not be as reflective as the mood on the ground," she said.|«Риэлторы не сразу реагируют на изменения рынка, поэтому их оценка стоимости может не полностью совпадать с реальными настроениями», – сказала Косинби.|human
"Having a plan B puts a buyer in the best position to avoid putting all of their eggs in one basket and making irrational decisions," he said.|«Когда у покупателя есть план Б – он старается не ставить все на карту и уже не делает поспешных решений», – подметил он.|human
"Don't fall into a trap of going for a home you don't really want as changeover costs are high," he said.|«Не стоит покупать дом, который вам не нравится, потому что дальнейшая перепродажа приведет к большим убыткам», – пояснил он.|human
With the Sydney market facing a shortage of stock, Mr Panos said house hunters need to be patient.|Господин Пэнос считает, что при таком спаде предложений покупателям нужно набраться терпения.|human
"Buyers need to tread carefully as we are going to have a late spring this year and there will be auctions all the way up to Christmas," he said.|«Покупателям нужно вести себя осторожно: весна в этом году наступит поздно, и аукционы будут проводиться вплоть до рождественских праздников», – сказал Пэнос.|human
It also means that window of opportunity vendors have had with strong auction results these last few months will soften as a result of an increase in stock levels.|С повышением предложения у продавцов уже не будет настолько выгодных аукционов, как в прошлые месяцы.|human
Had the deal been completed, it was expected to pave way for the conclusion of the Final Investment Decision (FID).|Состоявшаяся сделка подготовила бы почву для принятия окончательного решения об инвестициях.|human
Immanuel Christian School: Sixth-grade boys accused of pinning down black girl and cutting off her dreadlocks in Virginia|Христианская школа «Иммануэл»: шестиклассники в Вирджинии обвиняются в том, что они схватили темнокожую девочку и отрезали ее дреды|human
A black middle school student from Virginia is accusing three white boys of pinning her down and cutting off her dreadlocks.|Темнокожая ученица средней школы из Вирджинии обвиняет трех мальчиков в том, что они схватили ее и отрезали ее дреды.|human
The incident took place at Immanuel Christian School - where Vice President Mike Pence's wife, Karen Pence, is a teacher.|Инцидент произошел в Христианской Школе «Иммануэл», где преподает жена вице-президента Майка Пенса Карен Пенс.|human
Amari Allen, a 12-year-old student at the private K-12 Christian school, said the boys called her dreadlocks "ugly" and "nappy" before cutting them off on the playground during recess.|Амари Аллен, 12-летняя ученица частной христианской средней школы, заявила, что мальчики назвали ее дреды «безобразными» и «нечесаными», а затем на перемене отрезали их на игровой площадке.|human
"They kept laughing and calling me names," Amari told CBS affiliate WUSA-TV, tearing up.|«Они смеялись и обзывали меня,» — со слезами на глазах рассказала Амари партнеру CBS WUSA-TV.|human
They called me 'ugly,' said, 'I shouldn't have been born.'|Они назвали меня «безобразной» и сказали, что «лучше бы я вообще не рождалась на свет».|human
They called me 'an attention-seeker.'|Они сказали, что я «выпендриваюсь».|human
According to WUSA, one of the boys allegedly covered Amari's mouth while another held her hands behind her back and a third took a pair of scissors to her dreadlocks.|По сообщениям WUSA, один из мальчиков якобы закрывал Амари рот, пока другой удерживал ее руки за спиной, а третий взял ножницы и отрезал ей дреды.|human
Amari didn't tell her family about the incident until after her grandmother noticed the length of her hair had changed.|Амари не рассказывала своей семье о том, что произошло, пока ее бабушка не заметила, что длина ее волос изменилась.|human
"They ran off laughing, and I was just sitting there," Amari said.|«Они убежали смеясь, а я так и осталась там сидеть,» — сказала Амари.|human
The alleged incident occurred on Monday, but the shy preteen said she didn't tell her family about it until Wednesday, after her grandmother noticed her hair looked different.|По сообщениям, инцидент произошел в понедельник, но стеснительная девочка сказала, что призналась родным только в среду, после того как ее бабушка заметила, что с ее волосами что-то произошло.|human
She feared retaliation if she confessed the truth, she said.|По ее словам, она боялась, что если расскажет правду, ее накажут.|human
"It's very painful," said Cynthia Allen, Amari's grandmother.|«Это очень больно,» — сказала Синтия Аллен, бабушка Амари.|human
I want to see them dismissed from the school.|Я хочу, чтобы их исключили из школы.|human
I want to see something done.|Я хочу, чтобы по этому поводу что-то сделали.|human
Allen's family pays nearly $12,000 per year for Amari to attend the school, which made headlines earlier this year after Karen Pence took an art teaching job at the famously anti-LGBTQ institution.|Семья Аллен платит почти 12 тысяч долларов в год за школу Амари, которая вызвала широкий резонанс в прессе ранее в этом году, когда Карен Пенс пришла на должность преподавательницы искусств в учреждении, известном нетерпимостью к ЛГБТК.|human
"We take seriously the emotional and physical well-being of all our students, and have a zero-tolerance policy for any kind of bullying or abuse," Immanuel Christian School said in a statement.|«Мы серьезно относимся к эмоциональному и физическому комфорту всех наших учеников и категорически не приемлем никаких видов насилия или запугивания,» — отметила в своем заявлении Христианская школа «Иммануэл».|human
We are deeply disturbed by the allegations being made, and are in communication with the family of the alleged victim to gather information and provide whatever support we can.|Нас глубоко взволновали эти обвинения, и мы связались с семьей предполагаемой жертвы, чтобы получить информацию и поддержать ее всеми доступными нам способами.|human
We have also reached out to law enforcement to ask them to conduct a thorough investigation, and further inquiries should be directed to the Fairfax County Police.|Мы также связались с правоохранительными органами с просьбой провести тщательное расследование, так что дальнейшие запросы нужно отправлять в полицию округа Фэрфакс.|human
While the school has a zero-tolerance policy for bullying, Amari said the boys had previously tormented her.|Хотя школа категорически не приемлет насилия, Амари заявила, что мальчики издевались над ней и раньше.|human
She said that the boys have taken her lunch and called her names in the past.|Она сказала, что мальчики и раньше отбирали у нее обед и обзывали ее.|human
Passenger caught urinating on Sydney train|Пассажир, помочившийся в сиднейском поезде, задержан|human
Disgusting video footage has emerged of a passenger urinating on a Sydney train as horrified school students watch just metres away.|На отвратительной видеозаписи пассажир мочится в сиднейском поезде, в то время как потрясенные школьники смотрят на него, стоя в нескольких метрах.|human
A video of the incident, which occurred at around 8.30am this morning on a train travelling between Werrington and Kingswood, was posted to Facebook by Sydney woman Jordy Lee.|Видео инцидента, который произошел сегодня утром около 8.30 в поезде, следовавшем между Веррингтоном и Кингсвудом, было опубликовано в Facebook жительницей Сиднея Джорди Ли.|human
"Share this pig around," she wrote.|“Поделитесь этой свиньей”, - написала она.|human
Doing this in front of kids on their way to school this morning.|Делать такое прямо перед школьниками, которые едут в школу с утра.|human
The footage shows a male passenger, believed to be in his late teens, leaning against a pole near the carriage doors and urinating onto the ground.|Запись показывает пассажира-мужчину, которому на вид нет двадцати лет, который опирается на поручень рядом с дверями вагона и писает на пол.|human
The kids' mum then posted it to Facebook, telling the publication she was left in disgust by the whole incident.|Мать детей опубликовала ее в Facebook, написав в посте, какое отвращение она испытала от этого случая.|human
"I am in total shock that this happened in peak hour on a Friday morning in front of children just going to school," she said.|Я в полном шоке от того, что это случилось в час пик в пятницу утром, перед детьми, которые направляются в школу”, - сказала она.|human
It's an absolutely disgusting thing to do; my dog wouldn't even do that.|Это абсолютно отвратительно, даже моя собака не стала бы делать такое.|human
When he was done he reportedly sat back on a seat and fell asleep again.|Кака сообщается, когда он закончил, он вернулся на сиденье и снова заснул.|human
"What an animal!" one person said.|“Что за животное!”, -- сказал один из них.|human
That is properly disgusting.|Это по-настоящему отвратительно.|human
A Sydney Trains spokesperson told news.com.au that passengers should report this type of behaviour immediately.|Пресс-секретарь Sydney Trains сказал news.com.au, что пассажиры должны немедленно сообщать о таком поведении.|human
"Sydney Trains encourages customers to remain courteous to others while travelling on our network," they said.|“Sydney Trains призывает пассажиров быть вежливыми друг к другу, путешествуя по нашей сети”, - сказал он.|human
Incidents such as this are rare, however we encourage customers who witness behaviour like this to report it to Train Guards or station staff immediately.|Подобные инциденты редки, тем не менее мы советуем пассажирам, которые столкнулись с таким поведением, немедленно сообщать о нем охране поезда или сотрудникам станции.|human
The spokesperson said Transport Officers travel across the network and have the power to issue penalty notices and cautions for ticketing as well as "minor behavioural offences."|Пресс-секретарь сказал, что транспортная полиция ездит по железнодорожной сети и имеет полномочия выписывать штрафы и предупреждения за безбилетный проезд, а также за “мелкие нарушения”.|human
They added: "We also work closely with the NSW Police Transport Command, which is responsible for crime prevention across the rail network."|Он добавил: “Мы также плотно работаем с командой транспортной полиции NSW, которая отвечает за предотвращение преступлений на железной дороге”.|human
Only police have the powers, training and resources to effectively respond to crime.|Только у полиции есть полномочия, навыки и ресурсы для того, чтобы эффективно реагировать на преступления.|human
Carty is most consistent Irish out-half in 2019|Карти является самым стабильным ирландским полузащитником в 2019 году|human
Stephen Ferris says Jack Carty's selection against Japan is a reward for his consistency of performance over the past year with both Connacht and Ireland.|Стивен Феррис заявил, что выбор Джека Карти на матч против Японии является наградой за стабильность его игры в течение прошлого года как в составе Коннахта, так и в составе сборной Ирландии.|human
The 27-year old Carty only made his international debut in late February, as a late replacement in Ireland's rather unconvincing victory over Italy in the Six Nations.|27-летний Карти дебютировал на международном уровне лишь в конце февраля в результате поздней замены в ходе матча, закончившегося довольно неубедительной победой Ирландии над Италией в Кубке шести наций.|human
He has appeared eight times since then, impressing on each occasion, including a delightful performance on being introduced in the second half of Ireland's demolition of Scotland on Sunday.|Он появлялся на поле восемь раз с тех пор, каждый раз впечатляя своей игрой, включая восхитительное выступление, когда он вышел на поле во второй половине матча, в котором Ирландия уничтожила Шотландию, в воскресенье.|human
I thought he was absolutely superb (against Scotland).|Я подумал, что он был абсолютно превосходен (в матче против Шотландии).|human
I would say Carty has been probably the most consistent out-half within the Irish system for the last year or so.|Я бы сказал, что Карти, возможно, был самым стабильным полузащитником в ирландской системе за последний год или около того.|human
He's been superb.|Он был великолепен.|human
Week in, week out, he's never really let his side down.|Неделя за неделей он действительно никогда не подводил свою команду.|human
The likes of Sexton...|Такие, как Секстон...|human
Johnny has had a couple of bad games over the last year or so.|У Джонни была пара плохих игр за последний год или около того.|human
Whereas Carty has been really, really steady.|Тогда как Карти был очень, очень стабилен.|human
