Government Retires 15 More Senior Tax Officials On Graft Charges|Vláda poslala do důchodu dalších 15 vysokých daňových úředníků podezřelých z korupce|human
The company got its start thanks to Sun co-founder Andy Bechtolsheim who invested $100,000; in June 1999, the company had raised a $25 million round from Sequoia Capital and Kleiner Perkins. Google moved to its Mountain View location in the same year, where it remains. In 2001, the company was granted a patent for its technology.|Společnost byla zahájena díky spoluzakladateli firmy Sunu Andymu Bechtolsheimovi, který do ní investoval 100 000 dolarů; v červnu 1999 získal Google od společnosti Sequoia Capital a Kleiner Perkins finanční zdroj ve výši 25 milionů dolarů. Ve stejném roce se Google přestěhoval do nového sídla v Mountain View, kde je dodnes. V roce 2001 byl společnosti udělen patent na její technologii.|human
What started out as a Web search engine has since turned into a massive conglomerate that calls itself Alphabet and Google is a subsidiary company. Today, Google operates all over the world in over 100 languages, answering trillions of search queries each year.|To, co začalo jako běžný webový vyhledávač, se mezitím proměnilo v masivní konglomerát, který nese jméno Alphabet a Google je jeho dceřinou společností. Dnes společnost Google působí po celém světě ve více než 100 jazycích a každý rok zodpovídá biliony vyhledávacích dotazů.|human
Oil falls after Iran claims US offered to remove sanctions, Trump denies|Ropa oslabila po prohlášení Íránu, že mu USA nabídly zrušení sankcí, Trump to popírá|human
Iranian President Hassan Rouhani makes a speech during a ceremony in Tehran, Iran on January 10, 2019.|Íránský prezident Hassan Rúhání přednesl projev během ceremoniálu v Teheránu, Írán, 10. ledna 2019.|human
"The German chancellor, the prime minister of England (Britain) and the president of France were in New York and all insisted that this meeting take place. And America says that it will lift the sanctions," Rouhani said on his official website, according to Reuters. "It was up for debate what sanctions will be lifted and they (the United States) had said clearly that we will lift all sanctions."|„Německý kancléř, předseda vlády Anglie (Británie) a francouzský prezident byli v New Yorku a všichni trvali na tom, aby se toto setkání uskutečnilo. A Amerika říká, že tím dojde ke zrušení sankcí,“ uvedl podle agentury Reuters Rúhání na svém oficiálním webu. „Debatovalo se o tom, jaké sankce budou zrušeny a Spojené státy jasně řekly, že zruší všechny sankce.“|human
Trump later said he responded "of course, NO!" to Iran who he said wanted him to lift the sanctions in order to meet.|Trump později řekl, že odpověděl „samozřejmě, že NE!“, když dle jeho slov Írán požadoval nejprve zrušení všech sankcí, aby mohlo dojít k setkání.|human
The State Department called the report "baseless," adding the U.S. is committed to zero oil exports from the Iranian regime, Bloomberg News said.|Ministerstvo zahraničí označilo zprávu za „nepodloženou“ a dodalo, že USA se zavázaly k nulovému vývozu ropy od íránského režimu, uvedla zpravodajská agentura Bloomberg News.|human
Rouhani's comment came after a series of drones attacked oil facilities in Saudi Arabia on Sept. 14, which had forced the kingdom to cut production in half. The U.S. and some European countries, as well as Saudi Arabia, have blamed the attack on Iran. Tehran has denied any role in the incident. The Trump administration also announced plans to deploy U.S. forces to the region.|Rúháního komentář přišel po sérii útoků dronů na ropná zařízení v Saúdské Arábii dne 14. září, což donutilo saúdské království snížit produkci ropy na polovinu. USA a některé evropské země, jakož i Saúdská Arábie, obvinily z útoku Írán. Teherán popřel jakoukoliv účast na incidentu. Trumpova administrativa také oznámila plán na rozmístění amerických vojenských sil v daném regionu.|human
"There's been a big bearish risk from a thaw in the US Iran situation for some time and this will put a remarkable amount of oil back onto the market immediately if it were to occur," said John Kilduff of Again Capital.|„Nějakou dobu hrozilo, že ve vztahu mezi USA a Íránem dojde k uvolnění napjaté situace, a trh by byl okamžitě znovu zaplaven obrovským množstvím ropy, pokud by se tak stalo“, řekl John Kilduff ze společnosti Again Capital.|human
Trump last year withdrew the U.S. from a nuclear deal between Iran, the U.S. and five other countries that removed sanctions from the country in return for its commitment to end its nuclear.|Trump v loňském roce stáhl USA z jaderné dohody mezi Íránem, USA a pěti dalšími zeměmi, která rušila sankce v zemi výměnou za její závazek ukončit výrobu jaderné energie.|human
Afghanistan boosts security for presidential election|Afghánistán zvyšuje bezpečnostní opatření provázející prezidentské volby|human
A massive security operation is in place across Afghanistan for the country's presidential election on Saturday.|V Afghánistánu probíhají masivní bezpečnostní opatření pro zajištění bezpečnosti při sobotních prezidentských volbách.|human
About 100,000 security personnel are to guard polling stations in the wake of Taliban threats.|Zhruba 100 000 bezpečnostních pracovníků bude hlídat volební místnosti, aby se předešlo hrozbě ze strany Talibanu.|human
Civility in Politics: New awards scheme set up to counter Westminster division and recognise politicians who show courtesy|Zdvořilost v politice: Nový systém udílení cen vytvořený s cílem zabránit rozdělování Westminsteru a ocenit politiky, kteří jsou zdvořilí|human
A new awards scheme has been set up to recognise politicians who show courtesy in their work.|Byl vytvořen nový systém udílení cen oceňující politiky, kteří při své práci projevují zdvořilost.|human
To counter the division, the "Civility in Politics" awards were announced on Friday, with the politician of the year to be awarded £3,000 to give to charity.|V pátek byla vyhlášena ocenění „Zdvořilost v politice“, v jejímž rámci byla politikovi roku udělena částka ve výši 3 000 liber jako příspěvek na charitu.|human
"These awards are a small attempt by a group of people in public life - of different and no political persuasions - to shine a spotlight on politicians who argue their case with decency and civility, and are able to engage and work with people across the divides that affect us all."|„Tato ocenění jsou malým úsilím skupiny lidí ve veřejném životě – různého nebo žádného politického přesvědčování – věnovat pozornost politikům, kteří argumentují slušně a zdvořile a jsou schopni zapojit se a pracovat s lidmi s rozdílnými názory, které mají vliv na každého z nás.“|human
Nominations will open on Saturday, with an award ceremony in March next year.|Nominace budou zveřejněny v sobotu a slavnostní předání cen proběhne v březnu příštího roku.|human
In an exclusive interview with the Standard, former Cabinet minister Amber Rudd today accused Mr Johnson of deploying aggressive language that "does incite violence."|V exkluzivním rozhovoru s novinami Standard obvinil bývalý člen kabinetu Amber Rudd Johnsona z používání agresivního projevu, který „podněcuje násilí“.|human
Mr Johnson, for his part, said he "deplores" threats made against MPs.|Johnson prohlásil, že „lituje“ pohrůžek vůči poslancům.|human
Setting the example? Income inequality in the US is at an all-time high|Stanovení příkladu? Nerovnost v příjmech je v USA na historicky nejvyšší úrovni|human
The US may be the world's wealthiest nation, but it is also one where the super-rich thrive no matter what while the desperately poor often rely on GoFundMe to pay their medical bills. The economic inequality affects both wealth and incomes, with the latter being at an all-time high.|USA jsou možná nejbohatším národem na světě, ale je to také země, kde se superbohatým lidem vždycky daří, zatímco velmi chudí lidé často spoléhají na GoFundMe, aby zaplatili své účty za lékaře. Hospodářská nerovnost ovlivňuje jak bohatství, tak i příjmy, přičemž oboje je na historicky nejvyšší úrovni.|human
One way to measure income inequality is the Gini index. It measures between 0, a score for absolute equality and 1, which stands for a hypothetical situation in which a single household gets all income in a nation. The Census Bureau has been tracking the index for over 50 years. In 1967 it stood at 0.397 but, in 2018, it rose to 0.485, the highest figure on the record.|Jedním ze způsobů, jak měřit nerovnost v příjmech, je Giniho index. Měří se mezi hodnotami 0, což je skóre absolutní rovnosti, a 1, která znamená hypotetickou situaci, kdy jedna domácnost získá veškerý příjem v zemi. Úřad pro sčítání lidu sleduje tento index více než 50 let. V roce 1967 byl na hodnotě 0,397, ale v roce 2018 vzrostl na 0,485, což je nejvyšší číslo ve sledování.|human
There are nations with worse income inequalities, including some with reasonably strong economies. For example, the World Bank estimates that South Africa's Gini index stood at 0.63 in 2014 while Brazil's was 0.53 in 2017. By comparison, all EU countries have a Gini index below 0.4.|Jsou národy s ještě horší příjmovou nerovností, včetně některých zemí s přiměřeně silnými ekonomikami. Světová banka například odhaduje, že index Gini v Jihoafrické republice v roce 2014 činil 0,63, zatímco v Brazílii měl v roce 2017 hodnotu 0,53. Pro srovnání, všechny země EU mají index Gini pod hodnotou 0,4.|human
Khloe Kardashian's cheating ex Tristan Thompson leaves ANOTHER desperate comment on her Instagram pic after rumours he wants her back|Bývalý partner Khloé Kardashianové Tristan Thompson, který ji podváděl, zanechal DALŠÍ zoufalý komentář na jejím Instagramu po zvěstech, že se k ní chce vrátit|human
Tristan cheated on Khloe when she was nine months pregnant|Tristan podváděla Khloé, když byla v devátém měsíci těhotenství.|human
It comes just days after Tristan wrote: "Perfection" alongside the heart eye emojis underneath one of the reality stars other photos, which saw her modelling for Guess Jeans.|Došlo k tomu jen několik dní poté, co Tristan napsal: „Dokonalost“ vedle zamilovaných smajlíků pod jiné fotografie hvězdy, na kterých pózovala pro Guess Jeans.|human
Earlier this month, The Sun revealed that Tristan bought Khloe a £400,000 Porsche in a bid to win her back - on the advice of Drake.|Začátkem tohoto měsíce časopis The Sun odhalil, že Tristan koupil Khloé Porsche v hodnotě 400 000 liber ve snaze získat ji zpět – na radu rappera Drakea.|human
A source said: "Tristan is good pals with Drake and has been using him as a sounding board as he plots his return to the Kardashian fold.|Podle nejmenovaného zdroje: „Tristan je Drakeův dobrý kamarád a používá ho jako diskuzního partnera při svém záměru vrátit se zpět ke Kardashianové.“|human
Khloe was left heartbroken by Tristan's infidelity|Khloé Tristanova nevěra zlomila srdce.|human
"An invite to a casual dinner might not sound like a reasonable trade off for a sleek supercar.|„Pozvánka na příležitostnou večeři nemusí působit jako dobrý výměnný obchod za elegantní superauto.|human
Adorable pictures show new-born rhino nuzzling her mother and exploring new home|Roztomilé fotky ukazují mládě nosorožce, které se tulí k matce a zkoumá svůj nový domov|human
The youngster, who is healthy and nursing well, can be seen wondering about her enclosure before resting alongside her mother on a bed of straw.|Mládě, které je zdravé a dobře přijímá potravu, můžeme vidět, jak se nejprve potuluje po výběhu, a potom odpočívá na slaměné podestýlce vedle své matky.|human
Nancy then gave birth to a female named Astrid in 2013, with Stella being the third female calf born at the park in its 49-year history.|V roce 2013 pak Nancy porodila samičku jménem Astrid, která se tak spolu se Stellou stala třetím mládětem samičího pohlaví narozeným v rezervaci během jeho 49leté historie.|human
Jamie Craig, curator of Cotswold Wildlife Park, said: 'We have had tremendous success with our current rhino herd.|Jamie Craig, kurátor rezervace Cotswold Wildlife Park, řekl: „S naším současným stádem nosorožců máme ohromné úspěchy.“|human
'It is particularly satisfying that Ruby has produced a female calf - these are vital for the development of the breeding programme and Stella will eventually move to another collection to hopefully become a successful mother herself.'|„Obzvláště uspokojivý je fakt, že Ruby porodila samičku – to je zásadní pro rozvoj šlechtitelského programu, a Stella se časem přesune do jiného stáda, aby se také mohla stát úspěšnou matkou.“|human
Ruby has had two boys before, Ian in 2015 and Alan in 2017. Alan is still at the park whilst Ian is in Torino Zoo in Italy|Ruby již dříve porodila dva samečky, Iana v roce 2015 a Alana v roce 2017. Alan je stále v parku, zatímco Ian je nyní v turínské ZOO v Itálii.|human
When Alan was just one-week old he weighed around eleven stone.|Když byl Alanovi pouhý jeden týden, vážil téměř sedmdesát kilogramů.|human
Births in captivity are considered extremely rare. Females only reproduce every two-and-a-half to five years, so the window of opportunity for successful reproduction is limited.|Narození mláděte v zajetí je považováno za velmi vzácné. Samice se rozmnožují pouze každé dva a půl až pět let, takže možnosti pro úspěšnou reprodukci jsou omezené.|human
According to the park, a typical gestation period lasts between sixteen to eighteen months, after which a single calf is born.|Podle rezervace trvá běžná doba těhotenství mezi šestnácti až osmnácti měsíci, po kterých se rodí jediné mládě.|human
It is considered the longest gestation periods of any land mammal, surpassed only by the twenty-two month gestation period of an Elephant.|To je považováno za nejdelší období březosti u všech suchozemských savců, které předčí pouze dvacetiměsíční období březosti u slonů.|human
A newborn Rhino calf will stand up within one hour of birth. Once born, the calf will immediately attempt to suckle, although he or she may be a little unsteady on their feet for the first few days.|Nosorožčí mládě se postaví samo na nohy už hodinu po narození. Jakmile se mládě narodí, ihned se snaží napít mateřského mléka, i když během prvních dnů může být při chůzi trochu nemotorné.|human
It will remain under the watchful eye of the mother, suckling from her for approximately one year.|Zůstane pod ostražitým dozorem své matky, která ho bude kojit přibližně jeden rok.|human
Over time, "incel" has become a buzzword for certain men infuriated at being rejected by women and prone to float ideas for violent payback, according to sociologists and others who study them.|Podle sociologů a dalších lidí, kteří se problematikou zabývají, se „incel“ postupem času stal populárním označením pro některé muže, kteří jsou roztrpčeni tím, že je ženy odmítají, a jsou náchylní k myšlenkám na odplatu v podobě násilí.|human
Three Scottish students named among Europe's best|Tři skotští studenti byli zařazeni mezi nejlepší v Evropě|human
Scott Sheldrick, who graduated in Molecular Genetics, won the Europe award for Life Sciences, Chester Cornford studied MSc Mental Health Nursing and was awarded the Nursing, Midwifery & Allied Healthcare prize, whilst Lola Knibb won the Visual Arts award.|Scott Sheldrick, který vystudoval molekulární genetiku, získal cenu za humanitní vědy, Chester Cornford vystudoval obor péče o duševní zdraví s titulem MSc a získal cenu za ošetřovatelství, porodní asistenci a související obory, a nakonec Lola Knibbová získala cenu za vizuální umění.|human
Although all three made it through to the global final, they lost out in the final round to strong competition from some of the 3,500 entrants from across the world.|Přestože se všichni tři dostali do celosvětového finále, v něm prohráli se silnou konkurencí v podobě dalších 3 500 účastníků z celého světa.|human
Professor Blair Grubb, Vice-Principal (Education) at the University, said: "To get to this stage, our students and graduates faced competition from peers attending some of the world's top universities.|Profesor Blair Grubb, univerzitní zástupce ředitele pro vzdělávání, uvedl: „Abychom se dostali až do této fáze, museli naši studenti a absolventi čelit konkurenci svých vrstevníků, kteří studují na nejlepších světových univerzitách.|human
"The Undergraduate Awards are fiercely contested by thousands of students around the world and it is a great reflection of the quality of our students, and the education they receive here, that Dundee is so strongly represented amongst the prize winners.|„O ocenění za vysokoškolská studia velmi usilují tisíce studentů z celého světa a to, že Univerzita Dundee je tak výrazně zastoupena mezi výherci, odráží vysokou kvalitu našich studentů a vzdělání, které zde získávají.|human
"I would like to offer my warmest congratulations to Scott, Chester and Lola on this fantastic achievement, alongside the other Dundee representatives who were highly commended."|„Chtěl bych poděkovat a srdečně pogratulovat Scottovi, Chesterovi a Lole k tomuto fantastickému úspěchu i dalším reprezentantům Univerzity Dundee, kteří byli tak vysoce oceněni.“|human
Included in the five praised students were Nicholas Gallagher and James Osbourne (both Life Sciences), Ferenc Kohsuke Ishikawa Gutai (Medicine), Caitlyn Scott (Anatomical Sciences) and Waco Yokoyama (Philosophy).|Mezi pěti oceněnými studenty byli Nicholas Gallagher a James Osbourne (studenti humanitních oborů), Ferenc Kohsuke Ishikawa Gutai (medicína), Caitlyn Scottová (anatomie) a Waco Yokoyama (filozofie).|human
Oldest galaxy protocluster forms 'queen's court'|Nejstarší skupina proto-galaxií formuje tzv. „královnin dvůr“|human
Using the Subaru, Keck, and Gemini Telescopes, an international team of astronomers has discovered a collection of 12 galaxies which existed about 13.0 billion years ago. This is the earliest protocluster ever found. One of the 12 galaxies is a giant object, known as Himiko, which was discovered a decade ago by the Subaru Telescope and named for a mythological queen in ancient Japan. This discovery suggests that large structures such as protoclusters already existed when the Universe was only about 800 million years old, 6 percent of its present age.|Mezinárodní tým astronomů objevil s využitím dalekohledů Subaru, Keck a Gemini soubor 12 galaxií, které existovaly před zhruba 13,0 miliardami let. Jedná se o nejstarší objevenou proto-galaxii. Jednou z 12 galaxií je obří objekt známý jako Himiko, který objevil před deseti lety dalekohled Subaru a byl pojmenován podle mytologické královny ve starém Japonsku. Tento objev naznačuje, že velké struktury, jako jsou proto-galaxie, existovaly již v době, když byl vesmír jen asi 800 milionů let starý, tedy 6 % svého současného věku.|human
In the present Universe, galaxy clusters can contain hundreds of members, but how these clusters form is a big question in astronomy. To understand the formation of clusters, astronomers search for possible progenitors in the ancient Universe. A protocluster is a dense system of dozens of galaxies in the early Universe, growing into a cluster.|V současném vesmíru mohou skupiny galaxií obsahovat stovky komponentů, ale jak se tyto skupiny vytvářejí, je dosud v astronomii velkou nezodpovězenou otázkou. Abychom pochopili vznik shluků, hledají astronomové možné původce ve starém vesmíru. Proto-galaxie je hustý systém tvořený desítkami galaxií v raném vesmíru, které se srůstaly do shluků.|human
Yuichi Harikane, a JSPS fellow at the National Astronomical Observatory of Japan who led the team of astronomers explains, "A protocluster is a rare and special system with an extremely high density, and not easy to find. To overcome this problem, we used the wide field of view of the Subaru Telescope to map a large area of the sky and look for protoclusters."|Yuichi Harikane, člen JSPS na Národní astronomické observatoři v Japonsku, který vedl tým astronomů, vysvětluje: „Proto-galaxie je vzácný a speciální systém s extrémně vysokou hustotou a není snadné ho objevit. K překonání tohoto problému jsme použili široké zorné pole dalekohledu Subaru pro zmapování veliké oblasti oblohy a hledání proto-galaxií.“|human
In the map of the Universe made by the Subaru Telescope, the team discovered a protocluster candidate, z66OD, where galaxies are 15 times more concentrated than normal for that era. The team then conducted follow-up spectroscopic observations using the W.M. Keck Observatory and Gemini North telescope, and confirmed 12 galaxies which existed 13.0 billion years ago, making it the earliest protocluster known to date.|Na mapě vesmíru pomocí dalekohledu Subaru objevil tým astronomů kandidáta na proto-galaxii, z66OD, ve kterém jsou galaxie na tehdejší éru 15krát více koncentrované, než je obvyklé. Tým poté provedl následná spektroskopická pozorování pomocí W.M. Keckovy observatoře a dalekohledu Gemini North a potvrdil objev 12 galaxií, které existovaly před 13,0 miliardami let, díky čemuž se staly prvním dosud známou proto-galaxií.|human
Warren's lemonade money went to a pro-life charity|Peníze senátorky Warrenové za limonády šly na dobročinné účely|human
"Our daughters thought [Warren] was nice," Dan Michels, a Trump supporter and a father to one of the girls, told the Washington Free Beacon. "She came by and told us we should vote for her. And our daughters told us she was a nice person, but we don't align with her politically and ... because she's pro-choice, we said we should donate her money to a pro-life [cause]."|„Naše dcery si myslely, že [Warrenová] byla velmi milá,“ řekl Washington Free Beacon Dan Michels, stoupenec Trumpa a otec jedné z dívek. „Přišla a řekla nám, abychom pro ni hlasovali. A naše dcery nám řekly, že je to milá osoba, nicméně máme odlišné politické názory ... a protože je odpůrkyní potratů, řekli jsme si, že bychom mohli věnovat peníze na hnutí proti nim.“|human
The two kids were excited about meeting a presidential candidate in person. The Michels girl urged her parents to vote for the Massachusetts senator in 2020 after the photo op. The parents instead explained Warren's stance on abortion. The girls and their parents decided to donate to the March for Life Education and Defense Fund, a non-profit that supports pro-life legislation.|Obě děti byly nadšené osobním setkáním s prezidentskou kandidátkou. Poté, co se spolu vyfotografovaly, Michelsová vyzvala své rodiče, aby v roce hlasovali pro senátorku Massachusetts. Rodiče dětem místo toho vysvětlili postoj Warrenové k potratům. Dívky a jejich rodiče se pak rozhodli darovat peníze fondu organizace Pochod za celoživotní vzdělávání a obranu, neziskové organizaci, která podporuje legislativu usilující o zákaz potratů.|human
Why viruses like Herpes and Zika will need to be reclassified: Biotech impact|Proč je potřeba překlasifikovat viry jako herpes a zika: dopad na biotechnologie|human
New research reveals that the way viruses were perceived in terms of their architecture will need to be retooled, because they are actually structured in many more patterns than previously understood. The findings could have significant impact on how they are classified, our understanding of how they form, evolve and infect hosts, and strategies to identify ways to design vaccines to target them.|Nový výzkum ukazuje, že způsob, jakým byly viry vnímány z hlediska své struktury, bude potřeba přehodnotit, protože mají ve skutečnosti mnohem složitější struktury tvořené z více vzorců, než tomu bylo dříve. Tato zjištění by mohla mít významný dopad na jejich klasifikaci, na naše porozumění tomu, jak vznikají, vyvíjejí se a infikují hostitele, a strategie k identifikaci způsobů, jak vyvinout vakcíny, které by se proti nim zaměřovaly.|human
In the 1950s and '60s as scientists began to obtain high resolution images of viruses, they discovered the detailed structure of the capsid -- an outer protective layer composed of multiple copies of the same protein -- which protects the virus' genetic material. The majority of viruses have capsids that are typically quasi-spherical and display icosahedral symmetry -- like a 20-sided dice for instance.|V 50. a 60. letech, kdy vědci získávali první snímky virů s vysokým rozlišením, objevili podrobnou strukturu kapsidy – vnějšího ochranného pouzdra složeného z několika kopií stejného proteinu – která chrání genetický materiál viru. Většina virů má kapsidy, které jsou typicky kvazi-sférické a vykazují ikosahedrální symetrii – jako například kostky o 20 hranách.|human
The capsid shell is what protects them, and as scientists discovered their structure, they proposed that capsids could have different sizes and hold different amounts of genome, and therefore could infect hosts differently.|Obal kapsidy je její ochranná povrchová vrstva, a když vědci objevili jejich strukturu, přišli s teorií, že kapsidy mají různé velikosti a obsahují různé množství genomu, a proto mohou infikovat hostitele odlišnými způsoby.|human
When designing drugs to target viruses, scientists can now take their varying structural shapes into account to improve efficacy.|Při vyvíjené léčiv proti virům mohou nyní vědci vzít v úvahu jejich různé strukturální tvary, aby se zvýšila účinnost léků.|human
Two researchers who study the structures of viruses, Antoni Luque, a theoretical biophysicist at San Diego State University and a member of its Viral Information Institute, and Reidun Twarock, a mathematical biologist from the University of York, UK, and a member of York's Cross-disciplinary Centre for Systems Analysis, show that many viruses have essentially been misclassified for 60 years, including common viruses such as Herpes simplex and Zika.|Dva vědci, kteří studují struktury virů, Antoni Luque, teoretický biofyzik na státní univerzitě v San Diegu a člen tamního Virového informačního institutu, a Reidun Twarock, matematický biolog z Univerzity York ve Velké Británii a člen Disciplinárního střediska pro systémovou analýzu v Yorku, poukázali na to, že mnoho virů bylo v podstatě během uplynulých 60 let nesprávně klasifikováno, včetně běžných virů, jako jsou herpes simplex nebo zika.|human
This was because despite having the structural images from cryo-electron microscopy, we did not have the mathematical description of many of the architectures of different viruses.|Bylo tomu tak z důvodu, že i když byly k dispozici snímky virových struktur z kryo-elektronové mikroskopie, neexistoval matematický popis mnoha architektur různých virů.|human
"We discovered six new ways in which proteins can organize to form icosahedral capsid shells," Luque said. "So, many viruses don't adopt only the two broadly understood capsid architectures. There are now at least eight ways in which their icosahedral capsids could be designed."|„Objevili jsme šest nových způsobů, jakými se proteiny mohou uspořádat, aby vytvořily ikosahedrální obaly kapsid,“ řekl Luque. „Takže mnoho virů si neosvojilo pouze dvě obecně chápané kapsidové architektury. Existuje přinejmenším osm způsobů, jakými se mohou tvořit jejich ikosahedrální kapsidy.“|human
They used a generalization of the quasiequivalence principle to see how proteins can wrap around an icosahedral capsid.|Použili obecný princip kvaziekvivalence, aby zjistili, jak se proteiny obalují kolem ikosahedrální kapsidy.|human
