Government Retires 15 More Senior Tax Officials On Graft Charges|Vláda odejde do důchodu 15 dalších vyšších daňových úředníků na poplatcích za odškodnění|mt
Iranian President Hassan Rouhani makes a speech during a ceremony in Tehran, Iran on January 10, 2019.|Íránský prezident Hasan Rúhání pronese projev během ceremoniálu v Teheránu, Írán v lednu 10, 2019.|mt
Iranian President Hassan Rouhani makes a speech during a ceremony in Tehran, Iran on January 10, 2019.|Íránský prezident Hasan Rúhání pronese 10. ledna 2019 projev během ceremoniálu v íránském Teheránu.|mt
Iranian President Hassan Rouhani makes a speech during a ceremony in Tehran, Iran on January 10, 2019.|Íránský prezident Hassan Rouhani přednesl projev během ceremoniálu v Teheránu v Íránu 10. ledna 2019.|mt
Iranian President Hassan Rouhani makes a speech during a ceremony in Tehran, Iran on January 10, 2019.|Íránský prezident Hasan Rúhání pronese projev během ceremonie v íránském Teheránu 10. ledna 2019.|mt
WTI crude futures were last down by 0.9% to $55.91 after falling as low as $54.79. Brent crude futures dropped 1.4% to $61.89.|Surové futures WTI byly naposledy sníženy o 0,9% na 55,91 $ poté, co klesly na pouhých 54,79 $. Brent surové futures klesly o 1,4% na 61,89 $.|mt
WTI crude futures were last down by 0.9% to $55.91 after falling as low as $54.79. Brent crude futures dropped 1.4% to $61.89.|Futures na ropu WTI naposledy klesly o 0,9 % na 55,91 USD poté, co klesly až na 54,79 usd. Futures na ropu Brent klesly o 1,4 % na 61,89 USD.|mt
A massive security operation is in place across Afghanistan for the country's presidential election on Saturday.|V Afghánistánu probíhá masivní bezpečnostní operace kvůli sobotním prezidentským volbám.|mt
A massive security operation is in place across Afghanistan for the country's presidential election on Saturday.|V afghánistánu je v sobotu v prezidentských volbách zavedena rozsáhlá bezpečnostní operace.|mt
A massive security operation is in place across Afghanistan for the country's presidential election on Saturday.|V Afghánistánu probíhá masivní bezpečnostní operace pro sobotní prezidentské volby v zemi.|mt
A massive security operation is in place across Afghanistan for the country's presidential election on Saturday.|Po celém Afghánistánu probíhá rozsáhlá bezpečnostní operace kvůli sobotním prezidentským volbám v zemi.|mt
A massive security operation is in place across Afghanistan for the country's presidential election on Saturday.|V Afghánistánu probíhá masivní bezpečnostní operace pro sobotní prezidentské volby země.|mt
About 100,000 security personnel are to guard polling stations in the wake of Taliban threats.|Asi 100 000 bezpečnostních pracovníků hlídá volební místnosti v důsledku hrozeb Talibanu.|mt
About 100,000 security personnel are to guard polling stations in the wake of Taliban threats.|Po hrozbách Tálibánu má volební místnosti hlídat asi 100 000 bezpečnostních pracovníků.|mt
About 100,000 security personnel are to guard polling stations in the wake of Taliban threats.|Po hrozbách Tálibánu má volební místnosti hlídat asi 100 000 příslušníků bezpečnostních složek.|mt
About 100,000 security personnel are to guard polling stations in the wake of Taliban threats.|V důsledku hrozeb Talibanu má volební místnosti střežit asi 100 000 bezpečnostních pracovníků.|mt
Leader of Colombia's Los Pelusos crime gang killed, president says|Vůdce kolumbijského zločineckého gangu Los Pelusos byl zabit, řekl prezident|mt
Leader of Colombia's Los Pelusos crime gang killed, president says|Vůdce kolumbijského zločineckého gangu Los Pelusos byl zabit, tvrdí prezident|mt
Leader of Colombia's Los Pelusos crime gang killed, president says|Vedoucí kolumbijského zločineckého gangu Los Pelusos zabit, říká prezident|mt
Leader of Colombia's Los Pelusos crime gang killed, president says|Vůdce kolumbijského zločineckého gangu los Pelusos byl zabit, prezident říká,|mt
The top leader and founder of Colombia's Los Pelusos crime gang has been killed in an operation led by the national police, President Ivan Duque said on Friday.|Nejvyšší vůdce a zakladatel kolumbijského zločineckého gangu Los Pelusos byl zabit při operaci vedené národní policií, uvedl v pátek prezident Ivan Duque.|mt
The top leader and founder of Colombia's Los Pelusos crime gang has been killed in an operation led by the national police, President Ivan Duque said on Friday.|Největší vůdce a zakladatel kolumbijského zločineckého gangu Los Pelusos byl zabit při operaci vedené národní policií, uvedl v pátek prezident Ivan Duque.|mt
The top leader and founder of Colombia's Los Pelusos crime gang has been killed in an operation led by the national police, President Ivan Duque said on Friday.|Nejvyšší vůdce a zakladatel kolumbijského zločineckého gangu Los Pelusos byl zabit při operaci vedené národní policií, řekl v pátek prezident Ivan Duque.|mt
The two studios announced on Friday that they will collaborate on a third Spider-Man film starring Tom Holland.|Obě studia v pátek oznámila, že budou spolupracovat na třetím filmu o Spider-Manovi s Tomem Hollandem v hlavní roli.|mt
The two studios announced on Friday that they will collaborate on a third Spider-Man film starring Tom Holland.|Tato dvě studia v pátek oznámila, že budou spolupracovat na třetím filmu Spider-Man, v němž bude hrát Tom Holland.|mt
Michel Barnier met with Brexit secretary Stephen Barclay in Brussels, who was adamant the Irish "backstop" be stripped from any deal. The backstop, effectively an assurance of a soft border between Ireland and Northern Ireland after Britain leaves, has been perhaps the chief obstacle in negotiations.|Michel Barnier se v Bruselu sešel s ministrem pro brexit Stephenem Barclaym, který trval na tom, že irská „záložní pojistka“ bude zbavena jakékoli dohody. Zábrana, v podstatě ujištění o měkké hranici mezi Irskem a Severním Irskem po odchodu Británie, byla možná hlavní překážkou v jednáních.|mt
Michel Barnier met with Brexit secretary Stephen Barclay in Brussels, who was adamant the Irish "backstop" be stripped from any deal. The backstop, effectively an assurance of a soft border between Ireland and Northern Ireland after Britain leaves, has been perhaps the chief obstacle in negotiations.|Michel Barnier se v Bruselu setkal s ministrem pro brexit Stephenem Barclaym, který byl neoblomný v tom, aby byla irská „pojistka“ zbavena jakékoli dohody. Záložní pojistka, fakticky záruka měkké hranice mezi Irskem a Severním Irskem po odchodu Británie, byla možná hlavní překážkou v jednáních.|mt
Michel Barnier met with Brexit secretary Stephen Barclay in Brussels, who was adamant the Irish "backstop" be stripped from any deal. The backstop, effectively an assurance of a soft border between Ireland and Northern Ireland after Britain leaves, has been perhaps the chief obstacle in negotiations.|Michel Barnier se v Bruselu setkal se sekretářkou Brexitu Stephenem Barclayem, který byl neústupným irským „uzávěrkou“. Uzávěrka, účinně ujištění měkké hranice mezi Irskem a Severním Irskem po odchodu Británie, byla možná hlavní překážkou v jednáních.|mt
"I think there is still a long way to go. I think we are coming to the moment of truth in these negotiations," he said.|"Myslím, že je ještě dlouhá cesta. Myslím, že se v těchto jednáních dostáváme do okamžiku pravdy," řekl.|mt
"I think there is still a long way to go. I think we are coming to the moment of truth in these negotiations," he said.|„Myslím, že je před námi ještě dlouhá cesta. Myslím, že se v těchto jednáních dostáváme k okamžiku pravdy,“ řekl.|mt
Last week, EU negotiators said they are open to an alternative to the backstop -- but Irish deputy Simon Coveney said Friday London hasn't yet submitted a "serious" proposal.|Minulý týden vyjednavači EU prohlásili, že jsou otevřeni alternativě k záchranné brzdě – ale irský náměstek Simon Coveney řekl, že v pátek Londýn ještě nepředložil „vážný“ návrh.|mt
Last week, EU negotiators said they are open to an alternative to the backstop -- but Irish deputy Simon Coveney said Friday London hasn't yet submitted a "serious" proposal.|Minulý týden vyjednavači EU uvedli, že jsou otevřeni alternativě zpětného chodu - ale irský poslanec Simon Coveney uvedl, že pátek Londýn ještě nepodal „seriózní“ návrh.|mt
Last week, EU negotiators said they are open to an alternative to the backstop -- but Irish deputy Simon Coveney said Friday London hasn't yet submitted a "serious" proposal.|Minulý týden vyjednavači EU řekli, že jsou otevřeni alternativě k záložnímu řešení – ale irský zástupce Simon Coveney řekl, že páteční Londýn zatím nepředložil „vážný“ návrh.|mt
"Until there is a serious proposal, which can be the basis of negotiations, then the gaps which are wide at the moment will remain," he said.|„Dokud nebude seriózní návrh, který může být základem jednání, tak mezery, které jsou v tuto chvíli široké, zůstanou,“ řekl.|mt
"Until there is a serious proposal, which can be the basis of negotiations, then the gaps which are wide at the moment will remain," he said.|′′ Dokud nebude vážný návrh, který může být základem jednání, zůstanou mezery, které jsou v tuto chvíli široké," řekl.|mt
"Until there is a serious proposal, which can be the basis of negotiations, then the gaps which are wide at the moment will remain," he said.|„Dokud nebude existovat seriózní návrh, který může být základem jednání, pak mezery, které jsou v současné době velké, zůstanou zachovány,“ uvedl.|mt
"Until there is a serious proposal, which can be the basis of negotiations, then the gaps which are wide at the moment will remain," he said.|"Dokud nebude existovat seriózní návrh, který by mohl být základem pro jednání, zůstanou mezery, které jsou v tuto chvíli velké, nadále," uvedl.|mt
"Until there is a serious proposal, which can be the basis of negotiations, then the gaps which are wide at the moment will remain," he said.|„Dokud nevznikne seriózní návrh, který může být základem jednání, tak mezery, které jsou v tuto chvíli velké, zůstanou,“ řekl.|mt
"Until there is a serious proposal, which can be the basis of negotiations, then the gaps which are wide at the moment will remain," he said.|„Dokud nevznikne seriózní návrh, který může být základem pro jednání, pak mezery, které jsou v tuto chvíli velké, zůstanou,“ uvedl.|mt
He added that "time is running out" and "the onus is on the British prime minister and his team" to put serious proposals on the table.|Dodal, že „čas se krátí“ a „je na britském premiérovi a jeho týmu,“ aby předložili seriózní návrhy.|mt
He added that "time is running out" and "the onus is on the British prime minister and his team" to put serious proposals on the table.|Dodal, že „čas se krátí“ a „je na britském premiérovi a jeho týmu“, aby předložili seriózní návrhy.|mt
He added that "time is running out" and "the onus is on the British prime minister and his team" to put serious proposals on the table.|Dodal, že „čas se krátí“ a „břemeno je na britském premiérovi a jeho týmu“, aby předložily seriózní návrhy.|mt
He added that "time is running out" and "the onus is on the British prime minister and his team" to put serious proposals on the table.|Dodal, že „čas se krátí“ a „je na britském premiérovi a jeho týmu“, aby předložil seriózní návrhy.|mt
"From an Irish perspective, we of course think that an extension is preferable to a no-deal," Coveney said. "But I think there would have to be good reason behind that to ask for an extension."|„Z irského pohledu si samozřejmě myslíme, že prodloužení je lepší než nedohoda,“ řekl Coveney. „Ale myslím, že by za tím musel být dobrý důvod požádat o prodloužení.“|mt
"From an Irish perspective, we of course think that an extension is preferable to a no-deal," Coveney said. "But I think there would have to be good reason behind that to ask for an extension."|„Z irského pohledu si samozřejmě myslíme, že prodloužení je lepší než dohoda bez dohody,“ řekl Coveney. „Ale myslím, že by za tím musel být dobrý důvod, abychom o prodloužení požádali.“|mt
"From an Irish perspective, we of course think that an extension is preferable to a no-deal," Coveney said. "But I think there would have to be good reason behind that to ask for an extension."|′′ Z irského pohledu si samozřejmě myslíme, že prodloužení je lepší než bez dohody," řekl Coveney. ′′ Ale myslím, že by za tím musel být dobrý důvod žádat o prodloužení."|mt
"From an Irish perspective, we of course think that an extension is preferable to a no-deal," Coveney said. "But I think there would have to be good reason behind that to ask for an extension."|„Z irského pohledu si samozřejmě myslíme, že prodloužení je vhodnější než ne-dohoda,“ řekl Coveney. „Ale myslím, že by za tím musel být dobrý důvod, abychom požádali o prodloužení.“|mt
"From an Irish perspective, we of course think that an extension is preferable to a no-deal," Coveney said. "But I think there would have to be good reason behind that to ask for an extension."|"Z irského pohledu si samozřejmě myslíme, že rozšíření je vhodnější než neobchodovat," řekl Coveney. "Ale myslím, že za tím, že požádám o prodloužení, musí být dobrý důvod."|mt
"From an Irish perspective, we of course think that an extension is preferable to a no-deal," Coveney said. "But I think there would have to be good reason behind that to ask for an extension."|„Z irského pohledu si samozřejmě myslíme, že prodloužení je výhodnější než nedohoda,“ řekl Coveney. „Ale myslím, že by za tím musel být dobrý důvod, abychom požádali o prodloužení.“|mt
EU President Jean-Claude Juncker said he and Barnier are doing everything they can for a deal and if they fail, it's Britain's fault.|Předseda Evropské unie Jean-Claude Juncker řekl, že s Barnierem dělají vše, co je v jejich silách, a pokud selžou, je to chyba Británie.|mt
EU President Jean-Claude Juncker said he and Barnier are doing everything they can for a deal and if they fail, it's Britain's fault.|Předseda EU Jean-Claude Juncker řekl, že on a Barnier dělají pro dohodu vše, co je v jejich silách, a pokud neuspějí, je to chyba Británie.|mt
EU President Jean-Claude Juncker said he and Barnier are doing everything they can for a deal and if they fail, it's Britain's fault.|Předseda Evropské unie Jean-Claude Juncker řekl, že on a Barnier dělají pro dohodu vše, co je v jejich silách, a pokud neuspějí, je to chyba Británie.|mt
EU President Jean-Claude Juncker said he and Barnier are doing everything they can for a deal and if they fail, it's Britain's fault.|Předseda Evropské unie Jean-Claude Juncker řekl, že on a Barnier dělají pro dohodu vše, co je v jejich silách, a pokud selžou, je to chyba Británie.|mt
EU President Jean-Claude Juncker said he and Barnier are doing everything they can for a deal and if they fail, it's Britain's fault.|Předseda EU Jean-Claude Juncker řekl, že on a Barnier dělají pro dohodu vše, co mohou, a pokud neuspějí, je to chyba Británie.|mt
EU President Jean-Claude Juncker said he and Barnier are doing everything they can for a deal and if they fail, it's Britain's fault.|Předseda Evropské komise Jean-Claude Juncker řekl, že on a Barnier dělají pro dohodu vše, co je v jejich silách, a pokud selžou, je to chyba Británie.|mt
An artistic impression of the gas giant planet GJ 3512b orbiting its red dwarf host star, released on September 26, 2019.|Umělecký dojem plynného obra GJ 3512b obíhajícího kolem své červené trpasličí hostitelské hvězdy, vydaný 26. září 2019.|mt
An artistic impression of the gas giant planet GJ 3512b orbiting its red dwarf host star, released on September 26, 2019.|Umělecký dojem plynné obří planety GJ 3512b obíhající kolem její červené trpasličí hostitelské hvězdy, vydaný 26. září 2019.|mt
An artistic impression of the gas giant planet GJ 3512b orbiting its red dwarf host star, released on September 26, 2019.|Umělecký dojem z plynné obří planety GJ 3512b obíhající kolem své hostitelské hvězdy červeného trpaslíka, vydaný 26. září 2019.|mt
Stars generally are much bigger than even the largest planets that orbit them. But in this case, the star and the planet are not much different in size, the researchers said on Thursday.|Hvězdy jsou obecně mnohem větší než ty největší planety, které je obíhají. V tomto případě se však hvězda a planeta velikostí příliš neliší, uvedli ve čtvrtek vědci.|mt
Stars generally are much bigger than even the largest planets that orbit them. But in this case, the star and the planet are not much different in size, the researchers said on Thursday.|Hvězdy jsou obecně mnohem větší než dokonce největší planety, které je obíhají. V tomto případě se však velikost hvězdy a planety příliš neliší, uvedli vědci ve čtvrtek.|mt
"The discovery was surprising because theoretical formation models suggest that low-mass stars typically host small planets, similar to Earth or small Neptunes. In this case, we have found a gas giant planet similar to Jupiter around a very small star," Morales added.|„Objev byl překvapivý, protože teoretické modely formací naznačují, že hvězdy s nízkou hmotností obvykle hostí malé planety, podobné Zemi nebo malým Neptunům. V tomto případě jsme našli plynnou obří planetu podobnou Jupiteru kolem velmi malé hvězdy,“ dodal Morales.|mt
"The discovery was surprising because theoretical formation models suggest that low-mass stars typically host small planets, similar to Earth or small Neptunes. In this case, we have found a gas giant planet similar to Jupiter around a very small star," Morales added.|„Objev byl překvapivý, protože teoretické formační modely naznačují, že hvězdy s nízkou hmotností obvykle hostují malé planety podobné Zemi nebo malým Neptunes. V tomto případě jsme našli velmi malou hvězdu plynovou obří planetu podobnou Jupiteru,“ dodal Morales. .|mt
"The discovery was surprising because theoretical formation models suggest that low-mass stars typically host small planets, similar to Earth or small Neptunes. In this case, we have found a gas giant planet similar to Jupiter around a very small star," Morales added.|„Objev byl překvapivý, protože teoretické modely formace naznačují, že hvězdy s nízkou hmotností obvykle hostí malé planety, podobné Zemi nebo malým Neptunům. V tomto případě jsme našli plynnou obří planetu podobnou Jupiteru kolem velmi malé hvězdy,“ dodal Morales.|mt
"The discovery was surprising because theoretical formation models suggest that low-mass stars typically host small planets, similar to Earth or small Neptunes. In this case, we have found a gas giant planet similar to Jupiter around a very small star," Morales added.|„Objev byl překvapivý, protože teoretické modely formace naznačují, že hvězdy s nízkou hmotností obvykle hostí malé planety, podobné Zemi nebo malému Neptunu. V tomto případě jsme kolem velmi malé hvězdy našli plynnou obří planetu podobnou Jupiteru,“ dodal Morales.|mt
The planet, which like Jupiter is composed mainly of gas, was discovered using a telescope at the Calar Alto Observatory in Spain. It travels around its star in a very elliptical orbit lasting 204 days.|Planeta, která se stejně jako Jupiter skládá převážně z plynu, byla objevena pomocí dalekohledu na observatoři Calar Alto ve Španělsku. Cestuje kolem své hvězdy na velmi eliptické oběžné dráze trvající 204 dní.|mt
The planet, which like Jupiter is composed mainly of gas, was discovered using a telescope at the Calar Alto Observatory in Spain. It travels around its star in a very elliptical orbit lasting 204 days.|Planeta, která se stejně jako Jupiter skládá hlavně z plynu, byla objevena pomocí teleskopu na observatoři Calar Alto ve Španělsku. Kolem své hvězdy se pohybuje na velmi eliptické oběžné dráze trvající 204 dní.|mt
The planet, which like Jupiter is composed mainly of gas, was discovered using a telescope at the Calar Alto Observatory in Spain. It travels around its star in a very elliptical orbit lasting 204 days.|Planeta, která se podobně jako Jupiter skládá hlavně z plynu, byla objevena pomocí dalekohledu na observatoři Calar Alto ve Španělsku. Cestuje kolem své hvězdy po velmi eliptické dráze trvající 204 dní.|mt
Red dwarfs are small, with relatively low surface temperatures. GJ 3512 is not only much smaller than our sun, it is somewhat comparable in size to a very large planet, being only about 35% bigger than Jupiter.|Červení trpaslíci jsou malí a mají relativně nízké povrchové teploty. GJ 3512 není jen mnohem menší než naše slunce, ale je poněkud srovnatelná svou velikostí s velmi velkou planetou, je pouze asi o 35% větší než Jupiter.|mt
Red dwarfs are small, with relatively low surface temperatures. GJ 3512 is not only much smaller than our sun, it is somewhat comparable in size to a very large planet, being only about 35% bigger than Jupiter.|Červení trpaslíci jsou malí, s relativně nízkými povrchovými teplotami. GJ 3512 je nejen mnohem menší než naše Slunce, ale svou velikostí je srovnatelný s velmi velkou planetou, která je jen asi o 35% větší než Jupiter.|mt
Red dwarfs are small, with relatively low surface temperatures. GJ 3512 is not only much smaller than our sun, it is somewhat comparable in size to a very large planet, being only about 35% bigger than Jupiter.|Červení trpaslíci jsou malí, s relativně nízkou povrchovou teplotou. GJ 3512 je nejen mnohem menší než naše Slunce, ale svou velikostí je srovnatelný s velmi velkou planetou, protože je jen asi o 35% větší než Jupiter.|mt
Planets are born from the same disk of interstellar gas and dust that produces the star around which they orbit. Under the leading model for planetary formation, called the "core accretion" model, an object initially forms from solid particles in the disk and the gravitational tug of this embryonic planet allows for an atmosphere to arise from the surrounding gas.|Planety se rodí ze stejného disku mezihvězdného plynu a prachu, který produkuje hvězdu, kolem které obíhají. Podle vedoucího modelu pro tvorbu planet, nazývaného „jádrový akreční“ model, se objekt zpočátku tvoří z pevných částic v disku a gravitační tah této embryonální planety umožňuje vznik atmosféry z okolního plynu.|mt
Planets are born from the same disk of interstellar gas and dust that produces the star around which they orbit. Under the leading model for planetary formation, called the "core accretion" model, an object initially forms from solid particles in the disk and the gravitational tug of this embryonic planet allows for an atmosphere to arise from the surrounding gas.|Planety se rodí ze stejného disku mezihvězdného plynu a prachu, který vytváří hvězdu, kolem které obíhají. Pod předním modelem pro planetární formaci, který se nazývá model „akrece jádra“, se původně tvoří objekt z pevných částic v disku a gravitační tah této embryonální planety umožňuje vznik atmosféry z okolního plynu.|mt
Planets are born from the same disk of interstellar gas and dust that produces the star around which they orbit. Under the leading model for planetary formation, called the "core accretion" model, an object initially forms from solid particles in the disk and the gravitational tug of this embryonic planet allows for an atmosphere to arise from the surrounding gas.|Planety se rodí ze stejného disku mezihvězdného plynu a prachu, který vytváří hvězdu, kolem níž obíhají. V rámci vedoucího modelu planetární formace, nazývaného „core accretion“ model, se objekt zpočátku tvoří z pevných částic v disku a gravitační tah této zárodečné planety umožňuje vznik atmosféry z okolního plynu.|mt
A competing model, called the gravitational instability model, may explain this unusual system.|Tento neobvyklý systém může vysvětlit konkurenční model nazývaný model gravitační nestability.|mt
A competing model, called the gravitational instability model, may explain this unusual system.|Konkurenční model, nazvaný model gravitační nestability, může vysvětlit tento neobvyklý systém.|mt
A competing model, called the gravitational instability model, may explain this unusual system.|Konkurenční model, nazývaný model gravitační nestability, může vysvětlit tento neobvyklý systém.|mt
"I haven't really thought about it, to be honest," she said when asked about the fine. "I just threw my racquet. I got fined."|„Opravdu jsem o tom nepřemýšlela, abych byla upřímná,“ řekla, když se zeptala na pokutu. "Právě jsem hodil raketu. Dostal jsem pokutu."|mt
"I haven't really thought about it, to be honest," she said when asked about the fine. "I just threw my racquet. I got fined."|„Abych byla upřímná, moc jsem o tom nepřemýšlela,“ řekla na dotaz ohledně pokuty. „Jen jsem hodila raketou, dostala jsem pokutu.“|mt
"I haven't really thought about it, to be honest," she said when asked about the fine. "I just threw my racquet. I got fined."|„Abych byla upřímná, moc jsem o tom nepřemýšlela,“ odpověděla na otázku ohledně pokuty. „Právě jsem hodila raketu. Dostala jsem pokutu.“|mt
"I haven't really thought about it, to be honest," she said when asked about the fine. "I just threw my racquet. I got fined."|„Abych byla upřímná, moc jsem o tom nepřemýšlela,“ odpověděla na dotaz ohledně pokuty. „Právě jsem hodil raketu. Dostal jsem pokutu.“|mt
Williams is after her eighth Wimbledon title, which would be her 24th grand slam victory. She is advancing to the singles semifinals on Thursday against Czech player Barbora Strýcová.|Williamsová je po osmém titulu z Wimbledonu, což by bylo její 24. grandslamové vítězství. Ve čtvrtek postupuje do semifinále dvouhry proti české hráčce Barboře Strýcové.|mt
Williams is after her eighth Wimbledon title, which would be her 24th grand slam victory. She is advancing to the singles semifinals on Thursday against Czech player Barbora Strýcová.|Williamsová je po osmém wimbledonském titulu, což by bylo její 24. grandslamové vítězství. Ve čtvrtek postupuje do semifinále dvouhry proti české hráčce Barboře Strýcové.|mt
Williams is after her eighth Wimbledon title, which would be her 24th grand slam victory. She is advancing to the singles semifinals on Thursday against Czech player Barbora Strýcová.|Williams je po svém osmém Wimbledonově titulu, což by bylo její 24. velké vítězství. Ve čtvrtek postupuje do semifinále singlů proti české hráčce Barbora Strýcové.|mt
Williams is after her eighth Wimbledon title, which would be her 24th grand slam victory. She is advancing to the singles semifinals on Thursday against Czech player Barbora Strýcová.|Williamsová má za sebou osmý wimbledonský titul, což by bylo její 24. vítězství na grandslamu, ve čtvrtek postupuje do semifinále dvouhry proti české hráčce Barboře Strýcové.|mt
"Do you know how many other men do things that are much worse than that?" Williams told U.S. Open officials who entered the court during the match after her confrontation with the umpire.|"Víte, kolik dalších mužů dělá věci, které jsou mnohem horší než tohle?" Williams řekl úředníkům US Open, kteří vstoupili na soud během zápasu po její konfrontaci s rozhodčím.|mt
"Do you know how many other men do things that are much worse than that?" Williams told U.S. Open officials who entered the court during the match after her confrontation with the umpire.|„Víš, kolik jiných lidí dělá věci, které jsou mnohem horší?“ Williamsová řekla zástupcům US Open, kteří vstoupili na kurt během zápasu po jejím střetu s rozhodčím.|mt
"Do you know how many other men do things that are much worse than that?" Williams told U.S. Open officials who entered the court during the match after her confrontation with the umpire.|„Víte, kolik jiných mužů dělá věci, které jsou mnohem horší než tohle?“ řekla Williamsová představitelům US Open, kteří vstoupili na kurt během zápasu po konfrontaci s rozhodčím.|mt
"Do you know how many other men do things that are much worse than that?" Williams told U.S. Open officials who entered the court during the match after her confrontation with the umpire.|„Víte, kolik jiných mužů dělá věci, které jsou mnohem horší?“ Williamsová to řekla představitelům US Open, kteří během zápasu vstoupili na kurt po jejím střetu s rozhodčím.|mt
Italian player Fabio Fognini was fined $3,000 for saying a "bomb should explode" at the tennis courts after he lost the third round to U.S. player Tennys Sandgren on Saturday.|Italský hráč Fabio Fognini dostal pokutu 3 000 dolarů za výrok „bomba by měla explodovat“ na tenisových kurtech poté, co v sobotu prohrál třetí kolo s americkým hráčem Tennysem Sandgrenem.|mt
Italian player Fabio Fognini was fined $3,000 for saying a "bomb should explode" at the tennis courts after he lost the third round to U.S. player Tennys Sandgren on Saturday.|Italský hráč Fabio Fognini dostal pokutu 3000 dolarů za výrok „bomba by měla vybuchnout“ na tenisových kurtech poté, co v sobotu prohrál třetí kolo s americkým hráčem Tennysem Sandgrenem.|mt
Italian player Fabio Fognini was fined $3,000 for saying a "bomb should explode" at the tennis courts after he lost the third round to U.S. player Tennys Sandgren on Saturday.|Italský hráč Fabio Fognini dostal pokutu 3 000 $ za to, že na tenisových kurtech po výbuchu třetího kola americkému hráči Tennysovi Sandgrenovi v sobotu prohrál třetí kolo.|mt
Seventy-four years ago, two nuclear bombs were detonated over Hiroshima and Nagasaki, killing tens of thousands of people.|Před čtyřiceti čtyřmi lety byly nad Hirošimou a Nagasaki odpáleny dvě jaderné bomby, které zabily desítky tisíc lidí.|mt
Seventy-four years ago, two nuclear bombs were detonated over Hiroshima and Nagasaki, killing tens of thousands of people.|Před čtyřiasedmdesáti lety byly nad Hirošimou a Nagasaki odpáleny dvě jaderné bomby, které zabily desetitisíce lidí.|mt
